"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"72624","БАЛИК - ул.Орфей №36","СИРЕНЕ КРАВЕ РОДОПЕЯ 1КГ КУТИЯ","000006","9","11.24",""
"72624","БАЛИК - ул.Орфей №36","СИРЕНЕ КРАВЕ САЯНА 400ГР ВАКУУМ","000260","9","3.93",""
"72624","БАЛИК - ул.Орфей №36","КРОАСАН 22 КАРАТА 55ГР КАКАОВ КРЕМ","000421","67","0.38",""
"72624","БАЛИК - ул.Орфей №36","КРОАСАН 22 КАРАТА 80ГР ГРАНД КАКАО","000422","67","0.49",""
"72624","БАЛИК - ул.Орфей №36","МАСЛИНИ УСЛУ ЧЕРНИ В РАСТИТЕЛНО МАСЛО","000675","62","4.60",""
"72624","БАЛИК - ул.Орфей №36","ПЮРЕ БЕБЕЛАН 220ГР МЕНЮ СПАГЕТИ БОЛОНЕЗЕ  8М+","000871","64","1.89",""
"72624","БАЛИК - ул.Орфей №36","КАФЕ ЛАВАЦА 1КГ КУАЛИТА РОСА ЗЪРНА","000978","71","28.49",""
"72624","БАЛИК - ул.Орфей №36","РАКИЯ ТАБИЕТ 700МЛ ГРОЗДОВА","000997","77","11.91",""
"72624","БАЛИК - ул.Орфей №36","ПЮРЕ ПЛАЗМОН 200ГР ЗЕЛЕНЧУЦИ С ПИЛЕ 7М+","001045","64","1.99",""
"72624","БАЛИК - ул.Орфей №36","ПЮРЕ ПЛАЗМОН 200ГР ЗЕЛЕНЧУЦИ ПАСТА И СВИНСКО 7М+","001046","64","1.99",""
"72624","БАЛИК - ул.Орфей №36","ПЮРЕ ПЛАЗМОН 200ГР ЗЕЛЕНЧУЦИ ПАСТА И ГОВЕЖДО 7М+","001047","64","1.99",""
"72624","БАЛИК - ул.Орфей №36","ПЮРЕ ПЛАЗМОН 200ГР ЗЕЛЕНЧУЦИ ПАСТА И РИБА ТОН 7М+","001048","64","1.99",""
"72624","БАЛИК - ул.Орфей №36","ПЮРЕ ПЛАЗМОН 200ГР КАРТОФИ С ГРАХ И ФАСУЛ 7М+","001051","64","1.99",""
"72624","БАЛИК - ул.Орфей №36","КАФЕ БИАНЧИ 1КГ ИНТЕНС ФАМИЛИЯ ЗЪРНА","001198","71","16.56",""
"72624","БАЛИК - ул.Орфей №36","МОКРИ КЪРПИ РЕНКЛИ 100БР ГРЕЙПФРУТ И ЛАЙМ","001221","84","1.59",""
"72624","БАЛИК - ул.Орфей №36","ПАСТА ЗА ЗЪБИ ХИМАЛАЯ 75МЛ УЛТРА УАЙТ С АКТИВЕН ВЪГЛЕН","001303","81","3.57",""
"72624","БАЛИК - ул.Орфей №36","ПРЯСНО МЛЯКО ВЕРЕЯ 1Л 3%","001317","6","1.68",""
"72624","БАЛИК - ул.Орфей №36","ОЦЕТ ВИНЕН 700МЛ 6%","001331","44","1.12",""
"72624","БАЛИК - ул.Орфей №36","ОЦЕТ ЯБЪЛКОВ 700МЛ 5%","001334","45","1.22",""
"72624","БАЛИК - ул.Орфей №36","ВИНО ЕЙНДЖЪЛС 750МЛ СОВИНЬОН БЛАН","001351","75","7.15",""
"72624","БАЛИК - ул.Орфей №36","ВИНО ЕНИРА 750МЛ КАБЕРНЕ","001465","76","15.33",""
"72624","БАЛИК - ул.Орфей №36","ШОКОЛАД МЛЕЧЕН 80ГР С ЛЕШНИЦИ","001544","69","1.48","1.19"
"72624","БАЛИК - ул.Орфей №36","ЯЙЦА КОКОШИ РАЗМЕР L 10БР","001987","32","2.79",""
"72624","БАЛИК - ул.Орфей №36","ВИНО КАРНОБАТ 750МЛ МЕХАНДЖИЙСКО БЯЛО","002128","75","1.53",""
"72624","БАЛИК - ул.Орфей №36","ДОМАТИ ДЕРОНИ 400ГР НА КУБЧЕТА","002136","48","1.38",""
"72624","БАЛИК - ул.Орфей №36","ШПЕК РОДОПА ПАЗАРДЖИК ГАСТРО ВАКУУМ","002370","28","13.29",""
"72624","БАЛИК - ул.Орфей №36","КРОАСАН ЛОТО 110ГР КАКАО И ЛЕШНИК","002379","67","0.71",""
"72624","БАЛИК - ул.Орфей №36","МЛЯКО СУХО АПТАМИЛ 800ГР АДАПТИРАНО 1","002415","65","23.51",""
"72624","БАЛИК - ул.Орфей №36","ВОДА ВЕЛИНГРАД 1.5Л МИНЕРАЛНА","002605","73","0.56","0.34"
"72624","БАЛИК - ул.Орфей №36","МОКРИ КЪРПИ ФАМИЛИЯ 90БР ЛАВАНДУЛА","003018","84","1.78","1.12"
"72624","БАЛИК - ул.Орфей №36","САПУН ДАВ 90ГР ОРИГИНАЛ","003040","83","1.53","1.12"
"72624","БАЛИК - ул.Орфей №36","ЧЕТКА ЗА ЗЪБИ КОЛГЕЙТ ЗИГ ЗАГ ПЛЮС МЕДИУМ","003544","80","2.33",""
"72624","БАЛИК - ул.Орфей №36","СИРЕНЕ КРАВЕ ДЕСТАН 400ГР СЕЛЕКЦИЯ ВАКУУМ","003740","9","4.44",""
"72624","БАЛИК - ул.Орфей №36","ШОКОЛАД ХАЙДИ 80ГР МЛЕЧЕН","003753","69","1.53","0.79"
"72624","БАЛИК - ул.Орфей №36","СИРЕНЕ КРАВЕ САЯНА БЯЛО САЛАМУРЕНО","004495","8","7.66",""
"72624","БАЛИК - ул.Орфей №36","КИНГ РЕД КЛАСИК 5.50ЛВ","005006","78","2.81",""
"72624","БАЛИК - ул.Орфей №36","ШПЕК БОНИ 330ГР САНДВИЧ ВАКУУМ","005155","28","4.34",""
"72624","БАЛИК - ул.Орфей №36","ЧАЙ ЧЕРЕН АХМАД ТИЙ 20БРХ2ГР ЛОНДОН ЪРЛ ГРЕЙ","005517","72","2.04",""
"72624","БАЛИК - ул.Орфей №36","ПАСТА ЗА ЗЪБИ АКВАФРЕШ 125МЛ ХЕРБАЛ","005590","81","2.91","1.69"
"72624","БАЛИК - ул.Орфей №36","ЧАЙ АХМАД ТИЙ ЛОНДОН 20БРХ2ГР ЗЕЛЕН ЖАСМИН","005654","72","3.27",""
"72624","БАЛИК - ул.Орфей №36","КАФЕ БИАНЧИ 250ГР БЕЗ КОФЕИН ФАМИЛИЯ","005766","70","6.33",""
"72624","БАЛИК - ул.Орфей №36","КАФЕ БИАНЧИ 250ГР НЕРО КРЕМА АРОМА КОЛЕКЦИЯ","006121","70","5.11",""
"72624","БАЛИК - ул.Орфей №36","КАФЕ БИАНЧИ 250ГР НЕРО ФАЙН АРОМА КОЛЕКЦИЯ","006176","70","5.82","4.85"
"72624","БАЛИК - ул.Орфей №36","КРОАСАН С МАСЛО 16% 65ГР","006272","67","0.46",""
"72624","БАЛИК - ул.Орфей №36","КРОАСАН МНОГОЗЪРНЕСТ 80ГР","006274","67","0.56",""
"72624","БАЛИК - ул.Орфей №36","ВИНО КОРТЕН НАТУРА 750МЛ МАВРУД И РУБИН","007081","76","7.39",""
"72624","БАЛИК - ул.Орфей №36","КАФЕ ЛАВАЦА 250ГР МЛЯНО КУАЛИТА РОСА","007128","70","7.66",""
"72624","БАЛИК - ул.Орфей №36","КАФЕ ЛАВАЦА 250ГР МЛЯНО КРЕМА Е ГУСТО","007340","70","7.66",""
"72624","БАЛИК - ул.Орфей №36","ЧАЙ АХМАД ТИЙ ЛОНДОН 20БРХ2ГР ЗЕЛЕН ЛИМОН","007535","72","3.27",""
"72624","БАЛИК - ул.Орфей №36","ВИНО КОРТЕН НАТУРА 750МЛ ШАРДОНЕ И ДИМЯТ","008231","75","7.39",""
"72624","БАЛИК - ул.Орфей №36","ЧАЙ АХМАД ТИЙ ЛОНДОН 20БРХ2ГР ЗЕЛЕН","008945","72","3.27",""
"72624","БАЛИК - ул.Орфей №36","ПАСТА ЗА ЗЪБИ ОРАЛ Б 75МЛ КАМПЛИЙТ УЛТИМЕЙТ ФРЕШ","009008","81","2.70","1.85"
"72624","БАЛИК - ул.Орфей №36","ПАСТА ЗА ЗЪБИ ОРАЛ Б 75МЛ КАМПЛИЙТ ПРОТЕКТ КЛИЙН","009016","81","2.70","1.85"
"72624","БАЛИК - ул.Орфей №36","ПАСТА ЗА ЗЪБИ ОРАЛ Б 75МЛ ПРО ЕКСПЕРТ СЕНЗИТИВ","009018","81","3.57","2.35"
"72624","БАЛИК - ул.Орфей №36","ВИНО ДОМЕЙН БОЙАР 750МЛ СОВИНЬОН БЛАН","009573","75","4.45",""
"72624","БАЛИК - ул.Орфей №36","ВИНО ЕЙНДЖЪЛС 750МЛ ШАРДОНЕ","010094","75","7.15",""
"72624","БАЛИК - ул.Орфей №36","ЛЮТЕНИЦА СЕЛЦЕ 570ГР ДОМАШНА","010294","49","2.55",""
"72624","БАЛИК - ул.Орфей №36","САПУН ДАВ 90ГР ЕКСФОЛИРАЩ","011139","83","1.53","1.12"
"72624","БАЛИК - ул.Орфей №36","МАСЛО КРАВЕ НЕМСКО 250ГР","011190","12","4.09",""
"72624","БАЛИК - ул.Орфей №36","СОЛ ЕКСТРА 1КГ ЙОДИРАНА","011979","39","0.47",""
"72624","БАЛИК - ул.Орфей №36","ШОКОЛАД ЙОН 100ГР МЛЕЧЕН С ЦЕЛИ БАДЕМИ","012029","69","2.55",""
"72624","БАЛИК - ул.Орфей №36","САПУН ТЕО 140ГР СУПЕР МАКСИ ПАСИФЛОРА","012631","83","1.12","0.85"
"72624","БАЛИК - ул.Орфей №36","МАСЛО САН ЛАЗАРО 1Л МАСЛИНОВО ЕКСТРА ВЪРДЖИН","012656","43","15.33",""
"72624","БАЛИК - ул.Орфей №36","МАСЛО САН ЛАЗАРО 1Л МАСЛИНОВО ПОМАС","012663","43","7.66",""
"72624","БАЛИК - ул.Орфей №36","КАФЕ ЛАВАЦА 250ГР МЛЯНО ЕСПРЕСО","012837","70","9.20",""
"72624","БАЛИК - ул.Орфей №36","ЛЮТЕНИЦА ДЕРОНИ 515ГР ВЕЛИКА","014773","49","5.99",""
"72624","БАЛИК - ул.Орфей №36","МАКАРОНИ СТЕЛА 500ГР ПЕН МЕЗАН","015576","36","1.53",""
"72624","БАЛИК - ул.Орфей №36","МАКАРОНИ СТЕЛА 500ГР АМОРОЗО","016009","36","1.53",""
"72624","БАЛИК - ул.Орфей №36","МАКАРОНИ СТЕЛА 500ГР СПИРАЛИ","016023","36","1.53",""
"72624","БАЛИК - ул.Орфей №36","МАКАРОНИ СТЕЛА 500ГР МИДИ КОНЧИЛИ","016030","36","1.53",""
"72624","БАЛИК - ул.Орфей №36","МАКАРОНИ СТЕЛА 500ГР ЗВЕЗДИЧКИ","016061","36","1.53",""
"72624","БАЛИК - ул.Орфей №36","САПУН ПАЛМОЛИВ 90ГР ЗЕЛЕН ЧАЙ И ЕКСТРАТ ОТ КРАСТАВИЦА","016254","83","1.20","0.92"
"72624","БАЛИК - ул.Орфей №36","ШОКОЛАД ЙОН 100ГР МЛЕЧЕН ЕКСТРА МИЛК","017026","69","2.55","1.39"
"72624","БАЛИК - ул.Орфей №36","ПАСТА ЗА ЗЪБИ КОЛГЕЙТ 50МЛ ДЕТСКА 6+ ГОДИНИ","017755","81","3.01",""
"72624","БАЛИК - ул.Орфей №36","БИСКВИТИ ПЕТИ ШИМШЕК 100ГР","017782","66","0.35",""
"72624","БАЛИК - ул.Орфей №36","ПЮРЕ ГЕРБЕР 190ГР ЯБЪЛКА БАНАН ПРАСКОВА","018378","64","2.14","1.97"
"72624","БАЛИК - ул.Орфей №36","ПРЯСНО МЛЯКО БЕРТИ 3,5% УХТ 1Л","020045","6","1.78",""
"72624","БАЛИК - ул.Орфей №36","КАФЕ ЛОР ФОРЦА 1КГ ЗЪРНА","020531","71","30.67","29.99"
"72624","БАЛИК - ул.Орфей №36","ПРЕПАРАТ ЗА СЪДОВЕ ЕХО 400МЛ НАР","022814","79","1.53","1.29"
"72624","БАЛИК - ул.Орфей №36","САПУН ТЕО 70ГР БУКЕТ РОМАНТИКА","025129","83","0.64","0.45"
"72624","БАЛИК - ул.Орфей №36","САПУН ТЕО 70ГР БУКЕТ ЕКЗОТИКА","025143","83","0.64","0.45"
"72624","БАЛИК - ул.Орфей №36","САПУН ТЕО 70ГР БУКЕТ МИСТИКА","025150","83","0.64","0.45"
"72624","БАЛИК - ул.Орфей №36","САПУН ТЕО 5БРХ70ГР ЕКЗОТИКА/МИСТИКА","025174","83","2.53","1.95"
"72624","БАЛИК - ул.Орфей №36","ПРЕПАРАТ ЗА СЪДОВЕ БЛЕЙЗИ 400МЛ ЦИТРУС ЖЪЛТ ГЕЛ","025419","79","1.53","1.15"
"72624","БАЛИК - ул.Орфей №36","ПРЕПАРАТ ЗА СЪДОВЕ БЛЕЙЗИ 400МЛ МЕНТА ЗЕЛЕН ГЕЛ","025440","79","1.53","1.15"
"72624","БАЛИК - ул.Орфей №36","СИРЕНЕ КРАВЕ ПРЕЗИДЕНТ САЛАКИС 250ГР ПЪЛНОМАСЛЕНО","025638","9","4.60",""
"72624","БАЛИК - ул.Орфей №36","СИРЕНЕ КРАВЕ ПРЕЗИДЕНТ 330ГР НАРЯЗАНО КУТИЯ","025639","9","6.13",""
"72624","БАЛИК - ул.Орфей №36","ШОКОЛАД ВАВЕЛ 90ГР МЛЕЧЕН БЕЗ ЗАХАР","025909","69","3.88",""
"72624","БАЛИК - ул.Орфей №36","ХАРТИЯ МИЛДЕ 8БР ОХЛАЖДАЩО СИНЬО","026393","85","4.49","3.65"
"72624","БАЛИК - ул.Орфей №36","ХАРТИЯ МИЛДЕ 8БР РЕЛАКС","026409","85","4.49","3.65"
"72624","БАЛИК - ул.Орфей №36","ХАРТИЯ ЕМЕКА 8БР ПЛАНИНСКА СВЕЖЕСТ","026522","85","2.91","2.55"
"72624","БАЛИК - ул.Орфей №36","ХАРТИЯ ЕМЕКА 8БР ПАРАДАЙС","026539","85","2.91","2.55"
"72624","БАЛИК - ул.Орфей №36","ШПЕК ЧИЧОВЦИ 300ГР СЕРВИЛАТ ВАКУУМ","029823","28","2.91",""
"72624","БАЛИК - ул.Орфей №36","РАКИЯ БУРГАСКА 700МЛ МУСКАТОВА","030214","77","8.87",""
"72624","БАЛИК - ул.Орфей №36","ВИНО ДИЙП РЕД КЮВЕ 750МЛ СИРА И МУРВЕДЪР","030415","76","8.10",""
"72624","БАЛИК - ул.Орфей №36","САПУН ПАЛМОЛИВ 90ГР СПА МАСАЖИРАЩ","032179","83","1.20","0.92"
"72624","БАЛИК - ул.Орфей №36","ЧАЙ АХМАД ТИЙ ЛОНДОН 20БРХ2ГР ПЛОДОВ СЕЛЕКШЪН","033995","72","3.06",""
"72624","БАЛИК - ул.Орфей №36","КАШКАВАЛ КРАВЕ БЕЛИИСА 400ГР ВАКУУМ","034124","11","4.60",""
