"Населено място","Търговски обект",Наименование на продукта,"Код на продукта","Категория","Цена на дребно","Цена в промоция"
"068134","Алекс фиш","Скумрия, цяла, замразена (Scombеr Scombrus) 600+ гр/бр Norway Pelagic","10751","29","7,06",
"068134","Алекс фиш","Пъстърва изчистена замразена, вакуум 300-350 гр/бр","13312","29","6,60",
"068134","Алекс фиш","Ципура изчистена замразена 300/400 Alexfish","13400","29","10,74",
"068134","Алекс фиш","Ципура изчистена замразена 400/600 Alexfish","13401","29","11,04",
"068134","Алекс фиш","Ципура филе, с кожа, замразено, без люспи, 120-150 гр/бр Alexfish","13406","29","18,42",
"068134","Алекс фиш","Лаврак изчистен замразен 300/400 Alexfish","13410","29","11,35",
"068134","Алекс фиш","Лаврак изчистен замразен 400/600 Alexfish","13411","29","11,65",
"068134","Алекс фиш","Лаврак филе, с кожа, замразено, без люспи, 120-150 гр/бр Alexfish","13420","29","22,09",
"068134","Алекс фиш","Каменен лаврак (Милокоп), изчистен, замразен  1/+ Alexfish","13450","29","10,13",
"068134","Алекс фиш","Ципура охладена 400-600 гр/бр Stratos","20015","30","8,89",
"068134","Алекс фиш","Лаврак охладен 300-400 гр/бр Stratos","20017","30","9,26",
"068134","Алекс фиш","Лаврак охладен 400-600 гр/бр Stratos","20018","30","9,88",
"068134","Алекс фиш","Лаврак охладен 600-800 гр/бр Stratos","20019","30","10,74",
"068134","Алекс фиш","Ципура охладена 1000-1500 гр/бр Kefalonia","20022","30","14,60",
"068134","Алекс фиш","Ципура охладена 1000-1500 гр/бр Kefalonia","20022","30","14,60",
"068134","Алекс фиш","Лаврак охладен 1000-1500 гр/бр Kefalonia","20025","30","16,25",
"068134","Алекс фиш","Лаврак охладен 1000-1500 гр/бр Kefalonia","20025","30","16,25",
"068134","Алекс фиш","Лаврак охладен 600-800 гр/бр Kefalonia","20026","30","10,13",
"068134","Алекс фиш","Лаврак охладен 800-1000 гр/бр Kefalonia","20027","30","14,28",
"068134","Алекс фиш","Лаврак охладен 800-1000 гр/бр Kefalonia","20027","30","14,28",
"068134","Алекс фиш","Лаврак охладен 300-400 гр/бр Kiliç","20030","30","10,08",
"068134","Алекс фиш","Лаврак охладен 400-600 гр/бр Kiliç","20031","30","10,32",
"068134","Алекс фиш","Лаврак охладен 300-400 гр/бр Kefalonia","20032","30","9,26",
"068134","Алекс фиш","Лаврак охладен 400-600 гр/бр Kefalonia","20033","30","10,80",
"068134","Алекс фиш","Лаврак охладен 1000-1500 гр/бр Kiliç","20034","30","14,72",
"068134","Алекс фиш","Лаврак охладен 1000-1500 гр/бр Kiliç","20034","30","14,72",
"068134","Алекс фиш","Лаврак охладен 800-1000 гр/бр Kiliç","20035","30","12,14",
"068134","Алекс фиш","Лаврак охладен 800-1000 гр/бр Kiliç","20035","30","12,14",
"068134","Алекс фиш","Лаврак охладен 1500-2000 гр/бр Kefalonia","20036","30","18,10",
"068134","Алекс фиш","Лаврак охладен 1500-2000 гр/бр Kefalonia","20036","30","18,10",
"068134","Алекс фиш","Лаврак охладен 600-800 гр/бр Kiliç","20037","30","11,35",
"068134","Алекс фиш","Лаврак охладен 2000-2500 гр/бр Kefalonia","20038","30","25,76",
"068134","Алекс фиш","Ципура охладена 300-400 гр/бр Kiliç","20040","30","9,12",
"068134","Алекс фиш","Ципура охладена 400-600 гр/бр Kiliç","20041","30","9,12",
"068134","Алекс фиш","Ципура охладена 1000-1500 гр/бр Kiliç","20043","30","13,50",
"068134","Алекс фиш","Ципура охладена 1000-1500 гр/бр Kiliç","20043","30","13,50",
"068134","Алекс фиш","Пъстърва чистена, охладена (Oncorhynchus mykiss) 300-350 гр/бр Alexfish","20060","30","6,26",
"068134","Алекс фиш","Лаврак  охладен 3000-4000 гр/бр Kefalonia","20106","30","34,36",
"068134","Алекс фиш","Ципура охладена 1500-2000 гр/бр  Kefalonia","20136","30","17,80",
"068134","Алекс фиш","Лаврак филе, с кожа, охладено, 250-450 гр/бр Alexfish","23141","30","33,74",
"068134","Алекс фиш","Лаврак изчистен охладен (Dicentrarchus labrax) 300/400 Alexfish","23304","30","10,74",
"068134","Алекс фиш","Лаврак изчистен охладен (Dicentrarchus labrax) 400/600 Alexfish","23305","30","11,65",
"068134","Алекс фиш","Лаврак филе, с кожа, охладенo, 140-180 гр/бр Kiliç","23309","30","23,32",
"068134","Алекс фиш","Ципура филе, с кожа, охладено, 140-180 гр/бр Kiliç","23310","30","19,94",
"068134","Алекс фиш","Лаврак филе, с кожа, охладенo, 120-150 гр/бр Kiliç","23311","30","21,78",
"068134","Алекс фиш","Лаврак 300/400 охладен, изчистен, в защитна среда","23312","30","11,96",
"068134","Алекс фиш","Ципура изчистена охладена (Sparus aurata) 400/600 Alexfish","23315","30","10,74",
"068134","Алекс фиш","Ципура 300/400 охладена, изчистена, в защитна среда","23316","30","11,65",
"068134","Алекс фиш","Ципура филе, с кожа, охладено 120-150 гр/бр Kiliç","23319","30","19,02",
"068134","Алекс фиш","Пъстърва 300/350 охладена, изчистена, в защитна среда","23320","30","7,98",
"068134","Алекс фиш","Ципура филе, с кожа, охладено, 180-250 гр/бр Alexfish","23326","30","30,67",
"068134","Алекс фиш","Лаврак изчистен охладен (Dicentrarchus labrax) 200/300 Alexfish","23333","30","10,13",
"068134","Алекс фиш","Лаврак филе, с кожа, охладенo, 120-150 гр/бр Alexfish","23334","30","21,78",
