"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"68134","Дигитална брошура на Ейвън:  https://bg.avon-brochure.com/","Шампоан Mega Volume","19588",82,5.59,
"68134","Уебсайт за клиенти www.avon.bg","Шампоан Mega Volume","19588",82,5.59,
"68134","Дигитална брошура на Ейвън:  https://bg.avon-brochure.com/","Възобновяващ шампоан Bond Repair","20297",82,6.59,
"68134","Уебсайт за клиенти www.avon.bg","Възобновяващ шампоан Bond Repair","20297",82,6.59,
"68134","Дигитална брошура на Ейвън:  https://bg.avon-brochure.com/","Шампоан за дехидратирана коса Hydra Boost","20875",82,5.59,
"68134","Уебсайт за клиенти www.avon.bg","Шампоан за дехидратирана коса Hydra Boost","20875",82,5.59,
"68134","Дигитална брошура на Ейвън:  https://bg.avon-brochure.com/","Шампоан за коса Color Protect","3772",82,5.59,
"68134","Уебсайт за клиенти www.avon.bg","Шампоан за коса Color Protect","3772",82,5.59,
"68134","Дигитална брошура на Ейвън:  https://bg.avon-brochure.com/","Шампоан Absolute Nourishment с арганово и кокосово масло","37895",82,5.59,
"68134","Уебсайт за клиенти www.avon.bg","Шампоан Absolute Nourishment с арганово и кокосово масло","37895",82,5.59,
"68134","Дигитална брошура на Ейвън:  https://bg.avon-brochure.com/","Дълбоко почистващ шампоан","4192",82,5.59,
"68134","Уебсайт за клиенти www.avon.bg","Дълбоко почистващ шампоан","4192",82,5.59,
"68134","Дигитална брошура на Ейвън:  https://bg.avon-brochure.com/","Възстановяващ шампоан с Комплекс Kera-Panthenol","49916",82,5.59,
"68134","Уебсайт за клиенти www.avon.bg","Възстановяващ шампоан с Комплекс Kera-Panthenol","49916",82,5.59,
