"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"10135","BulMag 17 Grand Mall - Варна, ул. ""Андрей Сахаров"" №2","МЛЯКО ПРЯСНО МЕГГЛЕ 3.2% УХТ 1Л","595","6","1.75",""
"10135","BulMag 17 Grand Mall - Варна, ул. ""Андрей Сахаров"" №2","МЛЯКО ПРЯСНО ВАРЕНО БОР ЧВОР 3% 1Л","1256","6","1.22",""
"10135","BulMag 17 Grand Mall - Варна, ул. ""Андрей Сахаров"" №2","МЛЯКО ПРЯСНО ОЛИМПУС 3.7% 1Л","2241","6","1.94","1.43"
"10135","BulMag 17 Grand Mall - Варна, ул. ""Андрей Сахаров"" №2","МЛЯКО ПРЯСНО РОДОПСКО УХТ 3.2% 1Л","17612","6","1.40",""
"10135","BulMag 17 Grand Mall - Варна, ул. ""Андрей Сахаров"" №2","МЛЯКО ПРЯСНО БАЛКАН 3% 1Л","29374","6","2.01","1.42"
"10135","BulMag 17 Grand Mall - Варна, ул. ""Андрей Сахаров"" №2","МЛЯКО ПРЯСНО САЯНА 3% 1Л","31152","6","1.78",""
"10135","BulMag 17 Grand Mall - Варна, ул. ""Андрей Сахаров"" №2","МЛЯКО ПРЯСНО МЕГГЛЕ УХТ БАРИСТА 3.5% 1Л","52890","6","1.94",""
"10135","BulMag 17 Grand Mall - Варна, ул. ""Андрей Сахаров"" №2","МЛЯКО ПРЯСНО МАРКЕЛИ УХТ 3,2% 1Л","1905","6","1.45",""
"10135","BulMag 17 Grand Mall - Варна, ул. ""Андрей Сахаров"" №2","МЛЯКО ПРЯСНО САЯНА UHT 3.2% 1Л","3274","6","1.70",""
"10135","BulMag 17 Grand Mall - Варна, ул. ""Андрей Сахаров"" №2","МЛЯКО ПРЯСНО КРАВЕ РОДЕЯ 3.6% 1Л","6168","6","1.61",""
"10135","BulMag 17 Grand Mall - Варна, ул. ""Андрей Сахаров"" №2","МЛЯКО ПРЯСНО TERTER 3,6% 1Л","20713","6","1.86","1.53"
"10135","BulMag 17 Grand Mall - Варна, ул. ""Андрей Сахаров"" №2","Б-ТИ ПЕТИТ 100ГР","21179","66","0.47",""
"10135","BulMag 17 Grand Mall - Варна, ул. ""Андрей Сахаров"" №2","Б-ТИ ДЕТСТВО МОЕ ОБИКН.200ГР","27498","66","1.01","0.77"
"10135","BulMag 17 Grand Mall - Варна, ул. ""Андрей Сахаров"" №2","Б-ТИ РОДЕЯ ОБИКН.210ГР","56626","66","0.87",""
"10135","BulMag 17 Grand Mall - Варна, ул. ""Андрей Сахаров"" №2","Б-ТИ ДЕТСТВО МОЕ ПЕТИТ БЬОР КЛАСИК 220ГР","12063","66","1.13",""
"10135","BulMag 17 Grand Mall - Варна, ул. ""Андрей Сахаров"" №2","Б-ТИ РОДЕН КРАЙ ОБИКН.120ГР","12421","66","0.75",""
"10135","BulMag 17 Grand Mall - Варна, ул. ""Андрей Сахаров"" №2","Б-ТИ НАЯ ОБИКН.КЛАСИК 180ГР","19434","66","1.13",""
"10135","BulMag 17 Grand Mall - Варна, ул. ""Андрей Сахаров"" №2","Б-ТИ НАЯ ОБИКН.КАКАО 180ГР","19435","66","1.13",""
"10135","BulMag 17 Grand Mall - Варна, ул. ""Андрей Сахаров"" №2","ХЛЯБ БЯЛ ДЕМЕА 650ГР","28","1","1.03",""
"10135","BulMag 17 Grand Mall - Варна, ул. ""Андрей Сахаров"" №2","ХЛЯБ СТАРА ЗАГОРА ДЕНИСЛАВ 650ГР","71","1","1.16",""
"10135","BulMag 17 Grand Mall - Варна, ул. ""Андрей Сахаров"" №2","ХЛЯБ БЯЛ БЪЛГАРИЯ УТВЪРДЕН СТАНДАРТ 650ГР","15776","1","1.03",""
"10135","BulMag 17 Grand Mall - Варна, ул. ""Андрей Сахаров"" №2","ХЛЯБ ТУИДА УС БЪЛГАРИЯ 650ГР","23080","1","1.03",""
"10135","BulMag 17 Grand Mall - Варна, ул. ""Андрей Сахаров"" №2","ХЛЯБ БЯЛ ПШЕНИЧЕН ТОСТЕР САВИМЕКС 500ГР","35842","1","1.23",""
"10135","BulMag 17 Grand Mall - Варна, ул. ""Андрей Сахаров"" №2","ХЛЯБ БЯЛ РОДЕЯ 600ГР","50250","1","0.82",""
"10135","BulMag 17 Grand Mall - Варна, ул. ""Андрей Сахаров"" №2","ХЛЯБ БЯЛ ДЕМЕА ХАРТ.ОПАК.650ГР","27716","1","1.03",""
"10135","BulMag 17 Grand Mall - Варна, ул. ""Андрей Сахаров"" №2","ХЛЯБ БЯЛ РОДЕЯ 500ГР","58694","1","0.77","0.59"
"10135","BulMag 17 Grand Mall - Варна, ул. ""Андрей Сахаров"" №2","ХЛЯБ БЯЛ ТОСТЕРЕН YOUR 5 MINUTES 500ГР","707","1","1.70",""
"10135","BulMag 17 Grand Mall - Варна, ул. ""Андрей Сахаров"" №2","ХЛЯБ ЯНА БЪЛГАРИЯ ХАРТ. 650ГР","3360","1","1.11",""
"10135","BulMag 17 Grand Mall - Варна, ул. ""Андрей Сахаров"" №2","ХЛЯБ БЯЛ СТРАЖИЦА 700ГР","10524","1","0.93",""
"10135","BulMag 17 Grand Mall - Варна, ул. ""Андрей Сахаров"" №2","ХЛЯБ ЗАНАЯТЧ.НЕМСКИ РЪЖ.-ПШЕНИЧЕН ДХ 500ГР","28306","3","1.40",""
"10135","BulMag 17 Grand Mall - Варна, ул. ""Андрей Сахаров"" №2","ХЛЯБ ЗАНАЯТЧ. РЪЖ. ПШЕН. С РЪЖ. ЗАКВ.600ГР","53074","3","1.03","0.85"
"10135","BulMag 17 Grand Mall - Варна, ул. ""Андрей Сахаров"" №2","ХЛЯБ ЯНА С ПОКЪЛНАЛИ РЪЖЕНИ ЗЪРНА 550ГР","40219","3","1.35",""
"10135","BulMag 17 Grand Mall - Варна, ул. ""Андрей Сахаров"" №2","ХЛЯБ ДЕНИСЛАВ ТИПОВ 600ГР","23005","4","1.13",""
"10135","BulMag 17 Grand Mall - Варна, ул. ""Андрей Сахаров"" №2","ХЛЯБ ТИПОВ ЯНА НАРЯЗАН 550ГР","36118","4","1.11",""
"10135","BulMag 17 Grand Mall - Варна, ул. ""Андрей Сахаров"" №2","ХЛЯБ ЯНА РЪЧЕН ТИПОВ 600ГР","3362","4","1.15",""
"10135","BulMag 17 Grand Mall - Варна, ул. ""Андрей Сахаров"" №2","ХЛЯБ НАШЕНСКИ ВКУС ТИПОВ 400ГР","14812","4","0.87",""
"10135","BulMag 17 Grand Mall - Варна, ул. ""Андрей Сахаров"" №2","КОРИ ЗА БАНИЦА БЕЛЛА 400ГР","2140","5","1.99",""
"10135","BulMag 17 Grand Mall - Варна, ул. ""Андрей Сахаров"" №2","КОРИ ЗА БАНИЦА ФАМИЛИЯ 500ГР","2141","5","2.20",""
"10135","BulMag 17 Grand Mall - Варна, ул. ""Андрей Сахаров"" №2","КОРИ ЗА БАНИЦА ТРАКИЙСКИ 400ГР","19038","5","1.55",""
"10135","BulMag 17 Grand Mall - Варна, ул. ""Андрей Сахаров"" №2","КОРИ ЗА БАНИЦА РОДЕЯ 400ГР","52556","5","1.36",""
"10135","BulMag 17 Grand Mall - Варна, ул. ""Андрей Сахаров"" №2","КИС.МЛЯКО БОЛЯРЧЕ 3.6% 400ГР","33007","7","0.93",""
"10135","BulMag 17 Grand Mall - Варна, ул. ""Андрей Сахаров"" №2","КИС.МЛЯКО ВЕРЕЯ 2.9% 400ГР","883","7","0.90",""
"10135","BulMag 17 Grand Mall - Варна, ул. ""Андрей Сахаров"" №2","КИС.МЛЯКО БОЖЕНЦИ 2.2% 400ГР","1017","7","0.92","0.76"
