"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"68134","DBG0001-VITOSHA SOFIA","HERMES_FR_M_TERRE D`HERMES_SOAP_100G","033003","83","39.00",""
"68134","DBG0001-VITOSHA SOFIA","NESTI DANTE_SC_U_PHILOSOPHIA_COLLAGEN_SOAP_250GR","036446","83","5.62",""
"68134","DBG0001-VITOSHA SOFIA","NESTI DANTE_SC_U_TOSCANA_ENCHANTING FOREST_SOAP_250GR","036455","83","5.62",""
"68134","DBG0001-VITOSHA SOFIA","NESTI DANTE_SC_U_DOLCE VIVERE_CAPRI_SOAP_250GR","036460","83","5.62",""
"68134","DBG0001-VITOSHA SOFIA","NESTI DANTE_SC_U_DOLCE VIVERE_PORTOFINO_SOAP_250GR","036461","83","5.62",""
"68134","DBG0001-VITOSHA SOFIA","NESTI DANTE_SC_U_DOLCE VIVERE_LAGO DI COMO_SOAP_250GR","036463","83","5.62",""
"68134","DBG0001-VITOSHA SOFIA","NESTI DANTE_SC_U_LUXURY GOLD_SOAP_250GR","036472","83","6.14",""
"68134","DBG0001-VITOSHA SOFIA","NESTI DANTE_SC_U_LUXURY PLATINUM_SOAP_250GR","038538","83","6.14",""
"68134","DBG0001-VITOSHA SOFIA","NESTI DANTE_SC_U_LUXURY BLACK_SOAP_250GR","045739","83","6.14",""
"68134","DBG0001-VITOSHA SOFIA","NESTI DANTE_SC_U_AQUA DEA MARINE_SOAP_250GR","050088","83","5.62",""
"68134","DBG0001-VITOSHA SOFIA","NESTI DANTE_SC_U_LUXURY HEMP_SOAP_250GR","050798","83","6.14",""
"68134","DBG0001-VITOSHA SOFIA","KERASTASE_HC_F_RESISTANCE_FORCE ARCHITECTE_SHAMPOO_250ML","058874","82","30.68",""
"68134","DBG0001-VITOSHA SOFIA","OUAI_HC_U_OUAI_DETOX SHAMPOO_300ML","060864","82","32.21",""
"68134","DBG0001-VITOSHA SOFIA","DOUGLAS ESSENTIAL_SC_F_MAKE-UP REMOVER MICELLAR WIPES_25PCS","061477","84","4.09",""
"68134","DBG0001-VITOSHA SOFIA","DOUGLAS ACC_ACC_F_BASIC_NEW BRUSH SOAP_100GR","061980","83","12.78",""
"68134","DBG0001-VITOSHA SOFIA","DOUGLAS ESSENTIAL_SC_F_MAKE-UP  REMOVING GENTLE WIPES_25PCS","063114","84","4.09",""
"68134","DBG0001-VITOSHA SOFIA","OLAPLEX_HC_U_N4P_BLONDE_ENHANCER_TONING_SHAMPOO_250ML","067224","82","34.19",""
"68134","DBG0001-VITOSHA SOFIA","DOUGLAS HAIR_HC_F_REPAIR + SMOOTH_SHAMPOO_250ML","067876","82","10.22",""
"68134","DBG0001-VITOSHA SOFIA","MI AMANTE_HC_F_ELLA_RENEW BOUTIQUE_KERATIN SHAMPOO_250ML","068486","82","17.90",""
"68134","DBG0001-VITOSHA SOFIA","MI AMANTE_HC_F_ELLA_VOLUME SHAMPOO_250ML","068488","82","17.90",""
"68134","DBG0001-VITOSHA SOFIA","MI AMANTE_HC_F_HAIR MASTER_HYDRATING SHAMPOO_300ML","068492","82","18.41",""
"68134","DBG0001-VITOSHA SOFIA","OLAPLEX_HC_U_ N4C_BOND_MAINTENANCE_CLARIFYING_ SHAMPOO_250ML","072937","82","34.19",""
"68134","DBG0001-VITOSHA SOFIA","NESTI DANTE_SC_U_PHILOSOPHIA_PREBIOTIC_SOAP_250GR","073487","83","5.62",""
"68134","DBG0001-VITOSHA SOFIA","SOL DE JANEIRO_HC_F_BRAZILIAN JOIA_SHAMPOO_295ML","073991","82","26.59",""
"68134","DBG0001-VITOSHA SOFIA","DOUGLAS HAIR_HC_F_VOLUME + STRENGTH_SHAMPOO_250ML","074538","82","10.22",""
"68134","DBG0001-VITOSHA SOFIA","DOUGLAS NATURALS_SC_F_FACE_GENTLE CLEANSING BAR_70GR","075015","83","8.18",""
"68134","DBG0001-VITOSHA SOFIA","DOUGLAS NATURALS_SC_F_BODY_ULTRA RICH SOAP_100ML","075020","83","7.15",""
"68134","DBG0001-VITOSHA SOFIA","DOUGLAS SEASONAL_SC_F_WINTER EXPRESS_BAUBLE SOAP_90GR_LIM`23","075595","83","6.13","4.29"
"68134","DBG0001-VITOSHA SOFIA","REDKEN_HC_F_ACIDIC COLOR GLOSS_SHAMPOO_300ML","081003","82","32.21",""
"68134","DBG0001-VITOSHA SOFIA","MARVIS_SC_U_JASMIN MINT_TOOTHPASTE_85ML","081570","81","10.23",""
"68134","DBG0001-VITOSHA SOFIA","MARVIS_SC_U_WHITENING MINT_TOOTHPASTE_85ML","081574","81","10.74",""
"68134","DBG0001-VITOSHA SOFIA","MARVIS_SC_U_AQUATIC MINT_TOOTHPASTE_85ML","081576","81","10.23",""
"68134","DBG0001-VITOSHA SOFIA","MARVIS_SC_U_ANISE MINT_TOOTHPASTE_85ML","081580","81","10.23",""
"68134","DBG0001-VITOSHA SOFIA","MARVIS_SC_U_ORANGE BLOSSOM BLOOM_TOOTHPASTE_75ML","081582","81","10.23",""
"68134","DBG0001-VITOSHA SOFIA","MARVIS_SC_U_SENSITIVE GUMS MINT_TOOTHPASTE_75ML","081585","81","10.74",""
"68134","DBG0001-VITOSHA SOFIA","DOUGLAS MEN_SC_M_ENERGY_HAIR_ANTI DANDRUFF SHAMPOO_250ML","082402","82","10.22",""
"68134","DBG0001-VITOSHA SOFIA","DOUGLAS MEN_SC_M_ENERGY_HAIR_STRENGHTENING SHAMPOO_250ML","082403","82","10.22",""
"68134","DBG0001-VITOSHA SOFIA","DOUGLAS HAIR_HC_F_HYDRATE + REFRESH_SHAMPOO_250ML","084709","82","10.22",""
"68134","DBG0001-VITOSHA SOFIA","DOUGLAS NATURALS_SC_F_HAIR_GENTLE SHAMPOO_250ML","084737","82","13.29",""
"68134","DBG0001-VITOSHA SOFIA","NESTI DANTE_SC_U_VILLA SOLE_BLUE FREESIA_SOAP_250GR","085535","83","5.62",""
"68134","DBG0001-VITOSHA SOFIA","NESTI DANTE_SC_U_VILLA SOLE_PRICKLY PEAR_SOAP_250GR","085536","83","5.62",""
"68134","DBG0001-VITOSHA SOFIA","NESTI DANTE_SC_U_VILLA SOLE_PINEAPPLE_SOAP_250GR","085537","83","5.62",""
"68134","DBG0001-VITOSHA SOFIA","GUERLAIN_HC_F_ABEILLE ROYALE_HAIR SHAMPOO_290ML","085602","82","87.00",""
"68134","DBG0001-VITOSHA SOFIA","HAIR MAJESTY_HC_F_HAIR SHAMPOO_250ML","086569","82","21.47",""
"68134","DBG0001-VITOSHA SOFIA","MI AMANTE_HC_F_REGROW_HAIR SHAMPOO _250ML","086628","82","17.90",""
"68134","DBG0001-VITOSHA SOFIA","DOUGLAS HAIR_HC_F_CURL + DEFINE_SHAMPOO_250ML","086779","82","10.22",""
"68134","DBG0001-VITOSHA SOFIA","L`OREAL PR_HC_F_SE_VITAMINO COLOR_SPECTRUM SHAMPOO_300ML","087340","82","30.93",""
"68134","DBG0001-VITOSHA SOFIA","NESTI DANTE_SC_U_PISTACHIO&SALTED CARAMEL_SOAP_250GR","089450","83","5.62",""
"68134","DBG0001-VITOSHA SOFIA","NESTI DANTE_SC_U_MYRTLE-LEAVED ORANGE_SOAP_250GR","089451","83","5.62",""
"68134","DBG0002-PARK CENTER SOFIA","CLINIQUE_SC_F_3 STEP_SOAPS_EXTRA MILD LIQUID SOAP_200ML","003367","83","33.23",""
"68134","DBG0002-PARK CENTER SOFIA","CLINIQUE_SC_F_3 STEP_SOAPS_LIQUID  FACIAL SOAP_200ML","003368","83","33.23",""
"68134","DBG0002-PARK CENTER SOFIA","CLINIQUE_SC_F_3 STEP_SOAPS_LIQUID FACIAL SOAP_MILD_200ML","003369","83","33.23",""
