"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"07079","DS Home - Бургас, ул.Марица №2А","МОКРИ КЪРПИЧКИ ЕВЕНТ АНТИБАКТЕРИАЛНИ МАНДАРИНА 72БР","76063","84","1.65",""
"68134","DS Home - София1 - Околовръстен Път №69","МОКРИ КЪРПИЧКИ ЕВЕНТ АНТИБАКТЕРИАЛНИ МАНДАРИНА 72БР","76063","84","1.65",""
"68134","DS Home - София2, бул.Ботевградско шосе №433","МОКРИ КЪРПИЧКИ ЕВЕНТ АНТИБАКТЕРИАЛНИ МАНДАРИНА 72БР","76063","84","1.65",""
"72624","DS Home - Добрич, ул. Оп. Димитър Ковачев №68А","КЪРПИ БИОРАЗГРАДИМИ 5БР PREMIUM","7006","84","1.8918",""
"68134","DS Home - София1 - Околовръстен Път №69","МОКРИ КЪРПИЧКИ ЕВЕНТ АНТИБАКТЕРИАЛНИ 60БР","76065","84","1.749996",""
"68134","DS Home - София2, бул.Ботевградско шосе №433","МОКРИ КЪРПИЧКИ ЕВЕНТ АНТИБАКТЕРИАЛНИ 60БР","76065","84","1.749996",""
"68134","DS Home - София1 - Околовръстен Път №69","МОКРИ КЪРПИЧКИ ЕВЕНТ АНТИБАКТЕРИАЛНИ АЛОЕ ВЕРА 72БР","76064","84","1.65",""
"68134","DS Home - София2, бул.Ботевградско шосе №433","МОКРИ КЪРПИЧКИ ЕВЕНТ АНТИБАКТЕРИАЛНИ АЛОЕ ВЕРА 72БР","76064","84","1.65",""
"07079","DS Home - Бургас, ул.Марица №2А","МОКРИ КЪРПИЧКИ ЕВЕНТ АНТИБАКТЕРИАЛНИ ЛАВАНДУЛА 3 ПАК Х 15БР","76060","84","0.8436",""
"68134","DS Home - София1 - Околовръстен Път №69","МОКРИ КЪРПИЧКИ ЕВЕНТ АНТИБАКТЕРИАЛНИ ЛАВАНДУЛА 3 ПАК Х 15БР","76060","84","0.8436",""
"68134","DS Home - София2, бул.Ботевградско шосе №433","МОКРИ КЪРПИЧКИ ЕВЕНТ АНТИБАКТЕРИАЛНИ ЛАВАНДУЛА 3 ПАК Х 15БР","76060","84","0.8436",""
"07079","DS Home - Бургас, ул.Марица №2А","МОКРИ КЪРПИЧКИ ЕВЕНТ АНТИБАКТЕРИАЛНИ НЕВЕН 3 ПАК Х 15БР","76062","84","0.8436",""
"68134","DS Home - София1 - Околовръстен Път №69","МОКРИ КЪРПИЧКИ ЕВЕНТ АНТИБАКТЕРИАЛНИ НЕВЕН 3 ПАК Х 15БР","76062","84","0.8436",""
"68134","DS Home - София2, бул.Ботевградско шосе №433","МОКРИ КЪРПИЧКИ ЕВЕНТ АНТИБАКТЕРИАЛНИ НЕВЕН 3 ПАК Х 15БР","76062","84","0.8436",""
"72624","DS Home - Добрич, ул. Оп. Димитър Ковачев №68А","МОКРИ КЪРПИ БЕБЕ ОП-80БР МОН","91314","84","0.92028",""
"10135","DS Home - Варна, ул. Атанас Москов №29","МОКРИ КЪРПИ БЕБЕ ОП-80БР МОН","91314","84","0.92028",""
"07079","DS Home - Бургас, ул.Марица №2А","МОКРИ КЪРПИЧКИ ЕВЕНТ АНТИБАКТЕРИАЛНИ МАНДАРИНА 3 ПАК Х 15БР","76061","84","0.8436",""
"07079","DS Home - Бургас, ул.Марица №2А","МОКРИ КЪРПИЧКИ ЕВЕНТ АНТИБАКТЕРИАЛНИ АЛОЕ ВЕРА 3 ПАК Х 15БР","76059","84","0.8436",""
"68134","DS Home - София1 - Околовръстен Път №69","МОКРИ КЪРПИЧКИ ЕВЕНТ АНТИБАКТЕРИАЛНИ АЛОЕ ВЕРА 3 ПАК Х 15БР","76059","84","0.8436",""
"68134","DS Home - София2, бул.Ботевградско шосе №433","МОКРИ КЪРПИЧКИ ЕВЕНТ АНТИБАКТЕРИАЛНИ АЛОЕ ВЕРА 3 ПАК Х 15БР","76059","84","0.8436",""
