"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"10135","Варна Магазин Пристигащи","Twix Extra 75g","1806492","69","3",""
"10135","Варна Магазин Пристигащи","Ritter Sport Leche Alpes 30% 100g 12UN","1880626","69","4.5",""
"10135","Варна Магазин Пристигащи","Snickers 2 Pack 80G","1976249","69","3",""
"10135","Варна Магазин Пристигащи","Kinder Surprise T4x20g","2160817","69","8",""
"10135","Варна Магазин Пристигащи","LINDT Teddy 100g","2168354","69","8.5",""
"10135","Варна Магазин Пристигащи","Lovico Red Wine Mavrud 13% 75cl","2301336","76","6",""
"10135","Варна Магазин Пристигащи","Suhindol Gamza AOC Gold Label 13% 75cl","2301337","76","8.5",""
"10135","Варна Магазин Пристигащи","Bg Post Kadarka Semi-Sweet Red Wine 75Cl","2301340","76","8.5",""
"10135","Варна Магазин Пристигащи","Stambolovo C.Sauvignon & Mavrud 13% 75cl","2301342","76","9",""
"10135","Варна Магазин Пристигащи","Stambolovo Aoc Merlot 2009 13% 75cls","2301343","76","9.5",""
"10135","Варна Магазин Пристигащи","Stambolovo Merlot Old Vintage 1992 75cls","2301344","76","15",""
"10135","Варна Магазин Пристигащи","Khan Krum Muscat Rakia 40% 70cls","2304605","77","12.5",""
"10135","Варна Магазин Пристигащи","Kailyshka Grape Rakia 40% 70Cls","2304616","77","8",""
"10135","Варна Магазин Пристигащи","Domaine Peshtera Red Wine Sirah 13% 75cl","2304622","76","6.5",""
"10135","Варна Магазин Пристигащи","Troyan Sp. Reserve Rakia 25 Y 40% 70Cl","2304629","77","89",""
"10135","Варна Магазин Пристигащи","Troyan Fam. Reserve Rakia 1989 43% 70cls","2304630","77","277",""
"10135","Варна Магазин Пристигащи","Royal Cellar Fig Wine 14.5% 75cls","2328445","76","15",""
"10135","Варна Магазин Пристигащи","Asenovgrad Vpd Cabernet Franc 13.5% 75Cl","2352402","76","19.5",""
"10135","Варна Магазин Пристигащи","Asenovgrad Vpd Mavrud 14.5% 75Cls","2352403","76","19.5",""
"10135","Варна Магазин Пристигащи","Asenovgrad Premium Reserve Mavrud 75Cls","2352408","76","23.5",""
"10135","Варна Магазин Пристигащи","Asenovgrad Chardonnay Wine 14% 75Cls","2352410","75","18",""
"10135","Варна Магазин Пристигащи","Asenovgrad Rose Wine 13% 75Cls","2352411","76","18",""
"10135","Варна Магазин Пристигащи","Asenovgrad Enoteque Mavrud 1993 75cls","2352412","76","70",""
"10135","Варна Магазин Пристигащи","Asenovgrad Tsar Assen 1996 Mavrud 75cls","2352413","76","70",""
"10135","Варна Магазин Пристигащи","Hursovo Relevation Merlot 1 14% 75cls","2372134","76","17.5",""
"10135","Варна Магазин Пристигащи","Hursovo Rila Monastery Merlot 5 75Cls","2372135","76","19.5",""
"10135","Варна Магазин Пристигащи","Hursovo Alexander Merlot 7 14% 75Cls","2372136","76","19.5",""
"10135","Варна Магазин Пристигащи","Hursovo Grapes Merlot Wine 14% 75Cls","2372137","76","19.5",""
"10135","Варна Магазин Пристигащи","Hursovo Old Town Pink Merlot 14% 75Cls","2372138","76","19.5",""
"10135","Варна Магазин Пристигащи","Vinex Rubaiyat Grape Rakia 40% 70Cls","2418166","77","28",""
"10135","Варна Магазин Пристигащи","Lovico Chardonnay Reserve 75cls","2418175","75","6",""
"10135","Варна Магазин Пристигащи","Lovico Cabernet Sauvignon Resrve 75cls","2418176","76","6",""
"10135","Варна Магазин Пристигащи","Lovico Merlot Resrve Wine 75cls","2418177","76","6",""
"10135","Варна Магазин Пристигащи","Lovico Historica Chardonnay 13% 75cls","2418181","75","11.5",""
"10135","Варна Магазин Пристигащи","Lovico Historica Gamza 13.5% 75cls","2418183","76","11.5",""
"10135","Варна Магазин Пристигащи","Asenovgrad Mavrud Reserve 14% 75Cls","2418185","76","18",""
"10135","Варна Магазин Пристигащи","Asenovgrad Cab. Sauv. Reserve 13.5% 75Cl","2418186","76","18",""
"10135","Варна Магазин Пристигащи","Kosher Gold Slivovitz 10 Yo 50% 70Cls","2418202","77","35.5",""
"10135","Варна Магазин Пристигащи","Kerastase Divalent Bain 250ml","2473811","82","33",""
"10135","Варна Магазин Пристигащи","Kerastase Prevention Hairloss Bain 250ml","2473815","82","33",""
"10135","Варна Магазин Пристигащи","Moroccanoil Moisture Repair Shampoo250ml","2476882","82","30",""
"10135","Варна Магазин Пристигащи","Munz Ladybirds gift box 90g","2481283","69","16",""
"10135","Варна Магазин Пристигащи","Milete Milk Choco Fine Hazelnuts 80G","2484905","69","6.5",""
"10135","Варна Магазин Пристигащи","Milete Dark Chocolates Fine Orange 80G","2484906","69","6.5",""
"10135","Варна Магазин Пристигащи","Milete Dark Choco Fine Orange Piece 80G","2484909","69","5",""
"10135","Варна Магазин Пристигащи","Milete Dark Chocolate & Stevia Fine 80G","2484910","69","5",""
"10135","Варна Магазин Пристигащи","Milete Dark Choco Cranberry Stevia 80G","2484911","69","5",""
"10135","Варна Магазин Пристигащи","Milete Wellcome To Bulgaria Milk 90G","2484916","69","11",""
"10135","Варна Магазин Пристигащи","Milete Handmade Chocolates Red 100G","2484923","69","11",""
"10135","Варна Магазин Пристигащи","Milete Handmade Chocolates Coppery 100G","2484924","69","11",""
"10135","Варна Магазин Пристигащи","Festa Salty Hills Chardonnay 13.5% 75Cls","2484992","75","20.5",""
"10135","Варна Магазин Пристигащи","Festa Salty Hills Cab. Sauv. 13.5% 75Cls","2484993","76","20.5",""
"10135","Варна Магазин Пристигащи","Festa Salty Hills Rose Wine 13.5% 75Cls","2484994","76","20.5",""
"10135","Варна Магазин Пристигащи","Black Sea El Mar Chard. Wine 13% 75cls","2484995","75","8.5",""
"10135","Варна Магазин Пристигащи","Black Sea El Mar Muscat Wine 13% 75cls","2484996","75","8.5",""
"10135","Варна Магазин Пристигащи","Bsg Villa Ponte Chard.&Sauv. Blanc 75Cls","2485000","75","12",""
