"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"83510","Едеа Лебед, гр. Шумен ул. Ген. Драгомиров 46","ЯБЪЛКА ШАРЕНА","16","53","1.55",""
"83510","Едеа Рила, гр. Шумен, ул. Ген. Скобелев 124","ЯБЪЛКА ШАРЕНА","16","53","1.55",""
"61710","Едеа Разград, гр. Разград, ул. Хайдут Сидер 2","ЯБЪЛКА ШАРЕНА","16","53","1.55",""
"63427","Едеа Русе, гр. Русе, бул. Липник 121","ЯБЪЛКА ШАРЕНА","16","53","1.55",""
"83510","Едеа Куршун чешма, гр. Шумен, ул. Съединение 116","ЯБЪЛКА ШАРЕНА","16","53","1.55",""
"14516","Едеа Хитрино, с. Хитрино, ул. Еделвайс 1","ЯБЪЛКА ШАРЕНА","16","53","1.55",""
"83510","Едеа Лебед, гр. Шумен ул. Ген. Драгомиров 46","ЯБЪЛКА ЗЕЛЕНА II","17","53","2.2",""
"83510","Едеа Рила, гр. Шумен, ул. Ген. Скобелев 124","ЯБЪЛКА ЗЕЛЕНА II","17","53","2.2",""
"61710","Едеа Разград, гр. Разград, ул. Хайдут Сидер 2","ЯБЪЛКА ЗЕЛЕНА II","17","53","2.2",""
"63427","Едеа Русе, гр. Русе, бул. Липник 121","ЯБЪЛКА ЗЕЛЕНА II","17","53","2.2",""
"83510","Едеа Куршун чешма, гр. Шумен, ул. Съединение 116","ЯБЪЛКА ЗЕЛЕНА II","17","53","2.2",""
"14516","Едеа Хитрино, с. Хитрино, ул. Еделвайс 1","ЯБЪЛКА ЗЕЛЕНА II","17","53","2.2",""
"83510","Едеа Лебед, гр. Шумен ул. Ген. Драгомиров 46","ДОМАТИ РОЗОВИ II","31","54","3.9",""
"83510","Едеа Рила, гр. Шумен, ул. Ген. Скобелев 124","ДОМАТИ РОЗОВИ II","31","54","3.9",""
"61710","Едеа Разград, гр. Разград, ул. Хайдут Сидер 2","ДОМАТИ РОЗОВИ II","31","54","3.9",""
"63427","Едеа Русе, гр. Русе, бул. Липник 121","ДОМАТИ РОЗОВИ II","31","54","3.9",""
"83510","Едеа Куршун чешма, гр. Шумен, ул. Съединение 116","ДОМАТИ РОЗОВИ II","31","54","3.9",""
"14516","Едеа Хитрино, с. Хитрино, ул. Еделвайс 1","ДОМАТИ РОЗОВИ II","31","54","3.65",""
"83510","Едеа Лебед, гр. Шумен ул. Ген. Драгомиров 46","КАРТОФИ II","38","61","0.6",""
"83510","Едеа Рила, гр. Шумен, ул. Ген. Скобелев 124","КАРТОФИ II","38","61","0.6",""
"61710","Едеа Разград, гр. Разград, ул. Хайдут Сидер 2","КАРТОФИ II","38","61","0.6",""
"63427","Едеа Русе, гр. Русе, бул. Липник 121","КАРТОФИ II","38","61","0.6",""
"83510","Едеа Куршун чешма, гр. Шумен, ул. Съединение 116","КАРТОФИ II","38","61","0.6",""
"14516","Едеа Хитрино, с. Хитрино, ул. Еделвайс 1","КАРТОФИ II","38","61","0.6",""
"83510","Едеа Лебед, гр. Шумен ул. Ген. Драгомиров 46","ЛИМОНИ II","44","50","3.4",""
"83510","Едеа Рила, гр. Шумен, ул. Ген. Скобелев 124","ЛИМОНИ II","44","50","3.4",""
"61710","Едеа Разград, гр. Разград, ул. Хайдут Сидер 2","ЛИМОНИ II","44","50","3.4",""
"63427","Едеа Русе, гр. Русе, бул. Липник 121","ЛИМОНИ II","44","50","3.4",""
"83510","Едеа Куршун чешма, гр. Шумен, ул. Съединение 116","ЛИМОНИ II","44","50","3.4",""
"14516","Едеа Хитрино, с. Хитрино, ул. Еделвайс 1","ЛИМОНИ II","44","50","3.4",""
"83510","Едеа Лебед, гр. Шумен ул. Ген. Драгомиров 46","ПОРТОКАЛИ II","45","51","2.25",""
"83510","Едеа Рила, гр. Шумен, ул. Ген. Скобелев 124","ПОРТОКАЛИ II","45","51","2.25",""
"61710","Едеа Разград, гр. Разград, ул. Хайдут Сидер 2","ПОРТОКАЛИ II","45","51","2.25",""
"63427","Едеа Русе, гр. Русе, бул. Липник 121","ПОРТОКАЛИ II","45","51","2.25",""
"83510","Едеа Куршун чешма, гр. Шумен, ул. Съединение 116","ПОРТОКАЛИ II","45","51","2.25",""
"14516","Едеа Хитрино, с. Хитрино, ул. Еделвайс 1","ПОРТОКАЛИ II","45","51","2.25",""
"83510","Едеа Лебед, гр. Шумен ул. Ген. Драгомиров 46","ЛУК II","46","55","0.79",""
"83510","Едеа Рила, гр. Шумен, ул. Ген. Скобелев 124","ЛУК II","46","55","0.79",""
"61710","Едеа Разград, гр. Разград, ул. Хайдут Сидер 2","ЛУК II","46","55","0.79",""
"63427","Едеа Русе, гр. Русе, бул. Липник 121","ЛУК II","46","55","0.79",""
"83510","Едеа Куршун чешма, гр. Шумен, ул. Съединение 116","ЛУК II","46","55","0.79",""
"14516","Едеа Хитрино, с. Хитрино, ул. Еделвайс 1","ЛУК II","46","55","0.79",""
"83510","Едеа Лебед, гр. Шумен ул. Ген. Драгомиров 46","ДОМАТИ II","47","54","3.15",""
"83510","Едеа Рила, гр. Шумен, ул. Ген. Скобелев 124","ДОМАТИ II","47","54","3.15",""
"61710","Едеа Разград, гр. Разград, ул. Хайдут Сидер 2","ДОМАТИ II","47","54","3.15",""
"63427","Едеа Русе, гр. Русе, бул. Липник 121","ДОМАТИ II","47","54","3.15",""
"83510","Едеа Куршун чешма, гр. Шумен, ул. Съединение 116","ДОМАТИ II","47","54","3.15",""
"14516","Едеа Хитрино, с. Хитрино, ул. Еделвайс 1","ДОМАТИ II","47","54","3.15",""
"83510","Едеа Лебед, гр. Шумен ул. Ген. Драгомиров 46","БАНАНИ II","49","52","1.99",""
"83510","Едеа Рила, гр. Шумен, ул. Ген. Скобелев 124","БАНАНИ II","49","52","1.99",""
"61710","Едеа Разград, гр. Разград, ул. Хайдут Сидер 2","БАНАНИ II","49","52","1.99",""
"63427","Едеа Русе, гр. Русе, бул. Липник 121","БАНАНИ II","49","52","1.99",""
"83510","Едеа Куршун чешма, гр. Шумен, ул. Съединение 116","БАНАНИ II","49","52","1.99",""
"14516","Едеа Хитрино, с. Хитрино, ул. Еделвайс 1","БАНАНИ II","49","52","1.99",""
"83510","Едеа Лебед, гр. Шумен ул. Ген. Драгомиров 46","ЧЕСЪН II","53","59","5.45",""
"83510","Едеа Рила, гр. Шумен, ул. Ген. Скобелев 124","ЧЕСЪН II","53","59","5.45",""
"61710","Едеа Разград, гр. Разград, ул. Хайдут Сидер 2","ЧЕСЪН II","53","59","5.45",""
"63427","Едеа Русе, гр. Русе, бул. Липник 121","ЧЕСЪН II","53","59","5.45",""
"83510","Едеа Куршун чешма, гр. Шумен, ул. Съединение 116","ЧЕСЪН II","53","59","5.45",""
"14516","Едеа Хитрино, с. Хитрино, ул. Еделвайс 1","ЧЕСЪН II","53","59","5.45",""
"83510","Едеа Лебед, гр. Шумен ул. Ген. Драгомиров 46","ГЪБИ НАСИПНИ II","61","60","4.78",""
"83510","Едеа Рила, гр. Шумен, ул. Ген. Скобелев 124","ГЪБИ НАСИПНИ II","61","60","4.78",""
"61710","Едеа Разград, гр. Разград, ул. Хайдут Сидер 2","ГЪБИ НАСИПНИ II","61","60","4.78",""
"63427","Едеа Русе, гр. Русе, бул. Липник 121","ГЪБИ НАСИПНИ II","61","60","4.78",""
"83510","Едеа Куршун чешма, гр. Шумен, ул. Съединение 116","ГЪБИ НАСИПНИ II","61","60","4.78",""
"14516","Едеа Хитрино, с. Хитрино, ул. Еделвайс 1","ГЪБИ НАСИПНИ II","61","60","4.78",""
"83510","Едеа Лебед, гр. Шумен ул. Ген. Драгомиров 46","ЯБЪЛКА ЧЕРВЕНА II","81","53","2.29",""
"83510","Едеа Рила, гр. Шумен, ул. Ген. Скобелев 124","ЯБЪЛКА ЧЕРВЕНА II","81","53","2.29",""
"61710","Едеа Разград, гр. Разград, ул. Хайдут Сидер 2","ЯБЪЛКА ЧЕРВЕНА II","81","53","2.29",""
"63427","Едеа Русе, гр. Русе, бул. Липник 121","ЯБЪЛКА ЧЕРВЕНА II","81","53","2.29",""
"83510","Едеа Куршун чешма, гр. Шумен, ул. Съединение 116","ЯБЪЛКА ЧЕРВЕНА II","81","53","2.29",""
"14516","Едеа Хитрино, с. Хитрино, ул. Еделвайс 1","ЯБЪЛКА ЧЕРВЕНА II","81","53","2.29",""
"83510","Едеа Лебед, гр. Шумен ул. Ген. Драгомиров 46","КАРТОФИ МИТИ II","87","61","0.9",""
"83510","Едеа Рила, гр. Шумен, ул. Ген. Скобелев 124","КАРТОФИ МИТИ II","87","61","0.9",""
"61710","Едеа Разград, гр. Разград, ул. Хайдут Сидер 2","КАРТОФИ МИТИ II","87","61","0.9",""
"63427","Едеа Русе, гр. Русе, бул. Липник 121","КАРТОФИ МИТИ II","87","61","0.9",""
"83510","Едеа Куршун чешма, гр. Шумен, ул. Съединение 116","КАРТОФИ МИТИ II","87","61","0.9",""
"14516","Едеа Хитрино, с. Хитрино, ул. Еделвайс 1","КАРТОФИ МИТИ II","87","61","0.9",""
"83510","Едеа Лебед, гр. Шумен ул. Ген. Драгомиров 46","ДОМАТИ  КУМАТО","97","54","3.3",""
"83510","Едеа Рила, гр. Шумен, ул. Ген. Скобелев 124","ДОМАТИ  КУМАТО","97","54","3.3",""
