Населено място,Търговски обект,Наименование на продукта,Код на продукта,Категория,Цена на дребно,Цена в промоция
68134,Грийн Дели Кафе Бизнес парк - Бизнес парк Софиясграда 15,Баница с масло,6701,68,2.8,
68134,Грийн Дели Кафе Стамболийски - бул. Александър Стамболийски 35,Баница с масло,6701,68,2.8,
68134,Грийн Дели Кафе Черни връх - бул. Черни връх 32,Баница с масло,6701,68,2.8,
68134,Грийн Дели Кафе Мона - ул. Васил Стефанов 49,Баница с масло,6701,68,2.8,
68134,Грийн Дели Кафе Раковски - ул. Г. С. Раковски 165,Баница с масло,6701,68,2.8,
68134,Грийн Дели Кафе Тетрикс - бул. Драган Цанков 23 А,Баница с масло,6701,68,2.8,
68134,Грийн Дели Кафе Капитал Форт - бул. Цариградско шосе 7-11 км,Баница с масло,6701,68,2.8,
68134,Грийн Дели Кафе Саут Парк - ул. Хенрик Ибсен 13,Баница с масло,6701,68,2.8,
68134,Грийн Дели Кафе Св. Георги - бул. Никола Вапцаров 47,Баница с масло,6701,68,2.8,
68134,Грийн Дели Кафе Полиграфия - бул. Цариградско шосе 47 А,Баница с масло,6701,68,2.8,
68134,Грийн Дели Кафе Бизнес парк - Бизнес парк Софиясграда 15,Кроасан с масло,324,67,2,
68134,Грийн Дели Кафе Стамболийски - бул. Александър Стамболийски 35,Кроасан с масло,324,67,2,
68134,Грийн Дели Кафе Черни връх - бул. Черни връх 32,Кроасан с масло,324,67,2,
68134,Грийн Дели Кафе Мона - ул. Васил Стефанов 49,Кроасан с масло,324,67,2,
68134,Грийн Дели Кафе Раковски - ул. Г. С. Раковски 165,Кроасан с масло,324,67,2,
68134,Грийн Дели Кафе Тетрикс - бул. Драган Цанков 23 А,Кроасан с масло,324,67,2,
68134,Грийн Дели Кафе Капитал Форт - бул. Цариградско шосе 7-11 км,Кроасан с масло,324,67,2,
68134,Грийн Дели Кафе Саут Парк - ул. Хенрик Ибсен 13,Кроасан с масло,324,67,2,
68134,Грийн Дели Кафе Св. Георги - бул. Никола Вапцаров 47,Кроасан с масло,324,67,2,
68134,Грийн Дели Кафе Полиграфия - бул. Цариградско шосе 47 А,Кроасан с масло,324,67,2,
68134,Грийн Дели Кафе Бизнес парк - Бизнес парк Софиясграда 15,Кафе Green Deli Cafe 1кг,6469,71,33.1,
68134,Грийн Дели Кафе Стамболийски - бул. Александър Стамболийски 35,Кафе Green Deli Cafe 1кг,6469,71,33.1,
68134,Грийн Дели Кафе Черни връх - бул. Черни връх 32,Кафе Green Deli Cafe 1кг,6469,71,33.1,
68134,Грийн Дели Кафе Мона - ул. Васил Стефанов 49,Кафе Green Deli Cafe 1кг,6469,71,33.1,
68134,Грийн Дели Кафе Раковски - ул. Г. С. Раковски 165,Кафе Green Deli Cafe 1кг,6469,71,33.1,
68134,Грийн Дели Кафе Тетрикс - бул. Драган Цанков 23 А,Кафе Green Deli Cafe 1кг,6469,71,33.1,
68134,Грийн Дели Кафе Капитал Форт - бул. Цариградско шосе 7-11 км,Кафе Green Deli Cafe 1кг,6469,71,33.1,
68134,Грийн Дели Кафе Саут Парк - ул. Хенрик Ибсен 13,Кафе Green Deli Cafe 1кг,6469,71,33.1,
68134,Грийн Дели Кафе Св. Георги - бул. Никола Вапцаров 47,Кафе Green Deli Cafe 1кг,6469,71,33.1,
68134,Грийн Дели Кафе Полиграфия - бул. Цариградско шосе 47 А,Кафе Green Deli Cafe 1кг,6469,71,33.1,
68134,Грийн Дели Кафе Бизнес парк - Бизнес парк Софиясграда 15,Кафе Green Deli Cafe 250гр,682,70,8.9,
68134,Грийн Дели Кафе Стамболийски - бул. Александър Стамболийски 35,Кафе Green Deli Cafe 250гр,682,70,8.9,
68134,Грийн Дели Кафе Черни връх - бул. Черни връх 32,Кафе Green Deli Cafe 250гр,682,70,8.9,
68134,Грийн Дели Кафе Мона - ул. Васил Стефанов 49,Кафе Green Deli Cafe 250гр,682,70,8.9,
68134,Грийн Дели Кафе Раковски - ул. Г. С. Раковски 165,Кафе Green Deli Cafe 250гр,682,70,8.9,
68134,Грийн Дели Кафе Тетрикс - бул. Драган Цанков 23 А,Кафе Green Deli Cafe 250гр,682,70,8.9,
68134,Грийн Дели Кафе Капитал Форт - бул. Цариградско шосе 7-11 км,Кафе Green Deli Cafe 250гр,682,70,8.9,
68134,Грийн Дели Кафе Саут Парк - ул. Хенрик Ибсен 13,Кафе Green Deli Cafe 250гр,682,70,8.9,
68134,Грийн Дели Кафе Св. Георги - бул. Никола Вапцаров 47,Кафе Green Deli Cafe 250гр,682,70,8.9,
68134,Грийн Дели Кафе Полиграфия - бул. Цариградско шосе 47 А,Кафе Green Deli Cafe 250гр,682,70,8.9,
68134,Грийн Дели Кафе Капитал Форт - бул. Цариградско шосе 7-11 км,Шоколад Милка,757,69,1.64,
