"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"68134","ДОЙРАН - УЛ. ДОЙРАН №15","АРИАНА ТЪМНА БИРА 2 Л.","000017","74","2.19",""
"68134","ДОЙРАН - УЛ. ДОЙРАН №15","КРОАСАН С МАСЛО","000021","67","0.41",""
"68134","ДОЙРАН - УЛ. ДОЙРАН №15","КРОАСАН С МАСЛО И МАРГАРИН","000022","67","0.43",""
"68134","ДОЙРАН - УЛ. ДОЙРАН №15","КРОАСАН С ШУНКА И ГАУДА","000023","67","0.72",""
"68134","ДОЙРАН - УЛ. ДОЙРАН №15","СВИНСКИ ВРАТ БЕЗ КОСТ / КГ","000035","21","7.89",""
"68134","ДОЙРАН - УЛ. ДОЙРАН №15","ЕЛЕНКО КРЕНВИРШ / КГ","000037","26","9.79",""
"68134","ДОЙРАН - УЛ. ДОЙРАН №15","ЕЛЕНКО ТЕЛЕШКИ ШОЛ","000076","23","13.29",""
"68134","ДОЙРАН - УЛ. ДОЙРАН №15","ЦИГАРИ БЛЕК ДЕВИЛ АФТЕР ДИНЕР","000078","78","3.07",""
"68134","ДОЙРАН - УЛ. ДОЙРАН №15","ЕНИРА МЕРЛО ЧЕРВЕНО ВИНО 750 МЛ.","000139","76","7.72",""
"68134","ДОЙРАН - УЛ. ДОЙРАН №15","РАКИЯ РУСЕНСКИ БИСЕР КАЙСИЕВА","000143","77","5.42",""
"68134","ДОЙРАН - УЛ. ДОЙРАН №15","ЧЕРВЕНО ВИНО МАВРУД ТЕРЕС ТОДОРОВ","000152","76","10.22",""
"68134","ДОЙРАН - УЛ. ДОЙРАН №15","ЕЛЕНКО ИЗВАРА ОТ ОВЧЕ МЛЯКО 400 ГР.","000157","14","1.89",""
"68134","ДОЙРАН - УЛ. ДОЙРАН №15","СТОРКО ГРАХ  КОНСЕРВА 425 ГР","000160","47","1.45",""
"68134","ДОЙРАН - УЛ. ДОЙРАН №15","ВЕРЕЯ КИСЕЛО МЛЯКО 3.6% БДС 400 ГР.","000163","7","0.92",""
"68134","ДОЙРАН - УЛ. ДОЙРАН №15","ЕЛЕНКО КРАВЕ СИРЕНЕ / КГ","000174","8","9.20",""
"68134","ДОЙРАН - УЛ. ДОЙРАН №15","ЛАВАЦА БЕЗКОФЕИНОВО КАФЕ МЛЯНО ВАКУУМ 250 ГР.","000203","70","9.59",""
"68134","ДОЙРАН - УЛ. ДОЙРАН №15","ЧАЙ TWININGS ЪРЛ ГРЕЙ 25*2 ГР","000230","72","5.36",""
"68134","ДОЙРАН - УЛ. ДОЙРАН №15","ЧАЙ TWININGS МАНГО И ЯГОДА 20*2 ГР","000246","72","5.06",""
"68134","ДОЙРАН - УЛ. ДОЙРАН №15","ГРАНТ СЪРКЪЛ ШАРДОНЕ 2006 ПРОМО  0,750","000278","75","6.62",""
"68134","ДОЙРАН - УЛ. ДОЙРАН №15","АРИАНА БИРА 1.2 Л.","000282","74","1.17",""
"68134","ДОЙРАН - УЛ. ДОЙРАН №15","СВИНСКИ БУТ БЕЗ КОСТ / КГ","000285","19","5.98","5.29"
"68134","ДОЙРАН - УЛ. ДОЙРАН №15","СВИНСКО МЕСО ЗА ГОТВЕНЕ / КГ","000335","22","5.62",""
"68134","ДОЙРАН - УЛ. ДОЙРАН №15","ЕЛЕНКО ТЕЛЕШКО МЕСО ЗА ГОТВЕНЕ","000337","24","10.73",""
"68134","ДОЙРАН - УЛ. ДОЙРАН №15","ЦИГАРИ КАМЕЛ 10 СИН","000340","78","1.28",""
"68134","ДОЙРАН - УЛ. ДОЙРАН №15","МАДЖАРОВ КРАВЕ МАСЛО 125 ГР.","000365","12","2.70",""
"68134","ДОЙРАН - УЛ. ДОЙРАН №15","ТЧИБО ЕСПРЕСО СИЦИЛИЯ КАФЕ 250 ГР.","000561","70","7.46",""
"68134","ДОЙРАН - УЛ. ДОЙРАН №15","ПИЛЕШКО БУТЧЕ","000601","17","3.35",""
"68134","ДОЙРАН - УЛ. ДОЙРАН №15","ПИЛЕШКО ФИЛЕ","000602","16","8.19",""
"68134","ДОЙРАН - УЛ. ДОЙРАН №15","ПИЛЕ ЦЯЛО","000604","15","4.49",""
"68134","ДОЙРАН - УЛ. ДОЙРАН №15","СВИНСКИ ВРАТ С КОСТ / КГ БЪЛГАРИЯ","000620","21","6.85",""
"68134","ДОЙРАН - УЛ. ДОЙРАН №15","СВИНСКА ПЛЕШКА БЕЗ КОСТ / КГ- БЪЛГАРИЯ","000621","18","6.13",""
"68134","ДОЙРАН - УЛ. ДОЙРАН №15","СВИНСКИ ШОЛ","000626","20","6.54",""
"68134","ДОЙРАН - УЛ. ДОЙРАН №15","ОЦЕТ ЯБЪЛКОВ ВЕДА 700МЛ","000685","45","1.32",""
"68134","ДОЙРАН - УЛ. ДОЙРАН №15","САЛАТА ОЛИНЕЗА ТИКВИЧКИ С КИСЕЛО МЛЯКО 400ГР","000704","7","2.91",""
"68134","ДОЙРАН - УЛ. ДОЙРАН №15","БРАШНО ТИП 500 СОФИЯ МЕЛ 1 КГ.","000759","40","1.09",""
"68134","ДОЙРАН - УЛ. ДОЙРАН №15","ОЛИНЕЗА ЛЮТЕНИЦА СЪС СИРЕНЕ САЛАТА / КГ","000792","49","6.49",""
"68134","ДОЙРАН - УЛ. ДОЙРАН №15","ХЛЯБ ДОБРУДЖА 830ГР НАРЯЗАН","000823","2","1.29",""
"68134","ДОЙРАН - УЛ. ДОЙРАН №15","ЗЕХТИН КАРАПЕЛИ ЕЛ НОБЛЕ 1Л","000913","43","10.97",""
