"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"68134","Мотописта, София, бул. България 51","БИСКВИТИ ПАПАДОПУЛОС ОБИКНОВЕНИ 225Г","1227406","66","1.19","0.00"
"68134","Мотописта, София, бул. България 51","МАСЛЕНИ БИСКВИТИ КУТИЯ 135Г","1233421","66","0.99","0.00"
"68134","Мотописта, София, бул. България 51","БИСКВИТИ PETIT BEURRE 100Г","1233446","66","0.59","0.00"
"68134","Мотописта, София, бул. България 51","БИСКВИТИ С ДЕТСКИ ФОРМИ 100Г","1233451","66","0.79","0.00"
"68134","Мотописта, София, бул. България 51","КРОАСАН CHIPICAO С КАКАОВ КРЕМ 60Г","1118096","67","0.69","0.00"
"68134","Мотописта, София, бул. България 51","КРОАСАН 7DAYS С КАКАОВ КРЕМ 70Г","1144542","67","0.59","0.00"
"68134","Мотописта, София, бул. България 51","КРОАСАН 7DAYS DOUBLE КАКАО-ВАН.70Г","1182314","67","0.59","0.00"
"68134","Мотописта, София, бул. България 51","КРОАСАН 7DAYS С ПАРЧ.ШОКОЛАД 70Г","1207098","67","0.59","0.00"
"68134","Мотописта, София, бул. България 51","КРОАСАН 7DAYS КАЙСИЯ 70Г","1232102","67","0.59","0.00"
"68134","Мотописта, София, бул. България 51","КРОАСАН DAILY MINI КАКАО 72Г","1245650","67","0.99","0.00"
"68134","Мотописта, София, бул. България 51","КРОАСАН DAILY MINI МИЛФЬОЙ 72Г","1245651","67","0.99","0.00"
"68134","Мотописта, София, бул. България 51","КРОАСАН REPLAY КАКАО-ЛЕШН.КРЕМ 70Г","1245655","67","0.59","0.00"
"68134","Мотописта, София, бул. България 51","КРОАСАН REPLAY МИЛФЬОЙ 70Г","1245656","67","0.59","0.00"
"68134","Мотописта, София, бул. България 51","КРОАСАН REPLAY МАРМАЛАД КАЙСИЯ 70Г","1245657","67","0.59","0.00"
"68134","Мотописта, София, бул. България 51","КРОАСАН 7DAYS С КАКАО И ЛЕШНИЦИ 70Г","1249409","67","0.59","0.00"
"68134","Мотописта, София, бул. България 51","КРОАСАН DAILY МИНИ КАЙСИЯ 72Г","1254970","67","0.99","0.00"
"68134","Мотописта, София, бул. България 51","ВОДА ОТ КРИТ 1,5Л","1242531","73","0.35","0.00"
"68134","Мотописта, София, бул. България 51","ЧЕТКА ЗЪБИ ВЪЗР.ДВ.ЕЗИК-ЗЪБИ РОЗ.","072600700003","80","0.49","0.00"
"68134","Мотописта, София, бул. България 51","К-Т ЧЕТКИ ЗЪБИ ВЪЗР.ЗЛН/СИН/ЧРВ 3БР","1106589","80","1.49","0.00"
"68134","Мотописта, София, бул. България 51","ЧЕТКА ЗА ЗЪБИ ДЕТСКА СИНЯ 3 ГОДИНИ","1173082","80","0.49","0.00"
