"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","МЛЕЧЕН ШОКОЛАД ALPIKO 100 Г","200056","69","1.38","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","GUSTO ФИНА ГОТВАРСКА СОЛ 1КГ","200156","39","0.43","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","МОРКОВИ 1 КГ","200255","56","1.07","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","КРАСТАВИЦИ 1 КГ","200260","58","1.89","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","ЛИМОНИ 1 КГ","200268","50","2.69","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","БАНАНИ 1 КГ","200270","52","1.78","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","КРАВЕ МАСЛО НЕМСКО 82% 250 Г","200329","12","3.57","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","ДОМАТИ 1 КГ","200383","54","3.19","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","БРАШНО ПШЕН. ТИП 500 КАМКО 1КГ","200413","40","0.76","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","ЗЕЛЕН ГРАХ SUNNY 400Г","200525","47","0.92","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","ЛЮТЕНИЦА ПРЕМИУМ SUNNY 680Г","200623","49","4.34","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","ПАСИРАНИ ДОМАТИ LE BON 500МЛ","200737","48","0.92","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","ДОМАТИ ЦЕЛИ БЕЛЕНИ REGGIA 400Г","200747","48","0.81","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","ВЛАЖ. БЕБ.КЪРПИ COMFORT АЛОЕ LALIN 72БР","200887","84","0.97","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","ПАСТА ЗА ЗЪБИ TRIPLE ACTION COLGATE100МЛ","200926","81","1.78","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","ПАСТА/ЗЪБИ DENTAMED HERBAL 125МЛ","201052","81","0.95","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","ПАСТА/ЗЪБИ DENTAMED WHITE 125МЛ","201053","81","1.00","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","ПАСТА/ЗЪБИ DENTAMED ORIG. 125МЛ","201056","81","1.00","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","САПУН DOVE ORIGINAL 90 Г","201067","83","1.05","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","КРОАСАН С КАКАОВ КРЕМ LULU 80Г","201344","67","0.43","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","КРОАСАН С КАКАОВ КРЕМ FLASH 50Г","201351","67","0.27","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","МАСЛ.МАСЛО ПОМАС SANTORINA 1Л PET","201619","43","5.36","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","КАФЕ НА ЗЪРНА 100% РОБУСТА FIESTA 1КГ","201702","71","12.78","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","КАФЕ ФИЛТЪР FIESTA  250 Г","201703","70","2.96","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","ЯБЪЛКИ ЗЛАТНА ПРЕВЪЗХОДНА 1 КГ","201786","53","1.69","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","ЧЕРВЕН БОБ КИДНИ FIAMMA 400Г","201955","46","0.75","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","СИРЕНЕ КРАВЕ ЗДРАВJE, ЗА КГ","202043","9","10.22","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","ВЛАЖ.БЕБ.КЪРПИ BASIC ЛАЙКА LALIN 72БР","202294","84","0.76","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","ПАСТА ЗА ЗЪБИ MF COOL MINT COLGATE 100МЛ","202296","81","1.78","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","ШАМПОАН ЗА МЪЖЕ SCHAUMA 400 МЛ","202298","82","3.73","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","ЧАЙ ОТ ЛАЙКА FIESTA 20 Г","202367","72","0.40","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","ЧАЙ ОТ МЕНТА FIESTA 20 Г","202368","72","0.40","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","ЧАЙ ОТ ХИБИСКУС FIESTA 40Г","202369","72","0.61","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","ЧАЙ ОТ ЧЕРВ.БОРОВИНКА FIESTA 40Г","202373","72","0.76","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","ЧАЙ ОТ ГОРСКИ ПЛОД FIESTA 40 Г","202374","72","0.76","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","ЧАЙ ОТ АРОНИЯ И БОРОВ. FIESTA40Г","202375","72","0.76","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","ЧАЙ ПЛАНИНСКИ FIESTA 40Г","202376","72","0.61","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","ЧЕРВЕН ЛУК 1 КГ","203057","55","0.95","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","КРОМИД ЛУК 1 КГ","203149","55","0.61","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","ШАМПОАН ЗА БОЯДИСАНА КОСА SCHAUMA 400МЛ","203389","82","3.73","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","ШОКОЛАД МЛЕЧЕН GAJA 90 Г","203626","69","0.97","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","ОЦЕТ ВИНЕН 5% LE BON 1Л","203717","44","0.71","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","ОЦЕТ ЯБЪЛКОВ 4% LE BON 1Л","203719","45","0.76","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","ЧАЕНИ БИСКВИТИ MILORD 450 Г","204222","66","1.43","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","ПОСТНИ БИСКВИТИ MILORD 400Г","204276","66","0.92","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","ПАСТА ЗА ЗЪБИ WHITENING AQUAFRESH 125МЛ","204347","81","2.19","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","МАКАРОНИ ФУСИЛИ LA MEDITERRANEA 500Г","204856","36","1.02","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","СПАГЕТИ LA MEDITERRANEA 500Г","204858","37","1.02","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","ЛЮТЕНИЦА ЕДРОСМЛЯНА КЛАСИК SUNNY 660","205120","49","3.57","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","FIESTA КАФЕ ЕКСТРА СМЕС  200ГР","205171","70","2.04","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","ZAGORI НАТУРАЛНА МИНЕРАЛНА  ВОДА 1,5Л","205196","73","0.46","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","БОБ ЧЕРВЕН БУРКАН SUNNY FANTASY 540Г","205246","46","1.38","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","БОБ БЯЛ БУРКАН SUNNY FANTASY 540Г","205248","46","1.38","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","КАФЕ FIESTA GOLD МЛЯНО 250 Г","205250","70","4.34","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","БЯЛ БОБ СЪС ЗЕЛЕНЧ. SUNNY FANTASY 540Г","205331","46","1.38","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","ЧЕТКА ЗА ЗЪБИ ДЕТСКА DENTAMED 2 БРОЯ 3+","205555","80","0.81","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","ЧЕТКА ЗЪБИ DENTAMED ИНТЕРДЕНТАЛ СОФТ 1БР","205556","80","0.66","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","ТОАЛЕТНА ХАРТИЯ ROLLETI АЛ.ВЕРА 8БР,3ПЛ","205562","85","2.55","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","ВИНО БЯЛО ШАРДОНЕ DOMAINE BOYAR 0,75 Л","206604","75","4.47","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","ВИНО ЧЕРВ. ПИНО НОАР&MEРЛО QUANTUM 0,75Л","206605","76","5.56","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","БИСКВИТИ ОБИКНОВЕНИ БАЛКАН 150 Г","206624","66","0.56","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","ЯБЪЛКИ червени 1КГ","206723","53","1.85","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","ПРЯСНО МЛЯКО 3% ВЕРЕЯ БУТИЛКА 1Л","206775","6","1.63","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","ПРЯСНО МЛЯКО 1,5% ВЕРЕЯ БУТИЛКА 1Л","206776","6","1.53","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","КИСЕЛО МЛЯКО КРАВЕ 2,9% ВЕРЕЯ 400Г","206782","7","0.81","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","КИСЕЛО МЛЯКО КРАВЕ 2%  ВЕРЕЯ 400Г","206784","7","0.76","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","КИСЕЛО МЛЯКО КРАВЕ 3,6%  ВЕРЕЯ 400Г","206785","7","0.84","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","СИРЕНЕ КРАВЕ ВЕРЕЯ 400Г","206791","9","4.60","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","КАШКАВАЛ ОТ КРАВЕ МЛЯКО ВЕРЕЯ 400Г","206792","11","6.74","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","ТОАЛ.ХАРТИЯ ROLLETI РЕЦИКЛИРАНА 8 БРОЯ","207120","85","1.32","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","ПРЕПАРАТ ЗА СЪДОВЕ KLINKO ЛИМОН 900 МЛ","207860","79","1.22","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","КИСЕЛО МЛЯКО КРАВЕ 2% НА ХОРОТО 400Г","208007","7","0.49","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","КИСЕЛО МЛЯКО КРАВЕ 3,6% САЯНА 400Г","208015","7","0.79","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","СИРЕНЕ КРАВЕ САЯНА 400Г","208049","9","4.24","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","КАШКАВАЛ ОТ КРАВЕ МЛЯКО САЯНА 400Г","208055","11","5.87","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","ТОЧЕНИ КОРИ  GUSTO 400Г","208070","5","0.97","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","КРАВЕ МАСЛО ИРЛАНДСКО AVONMORE 200 Г","208071","12","3.32","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","ПИЛЕ ЦЯЛО ОХЛ. ЛУДОГОРСКО ПИЛЕ, ЗА КГ","208074","15","3.57","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","ПРЯСНО ПИЛ. ФИЛЕ ОТ ГЪРДИ ОХЛ. 650 ГР.","208075","16","4.70","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","ПРЕСЕН ПИЛЕШКИ БУТ С ЧАСТ ОТ ГЪРБА ЗА КГ","208076","17","2.96","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","СВИНСКО МЕСО ЗА ГОТВЕНЕ ЗАЩ. АТМ. 600 Г.","208079","22","3.57","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","СКУМРИЯ ЦЯЛА ЗАМР. ЗА КГ","208101","29","5.01","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","ВИНЕРВУРСТ ТЪРНОВСКИ МАЙСТОРИ, КГ","208123","27","5.11","0.00"
"04279","МАГАЗИН 127 БЛАГОЕВГРАД","КРЕНВИРШИ СВИНСКИ КЕН 320 ГР.","208135","27","2.55","0.00"
