"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"68134","0164 - Мосю Бриколаж - София - Бул. Цариградско шосе 115","LINDT ШОКОЛАДОВО МЕЧЕ 100ГР","000000000000958129","69","5.11",""
"68134","0164 - Мосю Бриколаж - София - Бул. Цариградско шосе 115","ВИНО INCANTO СИРА СИНГЪЛ ВИНЯРД 075Л","000000000001020077","76","10.22",""
"68134","0164 - Мосю Бриколаж - София - Бул. Цариградско шосе 115","ВИНО INCANTO МЕРЛО СИНГЪЛ ВИНЯРД 075Л","000000000001020078","76","10.22",""
"68134","0164 - Мосю Бриколаж - София - Бул. Цариградско шосе 115","ВИНО GREAT BULGARIA 075Л","000000000001020079","76","10.22",""
"68134","0164 - Мосю Бриколаж - София - Бул. Цариградско шосе 115","ВИНО EXCENTRIC ВИОНИЕ 075Л","000000000001020080","75","7.15",""
"68134","0164 - Мосю Бриколаж - София - Бул. Цариградско шосе 115","ВИНО EXCENTRIC VIPER 075Л","000000000001020101","75","7.15",""
"68134","0164 - Мосю Бриколаж - София - Бул. Цариградско шосе 115","ВИНО EXCENTRIC МАВРУД 075Л","000000000001020102","76","7.15",""
"68134","0164 - Мосю Бриколаж - София - Бул. Цариградско шосе 115","ВИНО EXCENTRIC РУБИН 075Л","000000000001020103","76","7.15",""
"68134","0164 - Мосю Бриколаж - София - Бул. Цариградско шосе 115","ВИНО A GOOD YEAR ШАРДОНЕ UNOAKED 075Л","000000000001020104","75","5.62",""
"68134","0164 - Мосю Бриколаж - София - Бул. Цариградско шосе 115","ВИНО A GOOD YEAR СОВИНЬОН БЛАН 075Л","000000000001020105","75","5.62",""
"68134","0164 - Мосю Бриколаж - София - Бул. Цариградско шосе 115","ВИНО A GOOD YEAR КАБЕРНЕ 075Л","000000000001020106","76","5.62",""
"68134","0164 - Мосю Бриколаж - София - Бул. Цариградско шосе 115","ВИНО A GOOD YEAR СИРА 075Л","000000000001020107","76","5.62",""
"68134","0164 - Мосю Бриколаж - София - Бул. Цариградско шосе 115","IQ КРОАСАН С ЛЕШНИКОВ КРЕМ И КАКАО 110Г","000000000001021882","67","1.02",""
"68134","0164 - Мосю Бриколаж - София - Бул. Цариградско шосе 115","IQ КРОАСАН С БОРОВИНКИ И НАР 110Г","000000000001021883","67","1.02",""
"68134","0164 - Мосю Бриколаж - София - Бул. Цариградско шосе 115","IQ КРОАСАН С КАКАО-ВАФЛЕН КРЕМ 110Г","000000000001021884","67","1.02",""
"68134","0164 - Мосю Бриколаж - София - Бул. Цариградско шосе 115","LINDT CLASSIC МЛЕЧЕН 100Г","000000000001023263","69","3.57",""
"68134","0164 - Мосю Бриколаж - София - Бул. Цариградско шосе 115","LINDT LINDOR МЛЕЧЕН 100Г","000000000001023264","69","3.57",""
"68134","0164 - Мосю Бриколаж - София - Бул. Цариградско шосе 115","ВИНО EXCENTRIC СОВИНЬОН БЛАН 075Л","000000000001024568","75","7.15",""
"68134","0164 - Мосю Бриколаж - София - Бул. Цариградско шосе 115","ВИНО A GOOD YEAR ТРАМИНЕР ПИНК 075Л","000000000001024619","75","5.62",""
"68134","0164 - Мосю Бриколаж - София - Бул. Цариградско шосе 115","ВИНО A GOOD YEAR МЕРЛО 075Л","000000000001028851","76","5.62",""
"68134","0164 - Мосю Бриколаж - София - Бул. Цариградско шосе 115","ВИНО A GOOD YEAR КЮВЕ 075Л","000000000001028852","76","5.62",""
"68134","0164 - Мосю Бриколаж - София - Бул. Цариградско шосе 115","FERRERO ROCHER МЛЕЧЕН 90Г","000000000001030579","69","3.06",""
"68134","0164 - Мосю Бриколаж - София - Бул. Цариградско шосе 115","ROSHEN АЕРО МЛЕЧЕН  ШОКОЛАД 80Г","000000000001034018","69","1.78",""
"68134","0164 - Мосю Бриколаж - София - Бул. Цариградско шосе 115","КИНДЕР СЮРПРИЗ XMAS МАКСИ 100Г","000000000001035533","69","6.13",""
"68134","0164 - Мосю Бриколаж - София - Бул. Цариградско шосе 115","КИНДЕР СЮРПРИЗ XMAS МАКСИ ЛЕЙДИ 100Г","000000000001035534","69","6.13",""
"68134","0164 - Мосю Бриколаж - София - Бул. Цариградско шосе 115","МОКРИ КЪРПИ BEBELAN АЛОЕ И ЛАЙКА","000000000001038692","84","1.84",""
"68134","0164 - Мосю Бриколаж - София - Бул. Цариградско шосе 115","МОКРИ КЪРПИ BEBELAN СМРАДЛИКА И ЛАЙКА","000000000001038693","84","1.84","1.29"
