"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"00182","СУПЕРМАРКЕТ СИДИ - УЛ. ПЕТРОВА НИВА 5А","= КОРИ БЕЛЛА 400ГР ТОЧЕНИ","001027","5","1.84",""
"00182","СУПЕРМАРКЕТ СИДИ - УЛ. ПЕТРОВА НИВА 5А","= КОРИ ФАМИЛИЯ 500ГР ТОЧЕНИ","001028","5","2.16",""
"00182","СУПЕРМАРКЕТ СИДИ - УЛ. ПЕТРОВА НИВА 5А","= ХЛЯБ СЛАДКАР 600ГР СЕЛСКИ ТИПОВ С КВАС","001087","4","1.02",""
"00182","СУПЕРМАРКЕТ СИДИ - УЛ. ПЕТРОВА НИВА 5А","= БАНИЧКИ БЕЛЛА 8*60ГР ТОЧЕНИ КОРИ СИРЕНЕ","001148","68","2.04",""
"00182","СУПЕРМАРКЕТ СИДИ - УЛ. ПЕТРОВА НИВА 5А","= БАНИЧКИ ФАМИЛИЯ 1КГ ТОЧЕНИ КОРИ МИНИ СЪС СИРЕНЕ","001208","68","3.57",""
"00182","СУПЕРМАРКЕТ СИДИ - УЛ. ПЕТРОВА НИВА 5А","= КОРИ ТРАКИЙСКИ 400ГР ТОЧЕНИ","001310","5","1.53",""
"00182","СУПЕРМАРКЕТ СИДИ - УЛ. ПЕТРОВА НИВА 5А","= ХЛЯБ САМУНЪ 500ГР С КВАС","001370","1","1.17",""
"00182","СУПЕРМАРКЕТ СИДИ - УЛ. ПЕТРОВА НИВА 5А","= ХЛЯБ САВИМЕКС 500ГР ЗЛ ДОБРУДЖА ТОСТЕР РЪЖЕН","001411","3","1.17",""
"00182","СУПЕРМАРКЕТ СИДИ - УЛ. ПЕТРОВА НИВА 5А","= ХЛЯБ ДЕМЕА 650ГР БЯЛ ПАКЕТИРАН","001413","1","0.95",""
"00182","СУПЕРМАРКЕТ СИДИ - УЛ. ПЕТРОВА НИВА 5А","= ХЛЯБ ДЕМЕА 650ГР ТИПОВ УС","001415","4","0.95",""
"00182","СУПЕРМАРКЕТ СИДИ - УЛ. ПЕТРОВА НИВА 5А","= ХЛЯБ САВИМЕКС 500ГР ЗЛ ДОБРУДЖА ТОСТЕР ПШ БЯЛ","001512","1","1.17",""
"00182","СУПЕРМАРКЕТ СИДИ - УЛ. ПЕТРОВА НИВА 5А","= ХЛЯБ СЛАДКАР 600ГР СЕЛСКИ БЯЛ С КВАС","001780","1","1.02",""
"00182","СУПЕРМАРКЕТ СИДИ - УЛ. ПЕТРОВА НИВА 5А","= БАНИЦА БОЛЯРСКА БАНИЦА 195ГР ТРИЪГЪЛНА","001836","68","1.43",""
"00182","СУПЕРМАРКЕТ СИДИ - УЛ. ПЕТРОВА НИВА 5А","= БАНИЦА БОЛЯРСКА БАНИЦА 195ГР ДЪЛГА","001851","68","1.43",""
"00182","СУПЕРМАРКЕТ СИДИ - УЛ. ПЕТРОВА НИВА 5А","= ЧЕСЪН","002004","59","4.67",""
