Населено място,Търговски обект,Наименование на продукта,Код на продукта,Категория,Цена на дребно,Цена в промоция
68134,"гр. София, ж.к. Младост 1, до бл.72А","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47,1.2495
68134,"гр. София, ж.к. Люлин-2, до бл. 227","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47,1.2495
68134,"гр. София, ж.к. Сухата река, ул. Тодорини кукли 47","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47,1.2495
68134,"гр. София, ж.к. Гевгелийски, ул. Мачуково, срещу бл. 1","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47,1.2495
68134,"гр. София, ж.к. Люлин 10, ул. Гоце Делчев (УПИ 8, кв.32)","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47,1.2495
68134,"гр. София, ж.к. Красна поляна, ул. Суходолска №2","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47,1.2495
68134,"гр. София, ж.к. Дианабад, ул. Васил Калчев 10","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47,1.2495
68134,"гр. София, ж.к. Овча купел-2, до бл. 18","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47,1.2495
68134,"гр. София, ж.к. Стрелбище, ул. Червена роза 50","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47,1.2495
68134,"гр. София, ж.к. Изток, ул. Атанас Далчев 2","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47,1.2495
68134,"гр. София, кв. Редута ул. Атанас Узунов 14","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47,1.2495
68134,"гр. София, кв. Борово до бл. 232","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47,1.2495
68134,"гр. София, ж.к. Лагера, ул. Баба Илийца 2","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47,1.2495
27303,"гр. Елин Пелин, ул. Стоян Михайловски 5","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47,1.2495
72343,"гр. Тетевен, Площад Сава Младенов 1","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47,1.2495
68134,"гр. София, ж.к. Дружба, до бл.86","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47,1.2495
68134,"гр. София, ж.к. Младост 4, ул. Бъднина 15","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47,1.2495
14711,"гр. Генерал Тошево, ул. Иван Вазов 24","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47,1.2495
16359,"гр. Горна Оряховица, ул. Васил Левски 10","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47,1.2495
68134,"гр. София, ж.к. Разсадника, бл. 129-130, вх. Г, ет. Партер","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47,1.2495
68134,"гр. София, ж.к. Младост 2, между блок 206 и 209","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47,1.2495
55871,"гр. Перник 1, кв. Димова махала, до OMV","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47,1.2495
38902,"гр. Костенец,  Центр. градска част, кв. 89, ул. Търговска","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47,1.2495
55871,"гр. Перник 2, кв. ""Изток"", ул. Благой Гебрев,  35А","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47,1.2495
12259,"гр. Враца, ж.к. Дъбника, кв.119, комплекс РУМ","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47,1.2495
48489,"гр. Монтана, бул. Ген. Арнолди 6","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47,1.2495
7702,"гр. Бяла Слатина, ул. Търнавска 41 А","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47,1.2495
37798,"гр. Козлодуй, ул. Освободител 47","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47,1.2495
68134,"гр. София, Възкресение, бул. Възкресение 85","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47,1.2495
70528,"гр. Съединение, ул. Александър Стамболийски 4","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47,1.2495
87374,"гр. Ямбол, ул. „Преслав"" №266","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47,1.2495
61813,"гр. Разлог, ул. Гоце Делчев 53","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47,1.2495
68134,"гр. София, ж.к. Дружба 1, ул. „5030“ 6","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47,1.2495
38978,"гр. Костинброд, ул. Йордан Йовков 39","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47,1.2495
35167,"гр. Казанлък, бул. „Княз Александър Батенберг“ 217","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47,1.2495
56722,"гр. Плевен, ж.к. Сторгозия № 79","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47,1.2495
44327,"гр. Луковит, ул. Момчилец 1","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47,1.2495
68134,"гр. София, ж.к. Люлин 9, ул. Асен Николов 19","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47,1.2495
87374,"гр. Ямбол, ул. Търговска 85","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47,1.2495
51500,"гр. Несебър, ул. ж.к.Черно море 40-42","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47,1.2495
357,гр. Нови Искър ул.Искърско дефиле 116,"Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47,1.2495
10971,"гр. Видин, ул. Железничарска №19","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47,1.2495
151,гр. Айтос ул.Хаджи Димиър 27,"Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47,1.2495
56784,"гр. Пловдив, бул. Васил Априлов 102","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47,1.2495
702,"гр. Асеновград, ул. Александър Стамболийски 7","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47,1.2495
59080,"гр. Първомай,  ул. Орфей 16","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47,1.2495
56784,"гр. Пловдив, ж.к. Христо Смирненски, ул. Вечерница 3","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47,1.2495
56784,"гр. Пловдив, ж.к. Христо Смирненски, ул. Йордан Гавазов 23","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47,1.2495
56784,"гр. Пловдив, ж.к. Гагарин, ул. Огражден, п.к.№400","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.47,1.2495
