"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"07079","Магазин ТФ Бургас","Alambic Rakia 40%  0.7L ","0081144","77","27.00","0.00"
"07079","Магазин ТФ Бургас","Bona Aroma TF Crema Beans Coffee 1.0 kg","0075700","71","18.40","15.30"
"07079","Магазин ТФ Бургас","Bona Aroma TF Espresso Beans Coffee 1.0 kg","0075701","71","18.40","15.30"
"07079","Магазин ТФ Бургас","Bona Aroma TF Intenso Beans Coffee 1.0 kg","0075702","71","18.40","15.30"
"07079","Магазин ТФ Бургас","Cauza Carmenere & Merlot & Cabernet Sauvignon 0.75L","0085418","76","7.00","0.00"
"07079","Магазин ТФ Бургас","Cauza Viognier 0.75L","0085410","75","7.00","0.00"
"07079","Магазин ТФ Бургас","Chateau Copsa Stradivarius Selection Rouge 0.75L","0065509","76","10.20","0.00"
"07079","Магазин ТФ Бургас","Chukara Winery Muscat Ottonel white 0.75L","0061873","75","7.20","0.00"
"07079","Магазин ТФ Бургас","Chukara Winery Sokay Sauvignon Blanc 0.75L","0064003","75","9.70","0.00"
"07079","Магазин ТФ Бургас","Clinique Z4KL-01 Foaming Facial Soap 150 ML","0051866","83","29.90","29.90"
"07079","Магазин ТФ Бургас","Colorito Syrah 0.75L","0056105","76","11.00","7.62"
"07079","Магазин ТФ Бургас","Compagnia Arabica Cofee Selection 4x125g","0028565","70","14.40","0.00"
"07079","Магазин ТФ Бургас","Dallmayr Barista Crema Dolce Coffee Beans 1.0 kg","0075708","71","20.40","0.00"
"07079","Магазин ТФ Бургас","Dallmayr Barista Crema Forte Coffee Beans 1.0 kg","0075706","71","20.40","0.00"
"07079","Магазин ТФ Бургас","Dallmayr Barista Espresso Intenso Coffee Beans 1.0 kg","0075707","71","20.40","0.00"
"07079","Магазин ТФ Бургас","Danco Extra Virgin Olive Oil PET 1L ","0023149","43","14.80","0.00"
"07079","Магазин ТФ Бургас","Find Me Sauvignon Blanc & Pinot Gri 0.75L","0081150","75","8.00","0.00"
"07079","Магазин ТФ Бургас","Find Me Sauvignon Blanc 0.75L","0081149","75","8.00","0.00"
"07079","Магазин ТФ Бургас","Hermes 110440V0 Feminine 24 Barenia Perfumed Soap 125 ml","0080239","83","33.00","0.00"
"07079","Магазин ТФ Бургас","Illy Coffee Beans Tin 250g","0032523","70","9.30","0.00"
"07079","Магазин ТФ Бургас","Illycaffe Ground Espresso 250g","0022328","70","9.30","0.00"
"07079","Магазин ТФ Бургас","Kaliston Extra Virgin Olive Oil BTL 1.0L ","0026415","43","14.30","0.00"
"07079","Магазин ТФ Бургас","Kaliston Extra Virgin Olive Oil TIN 1.0L ","0026416","43","8.18","0.00"
"07079","Магазин ТФ Бургас","Karabunar Kulturna Reserve 2004 40% 0.7L","0020825","77","46.00","0.00"
"07079","Магазин ТФ Бургас","Khan Krum Rakia muskatova 40% 0.7l","0015721","77","9.30","0.00"
"07079","Магазин ТФ Бургас","L'Occitane 17SH300E24 Gentle and Balance Shampoo 300 ml","0063442","82","21.50","0.00"
"07079","Магазин ТФ Бургас","Midalidare 42/25 Chardonnay & Viognier & Sauvignon Blanc 0.75","0045962","75","5.90","0.00"
"07079","Магазин ТФ Бургас","Midalidare 42/25 Sauvignon Blanc 0.75 L","0045961","75","5.90","0.00"
"07079","Магазин ТФ Бургас","Midalidare 42/25 Syrah & Cabernet Sauvignon 0.75L","0050114","76","5.90","0.00"
"07079","Магазин ТФ Бургас","Midalidare Cabernet Sauvignon & petit Verdot 0.75","0030727","76","7.90","0.00"
"07079","Магазин ТФ Бургас","Midalidare Carpe Diem Magnum White Wine 1.5L","0030999","75","17.84","0.00"
"07079","Магазин ТФ Бургас","Midalidare Merlot & Cabernet Franc 0.75L","0030728","76","7.90","0.00"
"07079","Магазин ТФ Бургас","Midalidare New Zealand Marlborough Sauvignon Blanc 0.75L","0079152","75","12.30","10.40"
"07079","Магазин ТФ Бургас","Midalidare Nota Bene Merlot & Malbec & Syrah 0.75L","0030729","76","9.20","0.00"
"07079","Магазин ТФ Бургас","Midalidare Silver Angel Sauvignion Blanc 1.5L","0033619","75","17.84","0.00"
"07079","Магазин ТФ Бургас","Midalidare Silver Angel Sauvignon Blanc 0.75L","0030725","75","7.90","6.70"
"07079","Магазин ТФ Бургас","Milka Alpine Milk 90g","0049641","69","1.70","1.20"
"07079","Магазин ТФ Бургас","Orbelia Via Aristotelis Cabernet Sauvignon Red Wine 0.75 L","0082727","76","12.20","0.00"
"07079","Магазин ТФ Бургас","Orbelia Via Aristotelis Chardonnay & San.Misket & Tamianka 0.75L","0078145","75","9.20","0.00"
"07079","Магазин ТФ Бургас","Orbelia Via Aristotelis Merlot Red Wine 0.75 L","0082725","76","12.20","0.00"
"07079","Магазин ТФ Бургас","Pellini No:4 Crema Tradizionale 1kg beans ","0071999","71","25.00","0.00"
"07079","Магазин ТФ Бургас","Pellini TOP ARABICA 100% 250g BOX ","0043035","70","9.70","0.00"
"07079","Магазин ТФ Бургас","Pellini TOP DECAFEINNATO ARABICA 100% 250g BOX ","0043036","70","9.70","0.00"
"07079","Магазин ТФ Бургас","Pendapolis Olive Oil 1L PET","0085816","43","12.30","0.00"
"07079","Магазин ТФ Бургас","Pendapolis Olive Oil glass 1L","0085815","43","13.80","0.00"
