"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"07079","БУРГАС, Mall Gаlleria, Ниво партер","Шампоан за защита на цвета и блясък на боядисана коса 300 мл Redken Acidic Color Gloss Shampoo","E4068500","82","32.21","25.77"
"07079","БУРГАС, Mall Gаlleria, Ниво партер","Подхранващ шампоан за суха коса 500 мл PHYTO Nourishing Shampoo","PH1008061WW","82","25.51",""
"07079","БУРГАС, Mall Gаlleria, Ниво партер","Шампоан за обем на косата 500 мл PHYTO PHYTOVOLUME Volumizing Shampoo","PH1006051WW","82","25.51",""
"07079","БУРГАС, Mall Gаlleria, Ниво партер","Обновяващ шампоан 250 мл Wella Professionals ELEMENTS Renewing Shampoo","1100017919","82","19.63",""
"07079","БУРГАС, Mall Gаlleria, Ниво партер","Шампоан за боядисана коса 500 мл PHYTO PHYTOCOLOR Protecting Shampoo","PH1013021WW","82","25.51",""
"07079","БУРГАС, Mall Gаlleria, Ниво партер","Възстановяващ шампоан за увредена коса 250 мл Wella Professionals Ultimate Repair Shampoo","1100016988","82","30.37",""
"07079","БУРГАС, Mall Gаlleria, Ниво партер","Шампоан за контрол на омазняването, обем и виталност 400 мл O'right Myrtle Oil-Control Shampoo","11101051A","82","30.17",""
"07079","БУРГАС, Mall Gаlleria, Ниво партер","Успокояващ шампоан 250 мл Wella Professionals Elements Calming Shampoo","1100019031","82","19.63",""
"07079","БУРГАС, Mall Gаlleria, Ниво партер","Изглаждащ и контролиращ фриза шампоан 250 мл Moroccanoil Frizz Control Shampoo","MRCSHFRIZZ250BU","82","29.65",""
"07079","БУРГАС, Mall Gаlleria, Ниво партер","Шампоан за коса на вълни и чуплива коса 500 мл LOLA From Rio Ondulados Shampoo","9013","82","18.87",""
"07079","БУРГАС, Mall Gаlleria, Ниво партер","Шампоан за интензивна хидратация на третирана коса 250 мл LOLA From Rio Morte Subita Shampoo","9006","82","13.09",""
"07079","БУРГАС, Mall Gаlleria, Ниво партер","Супер хидратиращ шампоан 250 мл LOLA From Rio Dream Cream Super Hydrating Shampoo","9015","82","13.09",""
"07079","БУРГАС, Mall Gаlleria, Ниво партер","Шампоан за възстановяване и заздравяване 250 мл LOLA From Rio Danos Vorazes Fortifier Shampoo","9027","82","13.09",""
"07079","БУРГАС, Mall Gаlleria, Ниво партер","Ревитализиращ шампоан за стимулиране на растежа на косата и заздравяване 250 мл LOLA From Rio Rapunzel Rejuvenating Shampoo","9010","82","12.58",""
"07079","БУРГАС, Mall Gаlleria, Ниво партер","Шампоан за хидратация на къдрава коса 500 мл LOLA From Rio Meu Cacho Minha Vida Shampoo","9003","82","21.42",""
"07079","БУРГАС, Mall Gаlleria, Ниво партер","Шампоан за изглаждане и блясък с термозащита 250 мл LOLA From Rio Xapadinha Anti-Breakage Shampoo","9036","82","14.11",""
"07079","БУРГАС, Mall Gаlleria, Ниво партер","Възстановяващ веган шампоан с растителен кератин и масло от бодлива круша 500 мл Contempora Vegan Restructuring Shampoo","9000800HS","82","11.76",""
"07079","БУРГАС, Mall Gаlleria, Ниво партер","Шампоан за обем за къдрава коса с масло от пеки и растителен комплекс 250 мл NOAH Curly Volumizing Shampoo","1000110718","82","13.24","10.59"
