"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"68134","Кънвиниънс АД - Онлайн супермаркет eBag - https://www.ebag.bg/","Препарат за Съдове Exo Хидробалсам Лайка - 400 мл","117605","79","1.53",""
"68134","Кънвиниънс АД - Онлайн супермаркет eBag - https://www.ebag.bg/","Препарат за Съдове Exo Хидробалсам Мляко и Мед - 400 мл","117607","79","1.53",""
"68134","Кънвиниънс АД - Онлайн супермаркет eBag - https://www.ebag.bg/","Препарат за Съдове Exo Хидробалсам Люляк - 400 мл","117672","79","1.53",""
"68134","Кънвиниънс АД - Онлайн супермаркет eBag - https://www.ebag.bg/","Леща Krina Имало Едно Време Българска - 1 кг","115235","34","3.32",""
"68134","Кънвиниънс АД - Онлайн супермаркет eBag - https://www.ebag.bg/","Леща Krina Екстра - 1 кг","016427","34","3.47",""
"68134","Кънвиниънс АД - Онлайн супермаркет eBag - https://www.ebag.bg/","Боб Krina Имало Едно Време Български - 1 кг","115234","33","4.06",""
"68134","Кънвиниънс АД - Онлайн супермаркет eBag - https://www.ebag.bg/","Био Мляко Hipp 1 Combiotic за Кърмачета - 800 г","116840","65","21.09",""
"68134","Кънвиниънс АД - Онлайн супермаркет eBag - https://www.ebag.bg/","Био Мляко Hipp 2 Combiotic Преходно - 800 г","116895","65","20.45",""
"68134","Кънвиниънс АД - Онлайн супермаркет eBag - https://www.ebag.bg/","Мляко Hipp 3 Combiotic Junior 1г+ - 500 г","145149","65","11.60",""
"68134","Кънвиниънс АД - Онлайн супермаркет eBag - https://www.ebag.bg/","Мляко Friso 3 1-3г - 400 г","116682","65","8.07",""
"68134","Кънвиниънс АД - Онлайн супермаркет eBag - https://www.ebag.bg/","Мляко Frisolac 1 за Кърмачета, 0-6м. - 400 г","116680","65","9.25",""
"68134","Кънвиниънс АД - Онлайн супермаркет eBag - https://www.ebag.bg/","Мляко Frisolac 2 6-12 м - 400 г","116681","65","9.09",""
"68134","Кънвиниънс АД - Онлайн супермаркет eBag - https://www.ebag.bg/","Био Пюре Hipp Нежни Моркови с Картофи - 190 г","145179","64","1.89",""
"68134","Кънвиниънс АД - Онлайн супермаркет eBag - https://www.ebag.bg/","Био Пюре Hipp Пащърнак с Картофи - 190 г","145180","64","1.89",""
"68134","Кънвиниънс АД - Онлайн супермаркет eBag - https://www.ebag.bg/","Био Пюре Hipp Различни Зеленчуци - 190 г","145178","64","1.89",""
"68134","Кънвиниънс АД - Онлайн супермаркет eBag - https://www.ebag.bg/","Пюре Hipp Картофи с Копър и Заешко Месо - 190 г","016550","64","1.89",""
"68134","Кънвиниънс АД - Онлайн супермаркет eBag - https://www.ebag.bg/","Био Пюре Hipp Сьомга с Ранни Моркови и Картофи - 190 г","116888","64","1.89",""
"68134","Кънвиниънс АД - Онлайн супермаркет eBag - https://www.ebag.bg/","Био Пюре Hipp Спагети Болонезе - 190 г","145175","64","1.89",""
"68134","Кънвиниънс АД - Онлайн супермаркет eBag - https://www.ebag.bg/","Био Каша Hipp Ябълки и Банани с Бебешки Бисквити - 190 г","116626","63","1.69",""
