"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"43236","Супермаркет ""Абсолют+ Левски Единица"" №001, Левски","Картофи Мона Лиза -Франция","102","61","1.09",""
"43236","Супермаркет ""Абсолют+ Левски Единица"" №001, Левски","Кромид лук-Австрия","104","55","0.96",""
"43236","Супермаркет ""Абсолют+ Левски Единица"" №001, Левски","Чесън - България","107","59","4.47",""
"43236","Супермаркет ""Абсолют+ Левски Единица"" №001, Левски","Домати Червени-Турция","112","54","3.09","2.39"
"43236","Супермаркет ""Абсолют+ Левски Единица"" №001, Левски","Зеле Пролетно","115","57","0.99","0.89"
"43236","Супермаркет ""Абсолют+ Левски Единица"" №001, Левски","Гъби-България","119","60","4.45",""
"43236","Супермаркет ""Абсолют+ Левски Единица"" №001, Левски","Краставици България кг","124","58","1.79",""
"43236","Супермаркет ""Абсолют+ Левски Единица"" №001, Левски","Моркови-Гърция","128","56","1.29","0.78"
"43236","Супермаркет ""Абсолют+ Левски Единица"" №001, Левски","Портокали-Египет","136","51","2.05",""
"43236","Супермаркет ""Абсолют+ Левски Единица"" №001, Левски","Банани Доле-Еквадор","139","52","2.05",""
"43236","Супермаркет ""Абсолют+ Левски Единица"" №001, Левски","Ябълки жълти-Италия","142","53","1.79","1.09"
"43236","Супермаркет ""Абсолют+ Левски Единица"" №001, Левски","Ябълки зелени-Гърция","143","53","1.79",""
"43236","Супермаркет ""Абсолют+ Левски Единица"" №001, Левски","Ябълки Шарени Полша","144","53","1.54",""
"43236","Супермаркет ""Абсолют+ Левски Единица"" №001, Левски","Лимони-Аржентина","159","50","3.85",""
"43236","Супермаркет ""Абсолют+ Левски Единица"" №001, Левски","Гъби тарелка-България 250гр","165","60","1.59",""
"43236","Супермаркет ""Абсолют+ Левски Единица"" №001, Левски","*ПЗ Денто Кис 125мл Уайтънинг","5021","81","1.25",""
"43236","Супермаркет ""Абсолют+ Левски Единица"" №001, Левски","Елит Мес Салам Телешки на кг","174","27","3.65",""
"43236","Супермаркет ""Абсолют+ Левски Единица"" №001, Левски","*Кашкавал Маджаров 380гр Краве Витоша","207","11","7.15",""
"43236","Супермаркет ""Абсолют+ Левски Единица"" №001, Левски","Пиле Охладено Тарелка Градус","188","15","4.55",""
