"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"68134","обект: ХАЙДУШКА ПОЛЯНА адрес: гр. София ж.к. Лагера, ул. Баба Илийца 37А","МОНСТЪР БЕД ЕПЪЛ 0.5/12      #K# #Ш#","033010915","-1","1.12","1"
"68134","обект: ХАЙДУШКА ПОЛЯНА адрес: гр. София ж.к. Лагера, ул. Баба Илийца 37А","ЗАХАР СЛАДЕЯ КРИСТАЛНА 1КГ/10   #K#","0100010","38","1.43",""
"68134","обект: ХАЙДУШКА ПОЛЯНА адрес: гр. София ж.к. Лагера, ул. Баба Илийца 37А","СОЛ ПРОМАР 1 КГ #K#","010003","39","0.55",""
"68134","обект: ХАЙДУШКА ПОЛЯНА адрес: гр. София ж.к. Лагера, ул. Баба Илийца 37А","ОЛИО КАЛИАКРА 1Л  /6   #K#","01002","42","2.5",""
"68134","обект: ХАЙДУШКА ПОЛЯНА адрес: гр. София ж.к. Лагера, ул. Баба Илийца 37А","ОЦЕТ КУЛИНАР ВИНЕН 0,7Л/12","010042","44","1.01",""
"68134","обект: ХАЙДУШКА ПОЛЯНА адрес: гр. София ж.к. Лагера, ул. Баба Илийца 37А","ОЦЕТ КУЛИНАР ЯБЪЛКОВ 0,7Л/12","010043","45","1.01",""
"68134","обект: ХАЙДУШКА ПОЛЯНА адрес: гр. София ж.к. Лагера, ул. Баба Илийца 37А","ФИЛИКОН ЛЮТЕНИЦА НАШЕНСКА ПРЕМИУМ 350ГР/6 #K#","01013","49","2.39",""
"68134","обект: ХАЙДУШКА ПОЛЯНА адрес: гр. София ж.к. Лагера, ул. Баба Илийца 37А","НЕСТЛЕ ОБИКН.БИСКВИТИ 220ГР/16     #K#","058020","66","1.22",""
"68134","обект: ХАЙДУШКА ПОЛЯНА адрес: гр. София ж.к. Лагера, ул. Баба Илийца 37А","7 ДЕЙС ДУО ВАНИЛИЯ/ЯГОДА  /20#K#","0570304","67","0.81",""
"68134","обект: ХАЙДУШКА ПОЛЯНА адрес: гр. София ж.к. Лагера, ул. Баба Илийца 37А","7 ДЕЙС ДУО ЛЕШНИК/КАКАО /20 #K#","057029","67","0.81",""
"68134","обект: ХАЙДУШКА ПОЛЯНА адрес: гр. София ж.к. Лагера, ул. Баба Илийца 37А","7 ДЕЙС МАКС БРЮЛЕ  92 ГР/20 #K#","057027","67","0.81",""
"68134","обект: ХАЙДУШКА ПОЛЯНА адрес: гр. София ж.к. Лагера, ул. Баба Илийца 37А","7 ДЕЙС МАКС КАКАО/20 #K#","057028","67","0.81",""
"68134","обект: ХАЙДУШКА ПОЛЯНА адрес: гр. София ж.к. Лагера, ул. Баба Илийца 37А","7 ДЕЙС МИНИ 60ГР.ШОКОЛАД/15     #K#","057006","67","0.81",""
"68134","обект: ХАЙДУШКА ПОЛЯНА адрес: гр. София ж.к. Лагера, ул. Баба Илийца 37А","7 ДЕЙС СУПЕР ДУО ВАН./ЧЕРЕША 110ГР /18   #K#","057033","67","1.06",""
"68134","обект: ХАЙДУШКА ПОЛЯНА адрес: гр. София ж.к. Лагера, ул. Баба Илийца 37А","7 ДЕЙС СУПЕР МАКС КАКАО 110ГР /18   #K#","057032","67","1.06",""
"68134","обект: ХАЙДУШКА ПОЛЯНА адрес: гр. София ж.к. Лагера, ул. Баба Илийца 37А","КРОАСАН БАУЛИ ЧЕРЕША 50ГР /10  #K#","057026","67","0.65",""
"68134","обект: ХАЙДУШКА ПОЛЯНА адрес: гр. София ж.к. Лагера, ул. Баба Илийца 37А","МИЛКА КРОАСАН ВАНИЛИЯ 50 ГР/14  #K# #V#","0570264","67","1.12",""
"68134","обект: ХАЙДУШКА ПОЛЯНА адрес: гр. София ж.к. Лагера, ул. Баба Илийца 37А","МИЛКА КРОАСАН ШОКОЛАД 50ГР/14   #K# #V#","0570263","67","1.12",""
"68134","обект: ХАЙДУШКА ПОЛЯНА адрес: гр. София ж.к. Лагера, ул. Баба Илийца 37А","ЛИНД МЛЕЧЕН СИН 100ГР/12 #K#","075041","69","3.42",""
"68134","обект: ХАЙДУШКА ПОЛЯНА адрес: гр. София ж.к. Лагера, ул. Баба Илийца 37А","Ш-Д МИЛКА МЛЕЧНА 90ГР /25    #K#                        СВОГЕ #V#","060018","69","2.5",""
"68134","обект: ХАЙДУШКА ПОЛЯНА адрес: гр. София ж.к. Лагера, ул. Баба Илийца 37А","ШОК. ФИН МЛЕЧЕН 80ГР/25     #K#","066002","69","1.37",""
"68134","обект: ХАЙДУШКА ПОЛЯНА адрес: гр. София ж.к. Лагера, ул. Баба Илийца 37А","КАФЕ TCHIBO MILANO STYLE ESPRESSO 250ГР /12         #K#","06401738","70","6.32",""
"68134","обект: ХАЙДУШКА ПОЛЯНА адрес: гр. София ж.к. Лагера, ул. Баба Илийца 37А","КАФЕ TCHIBO SIZILIANER ART ESPRESSO 250ГР /12        #K#","06401737","70","6.32",""
"68134","обект: ХАЙДУШКА ПОЛЯНА адрес: гр. София ж.к. Лагера, ул. Баба Илийца 37А","КАФЕ TCHIBO ГОЛД 250ГР /12","0640160","70","5.36",""
"68134","обект: ХАЙДУШКА ПОЛЯНА адрес: гр. София ж.к. Лагера, ул. Баба Илийца 37А","КАФЕ АВАНТИ 250+50ГР /12 #K#","0930401","70","4.29",""
"68134","обект: ХАЙДУШКА ПОЛЯНА адрес: гр. София ж.к. Лагера, ул. Баба Илийца 37А","КАФЕ ДАВИДОФ РИЧ АРОМА 250ГР     #K#","0640180","70","9.68",""
"68134","обект: ХАЙДУШКА ПОЛЯНА адрес: гр. София ж.к. Лагера, ул. Баба Илийца 37А","КАФЕ ДАВИДОФ ФАЙН АРОМА 250ГР  #K#","064018","70","9.68",""
"68134","обект: ХАЙДУШКА ПОЛЯНА адрес: гр. София ж.к. Лагера, ул. Баба Илийца 37А","КАФЕ ЛАВАЦА КРЕМА ГУСТО 250ГР           #K# #V# #V#","064013","70","7.66",""
"68134","обект: ХАЙДУШКА ПОЛЯНА адрес: гр. София ж.к. Лагера, ул. Баба Илийца 37А","КАФЕ ЛАВАЦА КУАЛИТА ОРО 250ГР /20   #K# #V#","0640140","70","10.53",""
"68134","обект: ХАЙДУШКА ПОЛЯНА адрес: гр. София ж.к. Лагера, ул. Баба Илийца 37А","КАФЕ ЛАВАЦА КУАЛИТА РОСА 250ГР      #K# #V#","064014","70","8.48",""
"68134","обект: ХАЙДУШКА ПОЛЯНА адрес: гр. София ж.к. Лагера, ул. Баба Илийца 37А","НОВА БРАЗИЛИЯ МЛЯНО 200ГР     #K#                СВОГЕ","064006","70","3.57",""
"68134","обект: ХАЙДУШКА ПОЛЯНА адрес: гр. София ж.к. Лагера, ул. Баба Илийца 37А","КАФЕ АВАНТИ 1КГ / 12   #K#","093041","71","13.37",""
