"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"66425","АВС ОАЗИС - УЛ.ДОБРИЧ 49","ПАСТА ЗА ЗЪБИ ДЕНТАЛ 50МЛ ДЕТСКА ВИДОВЕ","000119","81","1.48",""
"66425","АВС ОАЗИС - УЛ.ДОБРИЧ 49","ПАСТА ЗА ЗЪБИ ДЕНТАЛ 50МЛ ТРОПИК","000132","81","1.05",""
"66425","АВС ОАЗИС - УЛ.ДОБРИЧ 49","ДОМАТИ БЕЛЕНИ НА КУБЧЕТА 400Г ОБЕРОН","000135","48","1.07","0.86"
"66425","АВС ОАЗИС - УЛ.ДОБРИЧ 49","ЧЕТКА ЗА ЗЪБИ КОЛГЕЙТ ПРЕМИЕР КЛИЙН","000144","80","1.20","1.00"
"66425","АВС ОАЗИС - УЛ.ДОБРИЧ 49","ПАСТА ЗА ЗЪБИ ДЕНТАЛ 50МЛ ЗА ДЕЦА","000145","81","1.05",""
"66425","АВС ОАЗИС - УЛ.ДОБРИЧ 49","САПУН ТЕО СУПЕР МАКСИ 140Г","000263","83","1.12","0.96"
"66425","АВС ОАЗИС - УЛ.ДОБРИЧ 49","ПАСТА ЗА ЗЪБИ ДЕНТАЛ 50МЛ ДЕТСКА","000309","81","1.15",""
"66425","АВС ОАЗИС - УЛ.ДОБРИЧ 49","ЗАХАР ЕМОНА 1КГ","000423","38","1.22","0.95"
"66425","АВС ОАЗИС - УЛ.ДОБРИЧ 49","МОКРИ КЪРПИ МИМИ 72БР С КАПАК","000513","84","1.02",""
"66425","АВС ОАЗИС - УЛ.ДОБРИЧ 49","ВИНО ЕТНО ТРАМИНЕР 750МЛ","000539","75","4.78","4.27"
"66425","АВС ОАЗИС - УЛ.ДОБРИЧ 49","МАСЛО КРАВЕ ОЛИМПУС 82% 200Г","000599","12","4.29",""
"66425","АВС ОАЗИС - УЛ.ДОБРИЧ 49","БИСКВИТИ РОДЕН КРАЙ ОБИКНОВЕНИ 120Г ПРЕСТИЖ","000727","66","0.79",""
"66425","АВС ОАЗИС - УЛ.ДОБРИЧ 49","КРАВЕ МАСЛО ДЕСТАН 82% МАСЛЕНОСТ 125Г","000783","12","1.97",""
"66425","АВС ОАЗИС - УЛ.ДОБРИЧ 49","ШОКОЛАД МИЛКА ЛЕШНИК НАТРОШЕН 90Г","001023","69","2.74","1.89"
"66425","АВС ОАЗИС - УЛ.ДОБРИЧ 49","ШОКОЛАД МИЛКА НОАЗЕТ 90Г","001030","69","2.74","1.89"
"66425","АВС ОАЗИС - УЛ.ДОБРИЧ 49","ЛЮТЕНИЦА ДОМАШНА ЕДРОСМЛЯНА 520Г ДЕРОНИ","001034","49","4.24",""
"66425","АВС ОАЗИС - УЛ.ДОБРИЧ 49","САПУН КРИСПА ТЯЛО 150Г","001060","83","1.27","1.15"
"66425","АВС ОАЗИС - УЛ.ДОБРИЧ 49","МАКАРОНИ БАРИЛА ПЕНЕ РИГАТЕ 500Г","001069","36","1.84",""
"66425","АВС ОАЗИС - УЛ.ДОБРИЧ 49","ШОКОЛАД СВОГЕ ЛЕШНИЦИ И СТАФИДИ 90Г","001187","69","1.68","1.39"
"66425","АВС ОАЗИС - УЛ.ДОБРИЧ 49","ШАМПОАН ФРУКТИС ХИДРА БОМБ 250МЛ ГАРНИЕ","001195","82","4.73","3.23"
"66425","АВС ОАЗИС - УЛ.ДОБРИЧ 49","ХЛЯБ БЯЛ ХАРТИЯ 700Г СТРАЖИЦА","001196","1","1.09",""
"66425","АВС ОАЗИС - УЛ.ДОБРИЧ 49","ШОКОЛАД МИЛКА ШОКОЛАДОВ МУС 100Г","001337","69","2.74","1.89"
"66425","АВС ОАЗИС - УЛ.ДОБРИЧ 49","БЯЛ БОБ ДЕГУСТО 400Г","001451","46","1.32","1.18"
"66425","АВС ОАЗИС - УЛ.ДОБРИЧ 49","МАКАРОНИ МИСКО ОХЛЮВИ 500Г","001529","36","1.73","1.57"
"66425","АВС ОАЗИС - УЛ.ДОБРИЧ 49","ЧЕТКА ЗА ЗЪБИ КОЛГЕЙТ ЕКСТРА КЛИЙН 1+1","001566","80","1.92","1.62"
"66425","АВС ОАЗИС - УЛ.ДОБРИЧ 49","ПРЯСНО МЛЯКО ДЕСТАН 3,2% 1Л","001640","6","1.78","1.39"
"66425","АВС ОАЗИС - УЛ.ДОБРИЧ 49","МАСЛИНОВО МАСЛО БУЛМЕД ЕКСТРА ВЪРЖДИН 1Л","001824","43","14.63",""
