"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"68134"," АКВЕЛОН - покрит пазар ""Младост - 1"" бул. ""Андрей Сахаров"" - покрит пазар ""Младост - 1""","ДИКЛОФЕНАК ДУО КАПС. 75МГ. Х 30  BMS","359","95","10,99",""
"68134"," АКВЕЛОН - покрит пазар ""Младост - 1"" бул. ""Андрей Сахаров"" - покрит пазар ""Младост - 1""","ТАЛЦИД ТАБЛ. 500МГ. Х 20","39956","86","7,29",""
"68134"," АКВЕЛОН - покрит пазар ""Младост - 1"" бул. ""Андрей Сахаров"" - покрит пазар ""Младост - 1""","ЙОДАСЕПТ УНГВ. 90ГР.  АК","40445","92","8,19",""
"68134"," АКВЕЛОН - покрит пазар ""Младост - 1"" бул. ""Андрей Сахаров"" - покрит пазар ""Младост - 1""","АСПИРИН + ВИТ. С ЕФЕРВ. ТАБЛ. Х 20","40577","96","13,59",""
"68134"," АКВЕЛОН - покрит пазар ""Младост - 1"" бул. ""Андрей Сахаров"" - покрит пазар ""Младост - 1""","БЕНАЛГИН ТАБЛ. Х 20  АК","40595","87","5,29",""
"68134"," АКВЕЛОН - покрит пазар ""Младост - 1"" бул. ""Андрей Сахаров"" - покрит пазар ""Младост - 1""","БЕТАДИН СУПП. 200МГ. Х 14","40601","92","22,10",""
"68134"," АКВЕЛОН - покрит пазар ""Младост - 1"" бул. ""Андрей Сахаров"" - покрит пазар ""Младост - 1""","АЛЕРГОЗАН ТАБЛ. 25МГ. Х 20","40632","91","7,44",""
"68134"," АКВЕЛОН - покрит пазар ""Младост - 1"" бул. ""Андрей Сахаров"" - покрит пазар ""Младост - 1""","АЛЕРГОЗАН КРЕМ 18ГР.","40633","91","7,99",""
"68134"," АКВЕЛОН - покрит пазар ""Младост - 1"" бул. ""Андрей Сахаров"" - покрит пазар ""Младост - 1""","АЛЕРГОЗАН УНГВ. 18ГР.","40636","91","7,99",""
"68134"," АКВЕЛОН - покрит пазар ""Младост - 1"" бул. ""Андрей Сахаров"" - покрит пазар ""Младост - 1""","АЛКА-ЗАЛЦЕР ЕФФ. ТАБЛ. Х 10","40640","96","5,99",""
"68134"," АКВЕЛОН - покрит пазар ""Младост - 1"" бул. ""Андрей Сахаров"" - покрит пазар ""Младост - 1""","ВОЛТАРЕН ЕМУЛГЕЛ 1,16%   50ГР.","40652","95","11,89",""
"68134"," АКВЕЛОН - покрит пазар ""Младост - 1"" бул. ""Андрей Сахаров"" - покрит пазар ""Младост - 1""","БИЗАЛАКС ТАБЛ. 5МГ. Х 30  АК","40701","88","4,49",""
"68134"," АКВЕЛОН - покрит пазар ""Младост - 1"" бул. ""Андрей Сахаров"" - покрит пазар ""Младост - 1""","БУСКОЛИЗИН АМП. 2% 1МЛ. Х 10  СФ","40710","87","15,21",""
"68134"," АКВЕЛОН - покрит пазар ""Младост - 1"" бул. ""Андрей Сахаров"" - покрит пазар ""Младост - 1""","ТЕМПАЛГИН ТАБЛ. Х 20  СФ","40733","87","4,99",""
"68134"," АКВЕЛОН - покрит пазар ""Младост - 1"" бул. ""Андрей Сахаров"" - покрит пазар ""Младост - 1""","ФАСТУМ ГЕЛ   50ГР.","40854","94","9,55",""
"68134"," АКВЕЛОН - покрит пазар ""Младост - 1"" бул. ""Андрей Сахаров"" - покрит пазар ""Младост - 1""","АЦЕТИЗАЛ ТАБЛ. 500МГ. Х 20  АК","41723","96","2,79",""
"68134"," АКВЕЛОН - покрит пазар ""Младост - 1"" бул. ""Андрей Сахаров"" - покрит пазар ""Младост - 1""","ДИКЛАК ГЕЛ 5%   50ГР.","41793","95","12,39",""
"68134"," АКВЕЛОН - покрит пазар ""Младост - 1"" бул. ""Андрей Сахаров"" - покрит пазар ""Младост - 1""","БИЗАКОДИЛ СУП. 10МГ. Х 6","41824","88","6,29",""
"68134"," АКВЕЛОН - покрит пазар ""Младост - 1"" бул. ""Андрей Сахаров"" - покрит пазар ""Младост - 1""","НУРОФЕН ТАБЛ. 200МГ. Х 12","42031","94","6,69",""
"68134"," АКВЕЛОН - покрит пазар ""Младост - 1"" бул. ""Андрей Сахаров"" - покрит пазар ""Младост - 1""","БИЗАКОДИЛ СУП.   5МГ. Х 6","42039","88","4,80",""
"68134"," АКВЕЛОН - покрит пазар ""Младост - 1"" бул. ""Андрей Сахаров"" - покрит пазар ""Младост - 1""","ЛОПЕДИУМ КАПС. 2МГ. Х 10","42208","89","6,29",""
"68134"," АКВЕЛОН - покрит пазар ""Младост - 1"" бул. ""Андрей Сахаров"" - покрит пазар ""Младост - 1""","КЕТОНАЛ КАПС. 50МГ. Х 20","48465","94","11,69",""
"68134"," АКВЕЛОН - покрит пазар ""Младост - 1"" бул. ""Андрей Сахаров"" - покрит пазар ""Младост - 1""","ФЛЕКСИСТАД ТАБЛ. 400МГ. Х 20                       ","48472","94","8,61",""
"68134"," АКВЕЛОН - покрит пазар ""Младост - 1"" бул. ""Андрей Сахаров"" - покрит пазар ""Младост - 1""","ФЛЕКСИСТАД ТАБЛ. 600МГ. Х 20                       ","48473","94","12,63",""
"68134"," АКВЕЛОН - покрит пазар ""Младост - 1"" бул. ""Андрей Сахаров"" - покрит пазар ""Младост - 1""","ДЕКСОФЕН АМП. 50МГ. 2 МЛ. Х 5","48487","94","8,73",""
"68134"," АКВЕЛОН - покрит пазар ""Младост - 1"" бул. ""Андрей Сахаров"" - покрит пазар ""Младост - 1""","ДЕКСОФЕН ТАБЛ. 25МГ. Х 10                          ","48488","94","6,38",""
"68134"," АКВЕЛОН - покрит пазар ""Младост - 1"" бул. ""Андрей Сахаров"" - покрит пазар ""Младост - 1""","АЦЦ 200 ПРАХЧЕТА 200МГ. Х 20","49015","99","12,69",""
"68134"," АКВЕЛОН - покрит пазар ""Младост - 1"" бул. ""Андрей Сахаров"" - покрит пазар ""Младост - 1""","ДУОПЛАВИН ТАБЛ. 75МГ./100МГ. Х 28","53946","96","26,87",""
"68134"," АКВЕЛОН - покрит пазар ""Младост - 1"" бул. ""Андрей Сахаров"" - покрит пазар ""Младост - 1""","АЛМИРАЛ SOL.FOR INJ 75 MG/3 ML X5","69490","95","4,22",""
"68134","АКВЕЛОН - МЛАДОСТ 3 СОФИЯ, Младост3, ТК ""С-М""","ДИКЛОФЕНАК ДУО КАПС. 75МГ. Х 30  BMS","359","95","10,99",""
"68134","АКВЕЛОН - МЛАДОСТ 3 СОФИЯ, Младост3, ТК ""С-М""","ТАЛЦИД ТАБЛ. 500МГ. Х 20","39956","86","7,29",""
"68134","АКВЕЛОН - МЛАДОСТ 3 СОФИЯ, Младост3, ТК ""С-М""","ЙОДАСЕПТ УНГВ. 90ГР.  АК","40445","92","8,19",""
"68134","АКВЕЛОН - МЛАДОСТ 3 СОФИЯ, Младост3, ТК ""С-М""","АСПИРИН + ВИТ. С ЕФЕРВ. ТАБЛ. Х 20","40577","96","13,59",""
"68134","АКВЕЛОН - МЛАДОСТ 3 СОФИЯ, Младост3, ТК ""С-М""","БЕНАЛГИН ТАБЛ. Х 20  АК","40595","87","5,29",""
"68134","АКВЕЛОН - МЛАДОСТ 3 СОФИЯ, Младост3, ТК ""С-М""","АЛЕРГОЗАН ТАБЛ. 25МГ. Х 20","40632","91","7,44",""
"68134","АКВЕЛОН - МЛАДОСТ 3 СОФИЯ, Младост3, ТК ""С-М""","АЛЕРГОЗАН КРЕМ 18ГР.","40633","91","7,99",""
"68134","АКВЕЛОН - МЛАДОСТ 3 СОФИЯ, Младост3, ТК ""С-М""","АЛЕРГОЗАН УНГВ. 18ГР.","40636","91","7,99",""
