"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"07079","Анет 4 Меден Рудник А гр. Бургас ж.к.Меден Рудник бл.258"," КАШКАВАЛ МАНОЛЕ с.МАНОЛЕ**","200423142","10","7.971",""
"07079","Анет 4 Меден Рудник А гр. Бургас ж.к.Меден Рудник бл.258","Б-ТИ ЖИТЕН ДАР ОБИКН. 120ГР.**","100002276","66","0.7107",""
"07079","Анет 4 Меден Рудник А гр. Бургас ж.к.Меден Рудник бл.258","Б-ТИ ИЗГРЕВ ОБИКНОВЕНИ 120ГР**","12330","66","0.5369",""
"07079","Анет 4 Меден Рудник А гр. Бургас ж.к.Меден Рудник бл.258","Б-ТИ ИЗГРЕВ ОБИКНОВЕНИ 182ГР**","3217","66","0.7618",""
"07079","Анет 4 Меден Рудник А гр. Бургас ж.к.Меден Рудник бл.258","БИРА АСТИКА 2Л.**","200073858","74","1.4265",""
"07079","Анет 4 Меден Рудник А гр. Бургас ж.к.Меден Рудник бл.258","БИРА БРИТОС 2Л.**","100015190","74","1.1709",""
"07079","Анет 4 Меден Рудник А гр. Бургас ж.к.Меден Рудник бл.258","БИРА ЗАГОРКА 2Л.**","200154089","74","1.32",""
"07079","Анет 4 Меден Рудник А гр. Бургас ж.к.Меден Рудник бл.258","БИСКВИТЕНА КАША С БИФИДУС СЛЪНЧО 200ГР.*","14445","63","2.807",""
"07079","Анет 4 Меден Рудник А гр. Бургас ж.к.Меден Рудник бл.258","БРАШНО ЕКСТРА 1КГ.СОФИЯ**","100002371","41","0.9",""
"07079","Анет 4 Меден Рудник А гр. Бургас ж.к.Меден Рудник бл.258","БРАШНО СОФИЯ МЕЛ КЛАСИК 1КГ.**","16418","40","0.88",""
"07079","Анет 4 Меден Рудник А гр. Бургас ж.к.Меден Рудник бл.258","БРАШНО ТИП 500 1КГ.ДЖОРДЖЕС**","7601","40","0.56",""
"07079","Анет 4 Меден Рудник А гр. Бургас ж.к.Меден Рудник бл.258","БЯЛ БОБ РИКО 540ГР.**","200386333","46","1.1197",""
"07079","Анет 4 Меден Рудник А гр. Бургас ж.к.Меден Рудник бл.258","БЯЛ ХЛЯБ МИЛЕНА 600ГР.**","100045427","1","0.9459",""
"07079","Анет 4 Меден Рудник А гр. Бургас ж.к.Меден Рудник бл.258","БЯЛ ХЛЯБ СЛАДКАР 600 ГР.**","2491","1","0.9459",""
"07079","Анет 4 Меден Рудник А гр. Бургас ж.к.Меден Рудник бл.258","ВЕРО ЕХО 400МЛ.**","493","79","1.1709",""
"07079","Анет 4 Меден Рудник А гр. Бургас ж.к.Меден Рудник бл.258","ВЕРО МЕДИКС 500МЛ.**","809","79","0.6902",""
"07079","Анет 4 Меден Рудник А гр. Бургас ж.к.Меден Рудник бл.258","ВИНО 0.75 ТРАМИНЕР ТЪРГОВИЩЕ**","12378","75","4.4738",""
"07079","Анет 4 Меден Рудник А гр. Бургас ж.к.Меден Рудник бл.258","ВИНО СОФИЯ  0.750МЛ. ШАРДОНЕ**","18094","75","2.12",""
"07079","Анет 4 Меден Рудник А гр. Бургас ж.к.Меден Рудник бл.258","ВИНО ТРАМИНЕР ПЕНТАГРАМ ПОМОРИЕ 750Л.**","100007565","75","3.9625",""
"07079","Анет 4 Меден Рудник А гр. Бургас ж.к.Меден Рудник бл.258","ВИНО ШАТО ШАРДОНЕ КАРНОБАТ 750МЛ.**","18086","75","3.42",""
"07079","Анет 4 Меден Рудник А гр. Бургас ж.к.Меден Рудник бл.258","ВОДА СЕРДИКА ТРАПЕЗНА 1.5Л.**","100018172","73","0.49",""
"07079","Анет 4 Меден Рудник А гр. Бургас ж.к.Меден Рудник бл.258","ГРАХ БУРКАН 680ГР. АРИВА**","11348","47","1.71",""
"07079","Анет 4 Меден Рудник А гр. Бургас ж.к.Меден Рудник бл.258","ГРАХ ДЕРОНИ 400ГР.**","200159471","47","1.585",""
"07079","Анет 4 Меден Рудник А гр. Бургас ж.к.Меден Рудник бл.258","ГРАХ М.КУТИЯ 400ГР.АРИВА**","14911","47","1.1197",""
"07079","Анет 4 Меден Рудник А гр. Бургас ж.к.Меден Рудник бл.258","ДЕБЪРЦИН КЕН.**","5584","27","7.1069",""
"07079","Анет 4 Меден Рудник А гр. Бургас ж.к.Меден Рудник бл.258","ДЕВИН 1.5 Л.**","2707","73","0.51",""
"07079","Анет 4 Меден Рудник А гр. Бургас ж.к.Меден Рудник бл.258","ДОМАТИ БЕЛЕНИ НА КУБЧЕТА 400ГР.АРИВА **","200236802","48","0.84",""
"07079","Анет 4 Меден Рудник А гр. Бургас ж.к.Меден Рудник бл.258","ЗАХАР БУРГАСПАК 1КГ.**","346","38","0.75",""
"07079","Анет 4 Меден Рудник А гр. Бургас ж.к.Меден Рудник бл.258","ЗРЯЛ БОБ ВАРЕН 540ГР КРЪСТЕВ**","200645884","46","1.0737",""
