"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"56784","ЧА 36.6 БИЛЛА КЪРШИЯКА гр.Пловдив ул. Васил Левски 107","АЦЦ 200 САШЕТА 200МГ Х 20 ","95","99","7.62",""
"56784","ЧА 36.6 БИЛЛА КЪРШИЯКА гр.Пловдив ул. Васил Левски 107","ВОЛТАРЕН РЕТАРД ТАБЛ 100МГ Х 10","238","95","1.52",""
"56784","ЧА 36.6 БИЛЛА КЪРШИЯКА гр.Пловдив ул. Васил Левски 107","ВОЛТАРЕН СУП 100МГ Х 5  +","239","95","3.82",""
"56784","ЧА 36.6 БИЛЛА КЪРШИЯКА гр.Пловдив ул. Васил Левски 107","ВОЛТАРЕН СУП 50МГ Х 10  +","240","95","2.20",""
"56784","ЧА 36.6 БИЛЛА КЪРШИЯКА гр.Пловдив ул. Васил Левски 107","ВОЛТАРЕН ТАБЛ 25МГ Х 30","241","95","1.74",""
"56784","ЧА 36.6 БИЛЛА КЪРШИЯКА гр.Пловдив ул. Васил Левски 107","ВОЛТАРЕН ТАБЛ 50МГ Х 20","242","95","2.11",""
"56784","ЧА 36.6 БИЛЛА КЪРШИЯКА гр.Пловдив ул. Васил Левски 107","ДИКЛОФЕНАК ДУО КАПС 75МГ Х 30 BMS  +","359","95","6.09",""
"56784","ЧА 36.6 БИЛЛА КЪРШИЯКА гр.Пловдив ул. Васил Левски 107","НАКЛОФЕН ДУО ТАБЛ 75 МГ Х 20","1060","95","2.73",""
"56784","ЧА 36.6 БИЛЛА КЪРШИЯКА гр.Пловдив ул. Васил Левски 107","АЛЕРГОЗАН АМП. 20МГ 2МЛ Х 10 СФ +","1851","100","11.41",""
"56784","ЧА 36.6 БИЛЛА КЪРШИЯКА гр.Пловдив ул. Васил Левски 107","АЛЕРГОЗАН ТАБЛ 25МГ Х 20 +","1852","91","4.04",""
"56784","ЧА 36.6 БИЛЛА КЪРШИЯКА гр.Пловдив ул. Васил Левски 107","АЛЕРГОЗАН КРЕМ 18ГР  +","1853","91","4.55",""
"56784","ЧА 36.6 БИЛЛА КЪРШИЯКА гр.Пловдив ул. Васил Левски 107","АЛЕРГОЗАН УНГВ 18 ГР +","1854","91","4.04",""
"56784","ЧА 36.6 БИЛЛА КЪРШИЯКА гр.Пловдив ул. Васил Левски 107","АЛКА-ЗЕЛЦЕР ЕФ.ТАБЛ Х 10 +","1856","96","3.22",""
"56784","ЧА 36.6 БИЛЛА КЪРШИЯКА гр.Пловдив ул. Васил Левски 107","АНАЛГИН АМП. 50% 2МЛ Х 10 СФ  +","1879","87","7.46",""
"56784","ЧА 36.6 БИЛЛА КЪРШИЯКА гр.Пловдив ул. Васил Левски 107","АСПЕРАН ТАБЛ 325МГ Х 100 (РУВЕКСИН)  +","1911","96","3.53",""
"56784","ЧА 36.6 БИЛЛА КЪРШИЯКА гр.Пловдив ул. Васил Левски 107","АСПИРИН + ВИТАМИН Ц/БАЙЕР/ЕФ Х 10","1917","96","4.99",""
"56784","ЧА 36.6 БИЛЛА КЪРШИЯКА гр.Пловдив ул. Васил Левски 107","АСПИРИН + ВИТАМИН Ц/БАЙЕР/ЕФ Х 20  +","1918","96","7.30",""
"56784","ЧА 36.6 БИЛЛА КЪРШИЯКА гр.Пловдив ул. Васил Левски 107","БЕНАЛГИН ТАБЛ. Х 20  + ОТС","1956","87","3.20",""
"56784","ЧА 36.6 БИЛЛА КЪРШИЯКА гр.Пловдив ул. Васил Левски 107","БЕТАДИН СУПП 200МГ Х 14","1965","92","12.78",""
"56784","ЧА 36.6 БИЛЛА КЪРШИЯКА гр.Пловдив ул. Васил Левски 107","БИЗАЛАКС ТАБЛ. 5 МГ Х 30 АКТАВИС + ОТС","1977","88","2.51",""
"56784","ЧА 36.6 БИЛЛА КЪРШИЯКА гр.Пловдив ул. Васил Левски 107","БУСКОЛИЗИН АМП. 2% 1МЛ Х 10 СФ","2010","87","7.66",""
"56784","ЧА 36.6 БИЛЛА КЪРШИЯКА гр.Пловдив ул. Васил Левски 107","ВОЛТАРЕН ЕМУЛГЕЛ 1% 50ГР","2073","95","6.85",""
"56784","ЧА 36.6 БИЛЛА КЪРШИЯКА гр.Пловдив ул. Васил Левски 107","ЕКЗОДЕРИЛ 1% СОЛ 10МЛ  +","2229","90","8.69",""
"56784","ЧА 36.6 БИЛЛА КЪРШИЯКА гр.Пловдив ул. Васил Левски 107","ЙОДАСЕПТ 10% УНГВ 90ГР  + ОТС","2299","92","4.90",""
"56784","ЧА 36.6 БИЛЛА КЪРШИЯКА гр.Пловдив ул. Васил Левски 107","НИЗОРАЛ КРЕМ 15ГР","2562","90","2.11",""
"56784","ЧА 36.6 БИЛЛА КЪРШИЯКА гр.Пловдив ул. Васил Левски 107","СПАЗМАЛГОН АМП. 2МЛ Х 5/ОПАКОВКА/  +","2835","87","3.49",""
"56784","ЧА 36.6 БИЛЛА КЪРШИЯКА гр.Пловдив ул. Васил Левски 107","СПАЗМАЛГОН ТАБЛ Х 20  + ОТС","2836","87","4.55",""
"56784","ЧА 36.6 БИЛЛА КЪРШИЯКА гр.Пловдив ул. Васил Левски 107","ТЕМПАЛГИН ТАБЛ Х 20  +","2889","87","2.66",""
"56784","ЧА 36.6 БИЛЛА КЪРШИЯКА гр.Пловдив ул. Васил Левски 107","ФАСТУМ ГЕЛ 50ГР  +","2973","94","5.06",""
"56784","ЧА 36.6 БИЛЛА КЪРШИЯКА гр.Пловдив ул. Васил Левски 107","ФУРОТАЛГИН СОЛ.  5МЛ  +","3008","101","6.08",""
"56784","ЧА 36.6 БИЛЛА КЪРШИЯКА гр.Пловдив ул. Васил Левски 107","АЛМАГЕЛ А СУСП. 170МЛ  +","3164","86","4.18",""
