"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"56784","ЧА 36.6 Събота пазара гр. Пловдив, ул. Гевгели 44","АЦЦ 200 САШЕТА 200МГ Х 20 ","95","99","8.28",""
"56784","ЧА 36.6 Събота пазара гр. Пловдив, ул. Гевгели 44","ВОЛТАРЕН РЕТАРД ТАБЛ 100МГ Х 10","238","95","1.52",""
"56784","ЧА 36.6 Събота пазара гр. Пловдив, ул. Гевгели 44","ВОЛТАРЕН СУП 50МГ Х 10  +","240","95","2.19",""
"56784","ЧА 36.6 Събота пазара гр. Пловдив, ул. Гевгели 44","ВОЛТАРЕН ТАБЛ 25МГ Х 30","241","95","1.74",""
"56784","ЧА 36.6 Събота пазара гр. Пловдив, ул. Гевгели 44","ВОЛТАРЕН ТАБЛ 50МГ Х 20","242","95","2.10",""
"56784","ЧА 36.6 Събота пазара гр. Пловдив, ул. Гевгели 44","ДИКЛОФЕНАК ДУО КАПС 75МГ Х 30 BMS  +","359","95","6.09",""
"56784","ЧА 36.6 Събота пазара гр. Пловдив, ул. Гевгели 44","НАКЛОФЕН АМП 75МГ- 3МЛ Х 5","1001","95","2.12",""
"56784","ЧА 36.6 Събота пазара гр. Пловдив, ул. Гевгели 44","НАКЛОФЕН ДУО ТАБЛ 75 МГ Х 20","1060","95","2.72",""
"56784","ЧА 36.6 Събота пазара гр. Пловдив, ул. Гевгели 44","АЛЕРГОЗАН АМП. 20МГ 2МЛ Х 10 СФ +","1851","100","11.41",""
"56784","ЧА 36.6 Събота пазара гр. Пловдив, ул. Гевгели 44","АЛЕРГОЗАН ТАБЛ 25МГ Х 20 +","1852","91","4.04",""
"56784","ЧА 36.6 Събота пазара гр. Пловдив, ул. Гевгели 44","АЛЕРГОЗАН КРЕМ 18ГР  +","1853","91","4.68",""
"56784","ЧА 36.6 Събота пазара гр. Пловдив, ул. Гевгели 44","АЛЕРГОЗАН УНГВ 18 ГР +","1854","91","4.45",""
"56784","ЧА 36.6 Събота пазара гр. Пловдив, ул. Гевгели 44","АЛКА-ЗЕЛЦЕР ЕФ.ТАБЛ Х 10 +","1856","96","3.26",""
"56784","ЧА 36.6 Събота пазара гр. Пловдив, ул. Гевгели 44","АНАЛГИН АМП. 50% 2МЛ Х 10 СФ  +","1879","87","7.46",""
"56784","ЧА 36.6 Събота пазара гр. Пловдив, ул. Гевгели 44","АСПЕРАН ТАБЛ 325МГ Х 100 (РУВЕКСИН)  +","1911","96","3.60",""
"56784","ЧА 36.6 Събота пазара гр. Пловдив, ул. Гевгели 44","АСПИРИН + ВИТАМИН Ц/БАЙЕР/ЕФ Х 10","1917","96","4.81",""
"56784","ЧА 36.6 Събота пазара гр. Пловдив, ул. Гевгели 44","АСПИРИН + ВИТАМИН Ц/БАЙЕР/ЕФ Х 20  +","1918","96","7.11",""
"56784","ЧА 36.6 Събота пазара гр. Пловдив, ул. Гевгели 44","БЕТАДИН СУПП 200МГ Х 14","1965","92","12.78",""
"56784","ЧА 36.6 Събота пазара гр. Пловдив, ул. Гевгели 44","БИЗАЛАКС ТАБЛ. 5 МГ Х 30 АКТАВИС + ОТС","1977","88","2.55",""
"56784","ЧА 36.6 Събота пазара гр. Пловдив, ул. Гевгели 44","БУСКОЛИЗИН АМП. 2% 1МЛ Х 10 СФ","2010","87","7.66",""
"56784","ЧА 36.6 Събота пазара гр. Пловдив, ул. Гевгели 44","ВОЛТАРЕН ЕМУЛГЕЛ 1% 50ГР","2073","95","6.08",""
"56784","ЧА 36.6 Събота пазара гр. Пловдив, ул. Гевгели 44","ЕКЗОДЕРИЛ 1% КРЕМ 15ГР +","2228","90","6.66",""
"56784","ЧА 36.6 Събота пазара гр. Пловдив, ул. Гевгели 44","ЕКЗОДЕРИЛ 1% СОЛ 10МЛ  +","2229","90","8.18",""
"56784","ЧА 36.6 Събота пазара гр. Пловдив, ул. Гевгели 44","ЙОДАСЕПТ 10% УНГВ 90ГР  + ОТС","2299","92","5.11",""
"56784","ЧА 36.6 Събота пазара гр. Пловдив, ул. Гевгели 44","НИЗОРАЛ КРЕМ 15ГР","2562","90","2.12",""
"56784","ЧА 36.6 Събота пазара гр. Пловдив, ул. Гевгели 44","СПАЗМАЛГОН АМП. 2МЛ Х 5/ОПАКОВКА/  +","2835","87","3.50",""
"56784","ЧА 36.6 Събота пазара гр. Пловдив, ул. Гевгели 44","СПАЗМАЛГОН ТАБЛ Х 20  + ОТС","2836","87","4.35",""
"56784","ЧА 36.6 Събота пазара гр. Пловдив, ул. Гевгели 44","ТЕМПАЛГИН ТАБЛ Х 20  +","2889","87","2.61",""
"56784","ЧА 36.6 Събота пазара гр. Пловдив, ул. Гевгели 44","ФАСТУМ ГЕЛ 50ГР  +","2973","94","5.07",""
"56784","ЧА 36.6 Събота пазара гр. Пловдив, ул. Гевгели 44","ФУРОТАЛГИН СОЛ.  5МЛ  +","3008","101","6.08",""
"56784","ЧА 36.6 Събота пазара гр. Пловдив, ул. Гевгели 44","АЛМАГЕЛ А СУСП. 170МЛ  +","3164","86","4.18",""
"56784","ЧА 36.6 Събота пазара гр. Пловдив, ул. Гевгели 44","СПИРТ ЕТИЛОВ 70% 1Л КУПРО","3189","92","3.53",""
"56784","ЧА 36.6 Събота пазара гр. Пловдив, ул. Гевгели 44","ТАЛЦИД ТАБЛ 500МГ Х 20  +","3211","86","4.50",""
"56784","ЧА 36.6 Събота пазара гр. Пловдив, ул. Гевгели 44","СПИРТ ЕТИЛОВ 70% 100МЛ КУПРО","3248","92","0.60",""
"56784","ЧА 36.6 Събота пазара гр. Пловдив, ул. Гевгели 44","ФЕЛОРАН ГЕЛ 1% 60ГР СФ  +","3340","95","4.81",""
"56784","ЧА 36.6 Събота пазара гр. Пловдив, ул. Гевгели 44","УПСАРИН ЕФФ ТАБЛ. Х 20  +","3625","96","4.60",""
"56784","ЧА 36.6 Събота пазара гр. Пловдив, ул. Гевгели 44","АЦЕТИЗАЛ ТАБЛ. 500МГ Х 20  + ОТС","7538","96","1.59",""
"56784","ЧА 36.6 Събота пазара гр. Пловдив, ул. Гевгели 44","АНАЛГИН ТАБЛ 500МГ Х 20  +","7633","87","1.48",""
"56784","ЧА 36.6 Събота пазара гр. Пловдив, ул. Гевгели 44","ДИКЛАК МАКС 5% ГЕЛ 50ГР  +","8035","95","7.62",""
"56784","ЧА 36.6 Събота пазара гр. Пловдив, ул. Гевгели 44","БИЗАКОДИЛ СУП 10МГ Х 6  +","8051","88","3.29",""
"56784","ЧА 36.6 Събота пазара гр. Пловдив, ул. Гевгели 44","ПРОАЛГИН ТАБЛ 500МГ Х 20   + ОТС","8074","87","1.43",""
"56784","ЧА 36.6 Събота пазара гр. Пловдив, ул. Гевгели 44","ЛОПЕДИУМ КАПС 2МГ Х 10   +","8295","89","4.06","3.50"
"56784","ЧА 36.6 Събота пазара гр. Пловдив, ул. Гевгели 44","БИЗАКОДИЛ СУП 5 МГ Х 6 СФ  +","8493","88","2.52",""
"56784","ЧА 36.6 Събота пазара гр. Пловдив, ул. Гевгели 44","СПИРТ ЕТИЛОВ 95% 100МЛ ХИМАКС","21667","92","0.72",""
"56784","ЧА 36.6 Събота пазара гр. Пловдив, ул. Гевгели 44","СПИРТ КАМФОРОВ 100МЛ ХИМАКС","21677","92","1.33",""
