"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"83510","АСПИДА 4","АЛЕРГОЗАН КРЕМ 1% 18ГР.","98","91","3.96","3.96"
"83510","АСПИДА 4","АЛЕРГОЗАН ТБЛ.25МГ.Х20","99","100","3.27","3.27"
"83510","АСПИДА 4","БЕНАЛГИН ТБЛ.Х20","316","96","2.43","2.43"
"83510","АСПИДА 4","БИЗАЛАКС ТБЛ.5МГ.Х30","379","88","2.15","2.15"
"83510","АСПИДА 4","БУСКОЛИЗИН ТБЛ.10МГ.Х30","426","87","3.55","3.55"
"83510","АСПИДА 4","ЕКЗОДЕРИЛ КРЕМ 1% 15ГР.","1082","90","5.8","5.8"
"83510","АСПИДА 4","ИМОДИУМ КАПС.2МГ.Х6","1460","89","3.29","3.29"
"83510","АСПИДА 4","ЙОДАСЕПТ УНГВ.90ГР.","1578","92","4.01","4.01"
"83510","АСПИДА 4","МОБИЛАТ ГЕЛ 50МЛ.","1922","95","8.05","8.05"
"83510","АСПИДА 4","НИЗОРАЛ КРЕМ 20МГ/ГР.15ГР.","2078","90","1.78","1.78"
"83510","АСПИДА 4","ОТИПАКС СОЛ.15МЛ.","2225","101","3.55","3.55"
"83510","АСПИДА 4","РЕПАРИЛ ГЕЛ.40ГР.","2552","95","5.46","5.46"
"83510","АСПИДА 4","СПАЗМАЛГОН ТБЛ.Х20","2749","87","3.49","3.49"
"83510","АСПИДА 4","ТАЛЦИД ТБЛ.500МГ.Х20","2831","86","3.87","3.87"
"83510","АСПИДА 4","СПИРТ ЕТИЛОВ 70% 100МЛ.","4346","92","0.55","0.55"
"83510","АСПИДА 4","ГЕЛОМИРТОЛ ФОРТЕ КАПС.300МГ.Х20","11751","99","7.88","7.88"
"83510","АСПИДА 4","АЦЕТИЗАЛ ТБЛ.500МГ.Х20","12903","96","1.22","1.22"
"83510","АСПИДА 4","КСИЗАЛ ТБЛ.5МГ.Х7","18506","100","3.88","3.88"
"83510","АСПИДА 4","МУКОНАЗАЛ ПЛЮС СПРЕЙ 10МЛ.","19939","97","5.88","5.88"
"83510","АСПИДА 4","ДУЛКОЛАКС ПИКО СОЛ.15МЛ.","26553","88","5.18","5.18"
"83510","АСПИДА 4","ДЕРМОДРИН УНГВ.30ГР.","28204","91","3.98","3.98"
"83510","АСПИДА 4","НАЗИК НАЗ.СПРЕЙ 0,1% 10МЛ.","30828","97","5.74","5.74"
"83510","АСПИДА 4","АНГАЛ ЛИМОН ТБЛ.Х24","44432","98","6.22","6.22"
"83510","АСПИДА 4","КЕТОНАЛ САШЕ 50МГ.Х12","45189","94","7.07","7.07"
"83510","АСПИДА 4","ОКЛИС САШ.400МГ.Х20","45576","94","8.74","8.74"
"83510","АСПИДА 4","АЦЦ САШ.МЕД/ЛИМОН 600МГ.Х10","45787","99","8.12","8.12"
"83510","АСПИДА 4","ЕНТЕРОЛ САШЕТИ 250МГ.Х20","46173","89","12.22","12.22"
"83510","АСПИДА 4","СТРЕПСИЛС ИНТЕНЗИВ ТБЛ.Х24","49077","98","7.64","7.64"
"83510","АСПИДА 4","АНАЛГИН ТБЛ.500МГ.Х30","49599","96","2.2","2.2"
