"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"10447",""САЛВИЯ-Пожарна" ВЕЛИКО ТЪРНОВО "НИКОЛА ГАБРОВСКИ" - 30","АЦЦ 200 ПРАХЧЕТА 200МГ Х 20^","95","99","7.54","5.20"
"10447",""САЛВИЯ-Пожарна" ВЕЛИКО ТЪРНОВО "НИКОЛА ГАБРОВСКИ" - 30","АЛМИРАЛ ТАБЛ. 50МГ Х 20^","138","95","2.28",""
"10447",""САЛВИЯ-Пожарна" ВЕЛИКО ТЪРНОВО "НИКОЛА ГАБРОВСКИ" - 30","ВОЛТАРЕН РЕТАРД ТАБЛ 100МГ Х 10^","238","95","1.52",""
"10447",""САЛВИЯ-Пожарна" ВЕЛИКО ТЪРНОВО "НИКОЛА ГАБРОВСКИ" - 30","ВОЛТАРЕН СУП 100МГ Х 5","239","95","3.82",""
"10447",""САЛВИЯ-Пожарна" ВЕЛИКО ТЪРНОВО "НИКОЛА ГАБРОВСКИ" - 30","ВОЛТАРЕН СУП 50МГ Х 10^","240","95","2.20",""
"10447",""САЛВИЯ-Пожарна" ВЕЛИКО ТЪРНОВО "НИКОЛА ГАБРОВСКИ" - 30","ВОЛТАРЕН ТАБЛ 25МГ Х 30^","241","95","1.74",""
"10447",""САЛВИЯ-Пожарна" ВЕЛИКО ТЪРНОВО "НИКОЛА ГАБРОВСКИ" - 30","ВОЛТАРЕН ТАБЛ 50МГ Х 20^","242","95","2.11",""
"10447",""САЛВИЯ-Пожарна" ВЕЛИКО ТЪРНОВО "НИКОЛА ГАБРОВСКИ" - 30","ГЕЛОМИРТОЛ ФОРТЕ КАПС.300МГ Х 20^","254","99","8.90","8.70"
"10447",""САЛВИЯ-Пожарна" ВЕЛИКО ТЪРНОВО "НИКОЛА ГАБРОВСКИ" - 30","ДИКЛОФЕНАК ДУО КАПС. 75МГ Х 30^","359","95","5.85",""
"10447",""САЛВИЯ-Пожарна" ВЕЛИКО ТЪРНОВО "НИКОЛА ГАБРОВСКИ" - 30","НАКЛОФЕН АМП. 75МГ/3МЛ Х 5/КУТИЯ/^","1001","95","2.10",""
"10447",""САЛВИЯ-Пожарна" ВЕЛИКО ТЪРНОВО "НИКОЛА ГАБРОВСКИ" - 30","НАКЛОФЕН ДУО КАПС. 75МГ Х 20^","1060","95","2.66",""
"10447",""САЛВИЯ-Пожарна" ВЕЛИКО ТЪРНОВО "НИКОЛА ГАБРОВСКИ" - 30","АЛЕРГОЗАН ТАБЛ. 25МГ Х 20^","1852","100","4.23",""
"10447",""САЛВИЯ-Пожарна" ВЕЛИКО ТЪРНОВО "НИКОЛА ГАБРОВСКИ" - 30","АЛЕРГОЗАН КРЕМ 18ГР^","1853","91","4.50",""
"10447",""САЛВИЯ-Пожарна" ВЕЛИКО ТЪРНОВО "НИКОЛА ГАБРОВСКИ" - 30","АЛЕРГОЗАН УНГВ. 18ГР^","1854","91","4.55",""
"10447",""САЛВИЯ-Пожарна" ВЕЛИКО ТЪРНОВО "НИКОЛА ГАБРОВСКИ" - 30","АЛКА-ЗЕЛЦЕР ЕФФ.ТАБЛ. Х 10^","1856","96","3.12",""
"10447",""САЛВИЯ-Пожарна" ВЕЛИКО ТЪРНОВО "НИКОЛА ГАБРОВСКИ" - 30","АЛМИРАЛ ГЕЛ 1,16% 50ГР^","1864","95","5.49",""
"10447",""САЛВИЯ-Пожарна" ВЕЛИКО ТЪРНОВО "НИКОЛА ГАБРОВСКИ" - 30","АНАЛГИН АМП. 500МГ/МЛ 2МЛ Х 10/КУТИЯ/*^","1879","87","7.46",""
"10447",""САЛВИЯ-Пожарна" ВЕЛИКО ТЪРНОВО "НИКОЛА ГАБРОВСКИ" - 30","АСПЕРАН (РУВЕКСИН) ТАБЛ 325МГ Х 100^","1911","96","3.17",""
"10447",""САЛВИЯ-Пожарна" ВЕЛИКО ТЪРНОВО "НИКОЛА ГАБРОВСКИ" - 30","АСПИРИН+ВИТ.С ЕФФ. ТАБЛ. Х 20 БАЙЕР^","1918","96","7.30","6.90"
"10447",""САЛВИЯ-Пожарна" ВЕЛИКО ТЪРНОВО "НИКОЛА ГАБРОВСКИ" - 30","БИЗАЛАКС ТАБЛ. 5 МГ Х 30^","1977","88","2.33",""
"10447",""САЛВИЯ-Пожарна" ВЕЛИКО ТЪРНОВО "НИКОЛА ГАБРОВСКИ" - 30","БУСКОЛИЗИН АМП. 2% 1МЛ Х 10/КУТИЯ/^","2010","87","7.64",""
"10447",""САЛВИЯ-Пожарна" ВЕЛИКО ТЪРНОВО "НИКОЛА ГАБРОВСКИ" - 30","ВОЛТАРЕН ЕМУЛГЕЛ 1,16 % 50ГР^","2073","95","6.87",""
"10447",""САЛВИЯ-Пожарна" ВЕЛИКО ТЪРНОВО "НИКОЛА ГАБРОВСКИ" - 30","ДЕРМАЗИН КРЕМ 1% 50ГР^","2160","92","6.32",""
"10447",""САЛВИЯ-Пожарна" ВЕЛИКО ТЪРНОВО "НИКОЛА ГАБРОВСКИ" - 30","ДИМЕКС СИРОП 125МЛ^","2194","91","5.22",""
"10447",""САЛВИЯ-Пожарна" ВЕЛИКО ТЪРНОВО "НИКОЛА ГАБРОВСКИ" - 30","ЕКЗОДЕРИЛ 1% КРЕМ 15ГР^","2228","90","6.54","5.60"
"10447",""САЛВИЯ-Пожарна" ВЕЛИКО ТЪРНОВО "НИКОЛА ГАБРОВСКИ" - 30","ЕКЗОДЕРИЛ 1% СОЛ. 10МЛ^","2229","90","7.90",""
"10447",""САЛВИЯ-Пожарна" ВЕЛИКО ТЪРНОВО "НИКОЛА ГАБРОВСКИ" - 30","ЕФИЗОЛ ТАБЛ. 250МГ Х 20^","2253","98","3.40",""
"10447",""САЛВИЯ-Пожарна" ВЕЛИКО ТЪРНОВО "НИКОЛА ГАБРОВСКИ" - 30","ЙОДПОВИДОН/ЙОДСЕПТАДОН/ 100МЛ ХИМАКС^","2298","92","2.35",""
"10447",""САЛВИЯ-Пожарна" ВЕЛИКО ТЪРНОВО "НИКОЛА ГАБРОВСКИ" - 30","ЙОДАСЕПТ УНГВ. 90ГР^","2299","92","5.11",""
"10447",""САЛВИЯ-Пожарна" ВЕЛИКО ТЪРНОВО "НИКОЛА ГАБРОВСКИ" - 30","МУКОСОЛВАН СИРОП 30МГ/5МЛ 100МЛ^","2517","99","5.86",""
"10447",""САЛВИЯ-Пожарна" ВЕЛИКО ТЪРНОВО "НИКОЛА ГАБРОВСКИ" - 30","МУКОСОЛВАН ТАБЛ. 30МГ Х 20^","2518","99","5.29",""
"10447",""САЛВИЯ-Пожарна" ВЕЛИКО ТЪРНОВО "НИКОЛА ГАБРОВСКИ" - 30","НИЗОРАЛ КРЕМ 15ГР^","2562","90","2.12",""
