"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"43952","ФАРМА ЛЕК 2 ООД ФЕНИКС-2 ЛОВЕЧ","АЦЦ 200 саше 200 мг x 20 бр","15","99","7.33","7.33"
"43952","ФАРМА ЛЕК 2 ООД ФЕНИКС-2 ЛОВЕЧ","АЛЕРГОЗАН крем 1% 18 г","98","91","4.41","4.41"
"43952","ФАРМА ЛЕК 2 ООД ФЕНИКС-2 ЛОВЕЧ","АЛЕРГОЗАН табл 25 мг x 20 бр","99","100","3.62","3.62"
"43952","ФАРМА ЛЕК 2 ООД ФЕНИКС-2 ЛОВЕЧ","АЛЕРГОЗАН унгв 1% 18 г","100","91","4.41","4.41"
"43952","ФАРМА ЛЕК 2 ООД ФЕНИКС-2 ЛОВЕЧ","БЕНАЛГИН табл x 20 бр","316","96","2.9","2.9"
"43952","ФАРМА ЛЕК 2 ООД ФЕНИКС-2 ЛОВЕЧ","БИЗАЛАКС табл 5 мг x 30 бр","379","88","2.39","2.39"
"43952","ФАРМА ЛЕК 2 ООД ФЕНИКС-2 ЛОВЕЧ","ЕКЗОДЕРИЛ крем 1% 15 г","1082","90","6.27","6.27"
"43952","ФАРМА ЛЕК 2 ООД ФЕНИКС-2 ЛОВЕЧ","ЕКЗОДЕРИЛ сол 1% 10 мл","1083","90","7.5","7.5"
"43952","ФАРМА ЛЕК 2 ООД ФЕНИКС-2 ЛОВЕЧ","ФЕНОЛАКС др 5 мг x 30 бр","1120","88","1.8","1.8"
"43952","ФАРМА ЛЕК 2 ООД ФЕНИКС-2 ЛОВЕЧ","ФУРОТАЛГИН капки за уши 5 мл","1225","101","5.99","5.99"
"43952","ФАРМА ЛЕК 2 ООД ФЕНИКС-2 ЛОВЕЧ","ИМОДИУМ капс 2 мг x 6 бр","1460","89","3.59","3.59"
"43952","ФАРМА ЛЕК 2 ООД ФЕНИКС-2 ЛОВЕЧ","ЙОДАСЕПТ унгв 10% 90 г ТЕВА","1578","92","4.87","4.87"
"43952","ФАРМА ЛЕК 2 ООД ФЕНИКС-2 ЛОВЕЧ","МОБИЛАТ ЕМУЛГЕЛ 2.32% гел 50 г","1922","95","8.4","8.4"
"43952","ФАРМА ЛЕК 2 ООД ФЕНИКС-2 ЛОВЕЧ","ОРОФАР табл x 24 бр","2182","98","6.54","6.54"
"43952","ФАРМА ЛЕК 2 ООД ФЕНИКС-2 ЛОВЕЧ","ОТИПАКС капки за уши 15 мл","2225","101","4.11","4.11"
"43952","ФАРМА ЛЕК 2 ООД ФЕНИКС-2 ЛОВЕЧ","ПСИЛО БАЛСАМ гел 20 г","2484","91","6.49","6.49"
"43952","ФАРМА ЛЕК 2 ООД ФЕНИКС-2 ЛОВЕЧ","ПСИЛО БАЛСАМ гел 50 г","2485","91","8.82","8.82"
"43952","ФАРМА ЛЕК 2 ООД ФЕНИКС-2 ЛОВЕЧ","РЕПАРИЛ гел 40 г","2552","95","5.89","5.89"
"43952","ФАРМА ЛЕК 2 ООД ФЕНИКС-2 ЛОВЕЧ","ТАЛЦИД табл 500 мг x 20 бр","2831","86","4.39","4.39"
"43952","ФАРМА ЛЕК 2 ООД ФЕНИКС-2 ЛОВЕЧ","ВОЛТАРЕН ЕМУЛГЕЛ гел 1.16% 50 г","3221","95","6","6"
