"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","АЦЦ 200 саше 200 мг x 20 бр","15","99","7.33","7.33"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","АЛЕРГОЗАН крем 1% 18 г","98","91","4.41","4.41"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","АЛЕРГОЗАН табл 25 мг x 20 бр","99","100","3.62","3.62"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","АЛЕРГОЗАН унгв 1% 18 г","100","91","4.41","4.41"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","АЛМАГЕЛ A сусп 170 мл","106","86","4.18","4.18"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","БЕНАЛГИН табл x 20 бр","316","96","2.9","2.9"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","БИЗАЛАКС табл 5 мг x 30 бр","379","88","2.39","2.39"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","ЕКЗОДЕРИЛ крем 1% 15 г","1082","90","6.27","6.27"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","ЕКЗОДЕРИЛ сол 1% 10 мл","1083","90","7.5","7.5"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","ФЕНОЛАКС др 5 мг x 30 бр","1120","88","1.8","1.8"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","ФУРОТАЛГИН капки за уши 5 мл","1225","101","5.99","5.99"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","ИМОДИУМ капс 2 мг x 6 бр","1460","89","3.59","3.59"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","ЙОДАСЕПТ унгв 10% 90 г ТЕВА","1578","92","4.87","4.87"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","МОБИЛАТ ЕМУЛГЕЛ 2.32% гел 50 г","1922","95","8.4","8.4"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","ОРОФАР табл x 24 бр","2182","98","6.54","6.54"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","ОТИПАКС капки за уши 15 мл","2225","101","4.11","4.11"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","ПСИЛО БАЛСАМ гел 20 г","2484","91","6.49","6.49"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","ПСИЛО БАЛСАМ гел 50 г","2485","91","8.82","8.82"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","РЕПАРИЛ гел 40 г","2552","95","5.89","5.89"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","ТАЛЦИД табл 500 мг x 20 бр","2831","86","4.39","4.39"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","ВОЛТАРЕН ЕМУЛГЕЛ гел 1.16% 50 г","3221","95","6","6"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","ЕТИЛОВ СПИРТ 70% 100 мл КУПРО","4346","92","0.77","0.77"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","ЕТИЛОВ СПИРТ 90% 100 мл КУПРО","4351","92","0.87","0.87"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","ЕТИЛОВ СПИРТ 95% 100 мл КУПРО","4355","92","0.89","0.89"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","АЛМАГЕЛ сусп 170 мл","10359","86","2.6","2.6"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","АЦЕТИЗАЛ табл 500 мг x 20 бр","12903","96","1.41","1.41"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","ПАРАКОФДАЛ табл x 20 бр","12926","96","3.16","3.16"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","АНАЛГИН табл 500 мг x 20 бр","13709","96","1.77","1.77"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","ПРОАЛГИН табл 500 мг x 20 бр","13734","96","1.19","1.19"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","БИЗАКОДИЛ супоз 5 мг x 6 бр","13837","88","2.44","2.44"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","ДИКЛАК МАКС гел 5% 50 г","13887","95","6.82","6.82"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","ЛОПЕДИУМ капс 2 мг x 10 бр","13893","89","3.69","3.69"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","ДИЙП РИЛИЙФ гел 50 г *","15302","94","5.61","5.61"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","АСПИРИН ПРОТЕКТ BAYER табл 100 мг x 40 бр","16886","96","3.26","3.26"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","НУРОФЕН сусп 100 мг/5 мл 100 мл ЯГОДА","17095","94","4.82","4.82"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","НУРОФЕН табл 200 мг x 12 бр","17807","94","3.7800000000000002","3.7800000000000002"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","НУРОФЕН СТОПКОЛД табл 200 мг x 12 бр","18177","94","4.9399999999999995","4.9399999999999995"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","АЦЦ МЕД И ЛИМОН саше 600 мг x 10 бр","18230","99","9.14","9.14"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","КСИЗАЛ табл 5 мг x 20 бр","18505","100","11.06","11.06"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","КСИЗАЛ табл 5 мг x 7 бр","18506","100","4.38","4.38"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","МУКОНАЗАЛ ПЛЮС спрей 10 мл","19939","97","6.98","6.42"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","КЕТОЗАЛ 2% лечебен шампоан 60 мл","20002","90","7.54","7.54"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","ЕТИЛОВ СПИРТ 70% 100 мл ХИМАКС","20063","92","0.82","0.82"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","ХЕКСАЛГИН сол 500 мг/мл 20 мл","23070","96","5.64","5.64"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","НУРОФЕН ФОРТЕ табл 400 мг x 12 бр","23809","94","4.85","4.85"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","ЕТИЛОВ СПИРТ 95% 100 мл ХИМАКС","24522","92","0.89","0.89"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","ДИАЛГИН саше 500 мг x 20 бр","24739","96","7.26","7.26"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","СПАЗМАЛГОН амп 2% 2 мл х 5 бр","24839","87","3.5","3.5"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","ЕТИЛОВ СПИРТ 95% 1 л КУПРО","25107","92","6.29","6.29"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","КСИЗАЛ сол 20 мл","25433","100","5.57","5.57"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","БУСКОЛИЗИН амп 20 мг/мл 1 мл x 10 бр","26114","87","7.66","7.66"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","АЛЕРГОЗАН амп 1% 2 мл х 10 бр","26117","100","11.41","11.41"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","АНАЛГИН амп 500 мг/мл 2 мл х 10 бр","26125","96","7.46","7.46"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","ДУЛКОЛАКС ПИКО капки 7.5 мг 15 мл","26553","88","5.9399999999999995","5.9399999999999995"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","ФЛЕКСИСТАД табл 400 мг х 20 бр","27432","94","4.43","4.43"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","СТОПЕРАН капс 2 мг х 8 бр","27944","89","3.27","3.27"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","ДЕРМОДРИН унгв 30 г","28204","91","4.76","4.76"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","НАЗИК КИДС назал спрей 0,05% 10 мл","30821","97","4.95","4.95"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","НАЗИК назал спрей 0.1% 10 мл /за възрастни/","30828","97","6.99","6.43"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","БЕНАЛГИН табл x 10 бр","31347","96","1.78","1.78"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","ЗЕНАРО табл 5 мг х 7 бр","31644","100","3.77","3.77"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","ДИАЛГИН саше 500 мг x 6 бр","31805","96","2.57","2.57"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","МИГ-400 табл 400 мг x 10 бр","32022","94","2.69","2.69"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","ДИКЛАК МАКС гел 5% 100 г","32143","95","9.44","9.44"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","ДУЛКОЛАКС табл 5 мг x 30 бр","33591","88","5.9399999999999995","5.9399999999999995"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","АНАЛГИН ХИН табл 250 мг х 10 бр","34787","96","1.9100000000000001","1.9100000000000001"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","ДИАЛГИН саше 1000 мг x 6 бр","35162","96","2.77","2.77"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","КАФЕТИН МЕНСТРУАЛ табл 200 мг х 10 бр*","35402","94","3.64","3.64"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","НУРОФЕН ЕКСПРЕС меки капс 200 мг x 10 бр","35490","94","4.85","4.85"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","АЦЕТИЗАЛ КАРДИО табл 100 мг x 30 бр","35559","96","2.07","2.07"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","АЦЕТИЗАЛ КАРДИО табл 75 мг х 100 бр","35711","96","4.86","4.86"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","НУРОФЕН табл 200 мг x 24 бр","35821","94","6.31","6.31"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","ЙОДАСЕПТ унгв 40 г ТЕВА","36659","92","3.42","3.42"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","МИГ-400 сироп за деца 100 мл","37109","94","3.84","3.84"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","НУРОФЕН сусп за юноши 200 мг/5 мл 100 мл ЯГОДА","37817","94","6.65","6.65"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","БРУФЕН РЕТАРД табл 800 мг х 30 бр","38325","94","7.29","7.29"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","АФЛАМИЛ крем 15 мг/г 60 г","38608","95","6.02","6.02"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","АПИРИ табл 100 мг х 30 бр","38613","96","1.7","1.7"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","ВОЛТАРЕН ФОРТЕ гел 2.32% 50 г","40017","95","8.5","8.5"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","РУВЕКСИН табл 325 мг х 100 бр","40836","96","3.25","3.25"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","НУРОФЕН СТОПКОЛД табл 200 мг x 24 бр","41021","94","8.69","8.69"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","ОТИРЕЛАКС капки за уши 15 мл","41062","101","4.63","4.63"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","СПАЗМАЛГОН табл x 20 бр","41277","87","4.16","4.16"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","АЛМИРАЛ гел 1.16% 50 г","41730","95","5.87","5.87"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","ЙОДАМЕД 10% разтвор за кожа 100 мл","41951","92","1.74","1.74"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","НУРОФЕН ЕКСПРЕС ФОРТЕ капс 400 мг х 10 бр","42140","94","5.77","5.77"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","АНАЛГИН сол 500 мг/мл 20 мл","42168","96","3.38","3.38"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","НУРОФЕН ФЕМИНА ФОРТЕ табл 512 мг x 12 бр","42471","94","5.77","5.77"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","ФЕЛОРАН ФОРТЕ СОФАРМА гел 5% 40 г *","42801","95","5.4","5.4"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","ИМОДИУМ ИНСТАНТ ородисп табл 2 мг х 6 бр","44149","89","4.43","4.43"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","АЦЦ сироп 20 мг/мл перорален разтвор 100 мл","44680","99","6.61","6.61"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","АДАПТИРАНО МЛЯКО АПТАМИЛ ADC против алергии 400 г","45272","65","21.05","21.05"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","ФЛЕКСИСТАД табл 800 мг х 20 бр","45324","94","7.09","7.09"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","ДИАЛГИН капки 500 мг/мл 20 мл","45379","96","4.45","4.45"
"56722","ФАРМА ЛЕК АД АПТЕКА-2 ПЛЕВЕН","АЦЕСАЛ ПРОТЕКТ табл 100 мг х 40 бр","46773","96","3.26","3.26"
