Населено място,Търговски обект,Наименование на продукта,Код на продукта,Категория,Цена на дребно,Цена в промоция
46045,Арена Мадан,ХЛЯБ СИМИД БЯЛ,5324,1,0.84,
46045,Арена Мадан,ХЛЯБ СИМИД ДОБРУДЖА,5330,2,0.84,
46045,Арена Мадан,ХЛЯБ АНЧЕВ РЪЖЕНО ПШЕНИЧЕН,4680,3,0.97,
46045,Арена Мадан,ХЛЯБ СИМИД ТИПОВ,5326,4,0.84,
46045,Арена Мадан,КОРИ БЕЛЛА 400 ГР,2076,5,1.84,
46045,Арена Мадан,ПМ ВЕРЕЯ 3 %,112,6,1.79,
46045,Арена Мадан,КМ ВЕРЕЯ 2.9 %,7689,7,0.87,
46045,Арена Мадан,СИРЕНЕ КРАВЕ СИТОВО КГ,10187,8,7.31,
46045,Арена Мадан,СИРЕНЕ ОЛИМПУС 400 ГР,2287,9,6.03,
46045,Арена Мадан,КАШКАВАЛ  КГ,5642,10,9.46,
46045,Арена Мадан,КАШКАВАЛ МТН 200 ГР,4571,11,2.81,
46045,Арена Мадан,МАСЛО ПРЕЗИДЕНТ 125 ГР,5438,12,3.37,
46045,Арена Мадан,ИЗВАРА РОДОПЕЯ КГ,4251,13,4.09,
46045,Арена Мадан,ИЗВАРА БОР ЧВОР 400ГР,7424,14,1.87,
46045,Арена Мадан,ПИЛЕШКО ФИЛЕ ХЕЛИКС КГ,3730,16,7,
46045,Арена Мадан,ПИЛЕШКО БУТЧЕ МЕРКЕЗ КГ,2851,17,4.09,
46045,Арена Мадан,СВИНСКО МЕСО КГ,202,18,5.06,
46045,Арена Мадан,СВИНСКИ БУТ КГ,190,19,5.01,
46045,Арена Мадан,СВИНСКО МЕСО КГ,5104,20,8.59,
46045,Арена Мадан,СВИНСКИ ВРАТ КГ,3481,21,7.46,
46045,Арена Мадан,СВИНСКИ ИЗРЕЗКИ КГ,7333,22,5.62,
46045,Арена Мадан,КАЙМА ШЕНЕЛ 60/40 КГ,141,25,5.32,
46045,Арена Мадан,КРЕНВИРШ КЕН КГ,2190,26,6.60,
46045,Арена Мадан,ЛУКАНКОВ САЛАМ ОРЕХИТЕ 240 ГР,5217,28,4.65,
46045,Арена Мадан,РИБА СКУМРИЯ 300 / 500 КГ,233,30,5.32,
46045,Арена Мадан,ЯЙЦА ЯЙЦЕПРОМ М,8585,31,1.99,
46045,Арена Мадан,ЯЙЦА ЯЙЦЕПРОМ L,8586,32,2.10,
46045,Арена Мадан,БОБ БЯЛ  НАЦИОНАЛ 1 КГ,475,33,2.30,
46045,Арена Мадан,ЛЕЩА НАЦИОНАЛ 1 КГ,2351,34,2.51,
46045,Арена Мадан,ОРИЗ БИСЕРЕН АРИВА 1 КГ,1725,35,1.84,
46045,Арена Мадан,МАКАРОНИ ПАНДЕЛКИ СТЕЛА 500 ГР,2587,36,1.28,
46045,Арена Мадан,СПАГЕТИ СТЕЛА,4863,37,1.28,
46045,Арена Мадан,ЗАХАР ФАМИЛЕКС 1 КГ,7949,38,1.12,
46045,Арена Мадан,СОЛ  НАЦИОНАЛ ТРАПЕЗНА  1 КГ,4797,39,0.38,
46045,Арена Мадан,БРАШНО МЕЛКО ТИП 500 1 КГ,588,40,0.89,
46045,Арена Мадан,БРАШНО СОФИЯ МЕЛ ЕКСТРА 1 КГ,9254,41,1.07,
46045,Арена Мадан,ОЛИО БИСЕР 1Л,7355,42,1.99,
46045,Арена Мадан,ЗЕХТИН ЕЛИА 1 Л,2894,43,10.89,
46045,Арена Мадан,ОЦЕТ ВИНЕН РЕЦЕПТА 700 МЛ,361,44,1.53,
46045,Арена Мадан,ОЦЕТ ЯБЪЛКОВ РЕЦЕПТА 700 МЛ,5024,45,1.53,
46045,Арена Мадан,БОБ КОНСЕРВА ФАМИЛЕКС 400 ГР,1767,46,0.92,
46045,Арена Мадан,КОНСЕРВА ГРАХ ДЕРОНИ 400 ГР,5102,47,1.79,
46045,Арена Мадан,КОНСЕРВА ДОМАТИ КУБЧЕТА  ФИОРЕ 400 Г,3863,48,0.84,
46045,Арена Мадан,ЛЮТЕНИЦА СЕЛЦЕ ДОМАШНА 570 ГР,1592,49,2.35,
46045,Арена Мадан,ЛИМОНИ КГ,15017,50,2.1,
46045,Арена Мадан,ПОРТОКАЛИ,15174,51,0.92,
46045,Арена Мадан,БАНАНИ,15001,52,1.66,
46045,Арена Мадан,ЯБЪЛКИ ЖЪЛТИ КГ,15122,53,1.74,
46045,Арена Мадан,ДОМАТИ КГ,15089,54,1.48,
46045,Арена Мадан,ЛУК КГ,15068,55,0.61,
46045,Арена Мадан,МОРКОВИ КГ,15023,56,0.66,
46045,Арена Мадан,ЗЕЛЕ КГ,15113,57,0.66,
46045,Арена Мадан,КРАСТАВИЦИ КГ,15061,58,1.3,
46045,Арена Мадан,ЧЕСЪН КГ,15059,59,3.53,
46045,Арена Мадан,КАРТОФИ КГ,15097,61,0.51,
46045,Арена Мадан,МАСЛИНИ ФОТЕВ КГ,2707,62,4.24,
46045,Арена Мадан,КАША СЛЪНЧО АСОРТИ 200 ГР,147,63,2.81,
46045,Арена Мадан,ПЮРЕ БЕБЕЛАН ТЕЛЕШКО СЪС ЗЕЛЕНЧУЦИ 190 ГР,3270,64,1.74,
46045,Арена Мадан,ОБИКНОВЕНИ БИСКВИТИ РОДЕН КРАЙ 120 ГР,377,66,0.72,
46045,Арена Мадан,КРОАСАН ГУСТО 55 ГР,2223,67,0.28,
