"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"87374","АФИА ТЪРГОВСКА","ГЕЛОМИРТОЛ ФОРТЕ КАПС.300МГ Х 20","1336","99","8.64","7.34"
"87374","АФИА ТЪРГОВСКА","АЦЦ 200 ПРАХЧЕТА 200МГ Х 20","1338","99","6.97",""
"87374","АФИА ТЪРГОВСКА","АЦЕТИЗАЛ  ТАБЛ. 500МГ Х 20 АК","1747","96","1.40",""
"87374","АФИА ТЪРГОВСКА","АЛКА-ЗЕЛЦЕР ЕФ.ТАБЛ. 324МГ Х 10","1750","96","3.02",""
"87374","АФИА ТЪРГОВСКА","БЕНАЛГИН ТАБЛ. Х 20","1767","96","2.86",""
"87374","АФИА ТЪРГОВСКА","АЛЕРГОЗАН ДРАЖ. 25МГ Х 20","1896","91","3.71",""
"87374","АФИА ТЪРГОВСКА","АЛМАГЕЛ СУСП. 170МЛ","2036","86","2.55",""
"87374","АФИА ТЪРГОВСКА","БИЗАКОДИЛ СУПОЗ. 10МГ Х 6","2041","88","3.15",""
"87374","АФИА ТЪРГОВСКА","БИЗАЛАКС ТАБЛ. 5 МГ Х 30","2043","88","2.44",""
"87374","АФИА ТЪРГОВСКА","ФЕНОЛАКС ДРАЖ. 5МГ Х 30","2069","88","1.72",""
"87374","АФИА ТЪРГОВСКА","ИМОДИУМ КАПС. 2МГ Х 6","2078","89","3.51",""
"87374","АФИА ТЪРГОВСКА","СПАЗМАЛГОН ТАБЛ. Х 20","2096","87","3.82",""
"87374","АФИА ТЪРГОВСКА","ТАЛЦИД ТАБЛ. 500МГ Х 20","2099","86","4.19",""
"87374","АФИА ТЪРГОВСКА","ОТИПАКС СОЛ. 15МЛ","2273","101","3.98",""
"87374","АФИА ТЪРГОВСКА","ИБУТОП ГЕЛ 50ГР","2322","94","5.56","4.73"
"87374","АФИА ТЪРГОВСКА","РЕПАРИЛ ГЕЛ N 40Г","2341","95","6.12","5.14"
"87374","АФИА ТЪРГОВСКА","ВОЛТАРЕН ЕМУЛГЕЛ 1,16% 50ГР","2348","95","6.32","4.99"
"87374","АФИА ТЪРГОВСКА","АЛЕРГОЗАН КРЕМ 18Г","2359","91","4.03",""
"87374","АФИА ТЪРГОВСКА","АЛЕРГОЗАН УНГВ. 18Г","2360","91","4.02",""
"87374","АФИА ТЪРГОВСКА","ЕКЗОДЕРИЛ 1%  КРЕМ 15ГР","2409","90","5.95","5.65"
"87374","АФИА ТЪРГОВСКА","ЕКЗОДЕРИЛ 1%  СОЛ. 10МЛ","2410","90","6.97","6.62"
"87374","АФИА ТЪРГОВСКА","ЙОДАСЕПТ УНГВ. 90Г","2430","92","4.60",""
"87374","АФИА ТЪРГОВСКА","ЧАЙ САНИЕ СВЕТЛОЗЕЛЕН ФИЛТЪР Х 30TNT21","3089","72","3.54",""
"87374","АФИА ТЪРГОВСКА","ЧАЙ УСПОКОИТЕЛЕН ФИЛТЪР 1,5ГР Х 20 ЕВЕЛИН","3090","72","2.25",""
"87374","АФИА ТЪРГОВСКА","ЧАЙ БЕБЕЗАН ФИЛТЪР 1,5ГР Х 20 ЕВЕЛИН","3098","72","2.27",""
"87374","АФИА ТЪРГОВСКА","ЧАЙ БРОНХОЛИН ФИЛТЪР Х 20 ЕВЕЛИН","3100","72","2.20",""
"87374","АФИА ТЪРГОВСКА","АДАПТ. МЛЯКО ФРИЗОВОМ 400ГР","3115","65","12.37",""
