"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"61710","МАГАЗИН ОРЕЛ","К-ВА ХЕЙНЗ ГРАХ 400ГР","000128","47","2.24",""
"61710","МАГАЗИН ОРЕЛ","Ш-Д ЛОАКЕР МЛЕЧЕН 87ГР","000433","69","2.30",""
"61710","МАГАЗИН ОРЕЛ","Ш-Д ЛОАКЕР МЛЕЧЕН НЕАПОЛИТАНЕР 85ГР","000435","69","2.30",""
"61710","МАГАЗИН ОРЕЛ","Ш-Д ЛОАКЕР МЛЕЧЕН С КАКАОВ КРЕМ 87ГР","000436","69","2.30",""
"61710","МАГАЗИН ОРЕЛ","КРОАСАН 7 ДЕЙС КАКАО 60ГР","000442","67","0.50",""
"61710","МАГАЗИН ОРЕЛ","Ш-Д ШОГЕТЕН МЛЕЧЕН 100ГР","000615","69","2.04",""
"61710","МАГАЗИН ОРЕЛ","Б-ТИ КАРМЕЛА ДЕТСТВО МОЕ 130ГР","000669","66","0.71",""
"61710","МАГАЗИН ОРЕЛ","Б-ТИ КАРМЕЛА ДЕТСТВО МОЕ МАСЛО 130ГР","000670","66","0.97",""
"61710","МАГАЗИН ОРЕЛ","ПЗ БОЧКО ДЕТСКА ПЪПЕШ 75МЛ","000986","81","1.53",""
"61710","МАГАЗИН ОРЕЛ","ШН БОЧКО БАДЕМ И НЕВЕН 200МЛ","000987","82","1.99",""
"61710","МАГАЗИН ОРЕЛ","ШН БОЧКО БАДЕМ И НЕВЕН 400МЛ","000988","82","3.27",""
"61710","МАГАЗИН ОРЕЛ","КАШКАВАЛ СЕМЕРДЖИЕВО ТОСТ КГ.","001067","10","10.48",""
"61710","МАГАЗИН ОРЕЛ","БАНАНИ ЕКВАДОР I КЛАС КГ","001150","52","1.97",""
"61710","МАГАЗИН ОРЕЛ","БВ ВИЛА ЯМБОЛ ШАРДОНЕ 750МЛ","001171","75","5.05",""
"61710","МАГАЗИН ОРЕЛ","БВ ВИЛА ЯМБОЛ МУСКАТ 750МЛ","001187","75","5.05",""
"61710","МАГАЗИН ОРЕЛ","БВ КАБИЛЕ ШАРД.+СОВ.БЛАН 750МЛ","001195","75","7.70",""
"61710","МАГАЗИН ОРЕЛ","БВ МЕНАДА МУСКАТ 750МЛ","001202","75","5.26",""
"61710","МАГАЗИН ОРЕЛ","БВ МЕНАДА СОВ.БЛАН 750МЛ","001203","75","5.26",""
"61710","МАГАЗИН ОРЕЛ","БВ МЕНАДА ТРАМИНЕР 750МЛ","001205","75","5.26",""
"61710","МАГАЗИН ОРЕЛ","БВ МЕНАДА ШАРДОНЕ 750МЛ","001207","75","5.38",""
"61710","МАГАЗИН ОРЕЛ","БВ ПИКСЕЛ СОВ.БЛАН 750МЛ","001212","75","6.65",""
"61710","МАГАЗИН ОРЕЛ","БВ ТЪРГОВИЩЕ СОВ.БЛАН 750МЛ","001224","75","5.30",""
"61710","МАГАЗИН ОРЕЛ","БВ ТЪРГОВИЩЕ ШАРДОНЕ 750МЛ","001227","75","5.30",""
"61710","МАГАЗИН ОРЕЛ","БВ ЧЕРГА ШАРДОНЕ+СОВ.БЛАН 750МЛ","001234","75","8.23",""
"61710","МАГАЗИН ОРЕЛ","БВ ЧЕРГА ФРАГМЕНТ СОВ.БЛАН 750МЛ","001235","75","8.20",""
"61710","МАГАЗИН ОРЕЛ","Ш-Д БРЕАК МЛЕЧЕН ЦЯЛ ЛЕШНИК 85ГР","001572","69","2.30",""
"61710","МАГАЗИН ОРЕЛ","БРАШНО КЛИО ТИП 500 1КГ","001692","40","0.81",""
"61710","МАГАЗИН ОРЕЛ","БРАШНО СОФИЯ МЕЛ ЕКСТРА 1КГ","001694","41","1.27",""
"61710","МАГАЗИН ОРЕЛ","БРАШНО СОФИЯ МЕЛ КЛАСИК 1КГ","001700","40","1.22",""
"61710","МАГАЗИН ОРЕЛ","Б-ТИ ЗАКУСКА 255ГР","001810","66","1.43",""
"61710","МАГАЗИН ОРЕЛ","Б-ТИ ЗАКУСКА 315ГР","001811","66","1.63","1.25"
"61710","МАГАЗИН ОРЕЛ","Б-ТИ ЗАКУСКА КАКАО 290ГР","001812","66","1.63",""
"61710","МАГАЗИН ОРЕЛ","Б-ТИ ЗАКУСКА КАКАО 355ГР","001813","66","1.89","1.45"
"61710","МАГАЗИН ОРЕЛ","Б-ТИ ИЗГРЕВ ОБИКНОВЕНИ 120ГР","001819","66","0.71",""
"61710","МАГАЗИН ОРЕЛ","Б-ТИ ИЗГРЕВ ОБИКН.182ГР","001820","66","1.00",""
"61710","МАГАЗИН ОРЕЛ","Б-ТИ КРИСТАЛ ОБИКНОВЕНИ 130ГР","001827","66","0.76",""
"61710","МАГАЗИН ОРЕЛ","Б-ТИ КРИСТАЛ ОБИКН.С МАСЛО 130ГР","001828","66","0.97",""
"61710","МАГАЗИН ОРЕЛ","Б-ТИ РОДЕН КРАЙ ОБИКН.120ГР","001920","66","0.81",""
"61710","МАГАЗИН ОРЕЛ","Б-ТИ РОДЕН КРАЙ ОБИКНОВЕНИ 190ГР","001921","66","1.12",""
"61710","МАГАЗИН ОРЕЛ","Ш-Д БРЕАК МЛЕЧЕН СТАФИДИ+БАДЕМ+ЛЕШНИК 85ГР","001958","69","1.50",""
"61710","МАГАЗИН ОРЕЛ","БУТЧЕ АМЕТА ПИЛЕШКО ОХЛАДЕНО КГ","001999","17","3.22",""
"61710","МАГАЗИН ОРЕЛ","КРОАСАН 7 ДЕЙС ДАБЪЛ ВАН+КАКАО 60ГР","002189","67","0.66",""
"61710","МАГАЗИН ОРЕЛ","БВ ПИКСЕЛ ШАРДОНЕ 750МЛ","002210","75","6.64",""
"61710","МАГАЗИН ОРЕЛ","ВОДА ДЕВИН МИНЕРАЛНА 1,5Л","002251","73","0.66",""
"61710","МАГАЗИН ОРЕЛ","ВОДА ХИСАР МИНЕРАЛНА 1,5Л","002291","73","0.66",""
"61710","МАГАЗИН ОРЕЛ","ГЪБИ ПОЛША КГ","002391","60","4.58",""
"61710","МАГАЗИН ОРЕЛ","ДОМАТ ЧЕРВЕН ГЪРЦИЯ ОПС КГ","002699","54","2.39",""
"61710","МАГАЗИН ОРЕЛ","ЗАКУСКА ДЕНИСЛАВ БАНИЦА ПРАВОЪГ. 230ГР","002887","68","1.05",""
"61710","МАГАЗИН ОРЕЛ","СВ.ВРАТ С.ИВАНОВО С КОСТ КГ","002964","21","5.37",""
"61710","МАГАЗИН ОРЕЛ","ЗАХАР КЛИО 1КГ","002993","38","0.97",""
"61710","МАГАЗИН ОРЕЛ","ЗАХАР СЛАДЕЯ 1КГ","002997","38","1.12",""
"61710","МАГАЗИН ОРЕЛ","ЗЕЛЕ БЪЛГАРИЯ ОПС КГ","003006","57","0.75",""
"61710","МАГАЗИН ОРЕЛ","ИЗВАРА ЛУДОГОРИЕ КАШКАВАЛЕНА КГ","003016","13","2.71",""
