"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"63427","АЙС МАРКЕТ 1 - УЛ. ЧЕРНИ ВРЪХ 2","ЧЕСЪН КГ","001000","59","5.00",""
"63427","АЙС МАРКЕТ 1 - УЛ. ЧЕРНИ ВРЪХ 2","ДОМАТ ЧЕРВЕН КГ","001002","54","3.13",""
"63427","АЙС МАРКЕТ 1 - УЛ. ЧЕРНИ ВРЪХ 2","ЗЕЛЕ ПРЯСНО КГ","001004","57","1.25",""
"63427","АЙС МАРКЕТ 1 - УЛ. ЧЕРНИ ВРЪХ 2","КАРТОФИ МИТ КГ","001006","61","0.81",""
"63427","АЙС МАРКЕТ 1 - УЛ. ЧЕРНИ ВРЪХ 2","КРАСТАВИЦА КГ","001008","58","3.00",""
"63427","АЙС МАРКЕТ 1 - УЛ. ЧЕРНИ ВРЪХ 2","ЛИМОНИ КГ","001010","50","3.31",""
"63427","АЙС МАРКЕТ 1 - УЛ. ЧЕРНИ ВРЪХ 2","ЛУК КРОМИД КГ","001011","55","0.81",""
"63427","АЙС МАРКЕТ 1 - УЛ. ЧЕРНИ ВРЪХ 2","МОРКОВИ КГ","001015","56","1.38",""
"63427","АЙС МАРКЕТ 1 - УЛ. ЧЕРНИ ВРЪХ 2","ЯБЪЛКА ЧЕРВЕНА КГ","001021","53","1.88",""
"63427","АЙС МАРКЕТ 1 - УЛ. ЧЕРНИ ВРЪХ 2","ЯБЪЛКА ЖЪЛТА КГ","001022","53","2.00",""
"63427","АЙС МАРКЕТ 1 - УЛ. ЧЕРНИ ВРЪХ 2","БАНАНИ  КГ","001024","52","2.00",""
"63427","АЙС МАРКЕТ 1 - УЛ. ЧЕРНИ ВРЪХ 2","ПОРТОКАЛИ КГ","001032","51","2.19",""
"63427","АЙС МАРКЕТ 1 - УЛ. ЧЕРНИ ВРЪХ 2","СИРЕНЕ КРАВЕ БОРЯНА ВАК 200Г","003005","9","2.14",""
