"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"68134-04","София.ул.Св св Кирил и Методи 36","Бургаска мускатова ракия 0.70л.","12","77","10.80",""
"68134-04","София.ул.Св св Кирил и Методи 36","Р. Бургаска гроздова 0.70л.","13","77","8.60",""
"68134-04","София.ул.Св св Кирил и Методи 36","Перлова ракия Бургас 63 0.50л.","14","77","15.80",""
"68134-04","София.ул.Св св Кирил и Методи 36","Ракия Поморийска Мускатова 0.7л.","55","77","10.80",""
"68134-04","София.ул.Св св Кирил и Методи 36","Ракия Поморийска Специална 0.7л.","56","77","9.20",""
"68134-04","София.ул.Св св Кирил и Методи 36","Четири Сайкъл 0.75мл","57","76","5.01",""
"68134-04","София.ул.Св св Кирил и Методи 36","Р.Карнобатска 0.70л.","70","77","8.10",""
"68134-04","София.ул.Св св Кирил и Методи 36","Спиртна напитка  Грозден 0.70л.","81","77","7.20",""
"68134-04","София.ул.Св св Кирил и Методи 36","Вино Мезек  каберне  0.75л.","87","76","7.00",""
"68134-04","София.ул.Св св Кирил и Методи 36","Вино Мезек  каберне и мавруд  0.75л.","88","76","7.00",""
"68134-04","София.ул.Св св Кирил и Методи 36","Вино Мезек  мавруд 0.75л.","89","76","7.00",""
"68134-04","София.ул.Св св Кирил и Методи 36","Вино Мезек  мерло 0.75л.","90","76","7.00",""
"68134-04","София.ул.Св св Кирил и Методи 36","Вино Шардоне Мезек 0.75л.","95","75","7.00",""
"68134-04","София.ул.Св св Кирил и Методи 36","Совиньон блан х Шардоне 0.75л Тера Тангра","104","75","8.64",""
"68134-04","София.ул.Св св Кирил и Методи 36","Траминер Пентаграм-Поморие 0.75л.","108","75","6.70",""
"68134-04","София.ул.Св св Кирил и Методи 36","Черга - червена  Д.Менада 0.75л.","115","76","7.11",""
"68134-04","София.ул.Св св Кирил и Методи 36","Черга бяла  Д.менада- 0.75л.","116","75","7.11",""
