"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"68134","232 Аксис Фарма - София Йерусалим - гр. София, ж.к.""Младост-1"",бул.""Йерусалим"" 22","A-DERMA успокояващ дерматологичен сапун с овес 100g","148","83","7.72","5.79"
"68134","242 Аксис Фарма – Г.М.Димитров Фантастико 6 - СОФИЯ, бул. Г. Димитров, 77","A-DERMA успокояващ дерматологичен сапун с овес 100g","148","83","7.72","5.79"
"68134","243 Аксис Фарма  - Фантастико Драгалевци - гр.София,р-н ""Витоша"",бул.""Черни връх"" 204","A-DERMA успокояващ дерматологичен сапун с овес 100g","148","83","7.72","5.79"
"56277","350 Аксис Фарма - Пещера - гр.Пещера, ул. ""Дойранска епопея"" 19","A-DERMA успокояващ дерматологичен сапун с овес 100g","148","83","7.72","5.79"
"68134","232 Аксис Фарма - София Йерусалим - гр. София, ж.к.""Младост-1"",бул.""Йерусалим"" 22","ACC 200 sach 200mg x 20","232","99","7.72",""
"68134","242 Аксис Фарма – Г.М.Димитров Фантастико 6 - СОФИЯ, бул. Г. Димитров, 77","ACC 200 sach 200mg x 20","232","99","7.72",""
"68134","243 Аксис Фарма  - Фантастико Драгалевци - гр.София,р-н ""Витоша"",бул.""Черни връх"" 204","ACC 200 sach 200mg x 20","232","99","7.72",""
"56277","350 Аксис Фарма - Пещера - гр.Пещера, ул. ""Дойранска епопея"" 19","ACC 200 sach 200mg x 20","232","99","7.72",""
"68134","232 Аксис Фарма - София Йерусалим - гр. София, ж.к.""Младост-1"",бул.""Йерусалим"" 22","ACC ACUTE мед и лимон 600mg x 10 sach","233","99","9.61",""
"68134","242 Аксис Фарма – Г.М.Димитров Фантастико 6 - СОФИЯ, бул. Г. Димитров, 77","ACC ACUTE мед и лимон 600mg x 10 sach","233","99","9.61",""
"68134","243 Аксис Фарма  - Фантастико Драгалевци - гр.София,р-н ""Витоша"",бул.""Черни връх"" 204","ACC ACUTE мед и лимон 600mg x 10 sach","233","99","9.61",""
"56277","350 Аксис Фарма - Пещера - гр.Пещера, ул. ""Дойранска епопея"" 19","ACC ACUTE мед и лимон 600mg x 10 sach","233","99","9.61",""
"68134","232 Аксис Фарма - София Йерусалим - гр. София, ж.к.""Младост-1"",бул.""Йерусалим"" 22","BIOTRADE ACNE OUT сапун с млечна и салицилова к/на 100g","278","83","6.39",""
"68134","242 Аксис Фарма – Г.М.Димитров Фантастико 6 - СОФИЯ, бул. Г. Димитров, 77","BIOTRADE ACNE OUT сапун с млечна и салицилова к/на 100g","278","83","6.39",""
"68134","243 Аксис Фарма  - Фантастико Драгалевци - гр.София,р-н ""Витоша"",бул.""Черни връх"" 204","BIOTRADE ACNE OUT сапун с млечна и салицилова к/на 100g","278","83","6.39",""
"56277","350 Аксис Фарма - Пещера - гр.Пещера, ул. ""Дойранска епопея"" 19","BIOTRADE ACNE OUT сапун с млечна и салицилова к/на 100g","278","83","6.39",""
"68134","232 Аксис Фарма - София Йерусалим - гр. София, ж.к.""Младост-1"",бул.""Йерусалим"" 22","ALLERGOSAN 1%-2 ml x 10 amp","450","100","10.84",""
"68134","242 Аксис Фарма – Г.М.Димитров Фантастико 6 - СОФИЯ, бул. Г. Димитров, 77","ALLERGOSAN 1%-2 ml x 10 amp","450","100","10.84",""
"68134","243 Аксис Фарма  - Фантастико Драгалевци - гр.София,р-н ""Витоша"",бул.""Черни връх"" 204","ALLERGOSAN 1%-2 ml x 10 amp","450","100","10.84",""
"56277","350 Аксис Фарма - Пещера - гр.Пещера, ул. ""Дойранска епопея"" 19","ALLERGOSAN 1%-2 ml x 10 amp","450","100","10.84",""
"68134","232 Аксис Фарма - София Йерусалим - гр. София, ж.к.""Младост-1"",бул.""Йерусалим"" 22","ALLERGOSAN creme 1g/100g 18g","451","91","4.65","3.95"
"68134","243 Аксис Фарма  - Фантастико Драгалевци - гр.София,р-н ""Витоша"",бул.""Черни връх"" 204","ALLERGOSAN creme 1g/100g 18g","451","91","4.65","3.95"
"56277","350 Аксис Фарма - Пещера - гр.Пещера, ул. ""Дойранска епопея"" 19","ALLERGOSAN creme 1g/100g 18g","451","91","4.65","3.95"
"68134","232 Аксис Фарма - София Йерусалим - гр. София, ж.к.""Младост-1"",бул.""Йерусалим"" 22","ALLERGOSAN 25mg x 20 tabl","452","91","4.39","3.73"
"68134","242 Аксис Фарма – Г.М.Димитров Фантастико 6 - СОФИЯ, бул. Г. Димитров, 77","ALLERGOSAN 25mg x 20 tabl","452","91","4.39","3.73"
"68134","243 Аксис Фарма  - Фантастико Драгалевци - гр.София,р-н ""Витоша"",бул.""Черни връх"" 204","ALLERGOSAN 25mg x 20 tabl","452","91","4.39","3.73"
"56277","350 Аксис Фарма - Пещера - гр.Пещера, ул. ""Дойранска епопея"" 19","ALLERGOSAN 25mg x 20 tabl","452","91","4.39","3.73"
"68134","232 Аксис Фарма - София Йерусалим - гр. София, ж.к.""Младост-1"",бул.""Йерусалим"" 22","ALLERGOSAN oinment 1g/100g 18g","453","91","4.65","3.95"
"68134","242 Аксис Фарма – Г.М.Димитров Фантастико 6 - СОФИЯ, бул. Г. Димитров, 77","ALLERGOSAN oinment 1g/100g 18g","453","91","4.65","3.95"
"68134","243 Аксис Фарма  - Фантастико Драгалевци - гр.София,р-н ""Витоша"",бул.""Черни връх"" 204","ALLERGOSAN oinment 1g/100g 18g","453","91","4.65","3.95"
"56277","350 Аксис Фарма - Пещера - гр.Пещера, ул. ""Дойранска епопея"" 19","ALLERGOSAN oinment 1g/100g 18g","453","91","4.65","3.95"
"68134","232 Аксис Фарма - София Йерусалим - гр. София, ж.к.""Младост-1"",бул.""Йерусалим"" 22","ALMAGEL-A susp 170ml","468","86","3.97",""
"68134","242 Аксис Фарма – Г.М.Димитров Фантастико 6 - СОФИЯ, бул. Г. Димитров, 77","ALMAGEL-A susp 170ml","468","86","3.97",""
"68134","243 Аксис Фарма  - Фантастико Драгалевци - гр.София,р-н ""Витоша"",бул.""Черни връх"" 204","ALMAGEL-A susp 170ml","468","86","3.97",""
"56277","350 Аксис Фарма - Пещера - гр.Пещера, ул. ""Дойранска епопея"" 19","ALMAGEL-A susp 170ml","468","86","3.97",""
"68134","232 Аксис Фарма - София Йерусалим - гр. София, ж.к.""Младост-1"",бул.""Йерусалим"" 22","ALMAGEL suspension 170ml","469","86","2.76",""
