"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"10447","АСКЛЕПИЙ ДЕНОНОЩНА","АВЕН КЛЕАНАНС ПОЧИСТВАЩ САПУН 100 ГР","52570","83","7.6200",""
"10447","АСКЛЕПИЙ ДЕНОНОЩНА","АВЕН КСЕРАКАЛМ САПУН 100 ГР","54172","83","9.9000",""
"10447","АСКЛЕПИЙ ДЕНОНОЩНА","АДЕРМА ДЕРМАТОЛОГИЧЕН САПУН 100 ГР","31613","83","7.8700",""
"10447","АСКЛЕПИЙ ДЕНОНОЩНА","АКАРД ТАБЛ 150 МГ 30 БР","23278","96","3.5500",""
"10447","АСКЛЕПИЙ ДЕНОНОЩНА","АКАРД ТАБЛ 75 МГ 30 БР","22933","96","2.4000",""
"10447","АСКЛЕПИЙ ДЕНОНОЩНА","АЛЕРГОЗАН АМП 10 МГ 2 МЛ 10 БР","28924","100","11.4000",""
"10447","АСКЛЕПИЙ ДЕНОНОЩНА","АЛЕРГОЗАН КРЕМ 1% 18 ГР","38681","91","4.2900",""
"10447","АСКЛЕПИЙ ДЕНОНОЩНА","АЛЕРГОЗАН КРЕМ 1% 60 ГР","36432","91","7.8700",""
"10447","АСКЛЕПИЙ ДЕНОНОЩНА","АЛЕРГОЗАН ТАБЛ 20 БР","41279","100","3.2200","2.80"
"10447","АСКЛЕПИЙ ДЕНОНОЩНА","АЛЕРГОЗАН УНГВ 1% 18 ГР","38682","91","3.4300",""
"10447","АСКЛЕПИЙ ДЕНОНОЩНА","АЛМАГЕЛ А СУСП 170 МЛ","41215","86","4.1700",""
"10447","АСКЛЕПИЙ ДЕНОНОЩНА","АЛМАГЕЛ СУСП 170 МГ","45557","86","2.6600",""
"10447","АСКЛЕПИЙ ДЕНОНОЩНА","АЛМИРАЛ ГЕЛ 1.16% 100 ГР","12322","95","11.8000",""
"10447","АСКЛЕПИЙ ДЕНОНОЩНА","АЛМИРАЛ ГЕЛ 1.16% 50 ГР","10105","95","5.9800",""
"10447","АСКЛЕПИЙ ДЕНОНОЩНА","АНАЛГИН АМП 500 МГ/ МЛ 2 МЛ 10 БР","24487","96","7.3600",""
"10447","АСКЛЕПИЙ ДЕНОНОЩНА","АНАЛГИН ЗА ДЕЦА КАПКИ 500 МГ/МЛ 20 МЛ","30533","96","3.4300",""
"10447","АСКЛЕПИЙ ДЕНОНОЩНА","АНАЛГИН КАПКИ 500 МГ/ МЛ 20 МЛ","11373","96","3.5300",""
"10447","АСКЛЕПИЙ ДЕНОНОЩНА","АНАЛГИН МАКС САШЕ 1000 МГ 20 БР","23370","96","8.4900",""
"10447","АСКЛЕПИЙ ДЕНОНОЩНА","АНАЛГИН МАКС САШЕ 1000 МГ 6 БР","24160","96","3.3700",""
"10447","АСКЛЕПИЙ ДЕНОНОЩНА","АНАЛГИН ТАБЛ 500 МГ 30 БР","49801","96","2.1200",""
"10447","АСКЛЕПИЙ ДЕНОНОЩНА","АНАЛГИН ХИН ТАБЛ 250 МГ 10 БР","32642","96","1.9700",""
"10447","АСКЛЕПИЙ ДЕНОНОЩНА","АНГАЛ ЛИМОН СПРЕЙ 30 МЛ","32940","98","9.2000",""
"10447","АСКЛЕПИЙ ДЕНОНОЩНА","АНГАЛ ЛИМОН ТАБЛ ЗА СМУЧЕНЕ 24 БР","19967","98","7.8200","3.13"
"10447","АСКЛЕПИЙ ДЕНОНОЩНА","АНГАЛ МЕД ТАБЛ ЗА СМУЧЕНЕ 24 БР","32903","98","6.7500",""
