"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"68134","Вира","СЕПТОЛЕТЕ TOTAL ЛИМОН паст. 3мг/1мг. х 16бр.","50608","98","5.47","5.47"
"68134","Вира","НИЗОРАЛ шампоан 2% 100мл.","51313","90","14.47","14.47"
"68134","Вира","АВАМИС наз.спрей 120 дози","28035","97","14.42","14.42"
"68134","Вира","ЗИРТЕК табл. 10мг. х 20бр.","3327","100","9.56","9.56"
"68134","Вира","ДЕКСОФЕН табл. 25мг. х 10бр.","18270","94","3.27","3.27"
"68134","Вира","БРОНХОСТОП пастили х 20бр.","35862","99","7.06","7.06"
"68134","Вира","МУКОСОЛВАН табл. 30мг. х 20бр.","1957","99","5.32","5.32"
"68134","Вира","ДУЛКОЛАКС табл. 5мг. х 30бр.","941","88","6.08","6.08"
"68134","Вира","ЕКЗОДЕРИЛ крем 1% 30гр.","42816","90","10.02","10.02"
"68134","Вира","МИКОДЕФЕН 8% лак за нокти 6,6мл.","49561","90","15.59","15.59"
"68134","Вира","АНГАЛ ЛИМОН табл. х 24бр.","45482","98","6.6","6.6"
"68134","Вира","ГАРДАЗИЛ 9 шпр.амп.0.5мл.+ 2игли","53172","93","138.46","138.46"
"68134","Вира","ОРОФАР МЕНТА табл. х24бр.","54117","98","5.73","5.73"
"68134","Вира","ДИКЛАК табл. 150мг. х 50бр.","34390","94","9.77","9.77"
"68134","Вира","ЛАВАНДУЛОВ СПИРТ 1000мл.","4367","92","7.15","7.15"
"68134","Вира","КСИЛОРИН спрей 0.05% 18мл.","17546","97","5.22","5.22"
"68134","Вира","ОТОФИКС капки за уши 15мл.","55259","101","3.83","3.83"
"68134","Вира","ДЕСИБЕЛ сир. 2.5/5мл. 150мл.","38946","100","3.99","3.99"
"68134","Вира","ЕКСПЕКТОРАНС №5 сир. 90мл.","20452","99","5.06","5.06"
"68134","Вира","БИОПРАЗОЛ капс. 20мг. х 14бр.","371","86","3.99","3.99"
"68134","Вира","КСИЗАЛ сол. 5мг./мл. 20мл.","25433","100","5.78","5.78"
"68134","Вира","БРОМХЕКСИН амп. 2мг./мл. 2мл. х 10бр.","26164","99","8.37","8.37"
"68134","Вира","ДУФАЛАК сир. 200мл.","948","88","6.14","6.14"
"68134","Вира","ДОЛОКСИБ табл. 120мг. х 7бр.","44955","94","5.11","5.11"
"68134","Вира","АСПИРИН+C табл. х 20бр.","243","96","6.95","6.95"
"68134","Вира","ДИКЛОФЕНАК ЧАЙКАФАРМА табл. 50мг. х 30бр.","20521","94","1.64","1.6400000000000001"
"68134","Вира","ТРАКТУС сашети 600мг. х10бр.","53704","99","6.29","6.29"
"68134","Вира","ЕКЗОТЕРБИН лак за нокти 3.3мл.","54098","90","18.15","18.15"
"68134","Вира","АРОЛАКСЕН капс. х 30бр.","47861","88","6.65","6.65"
"68134","Вира","ЕФЕСТАД табл. 5мг. х 10бр.","36332","100","1.48","1.48"
"68134","Вира","АЦЦ 200 саш. 200мг. х 20бр.","15","99","6.9","6.9"
"68134","Вира","ФЛЕКСИСТАД табл. 400мг. х 20бр.","27432","94","4.4","4.4"
"68134","Вира","АЛЕРГОЗАН крем 1% 18гр.","98","91","4.6","4.6"
"68134","Вира","КИСЛОРОДНА ВОДА 3% 100мл.","20065","92","0.77","0.77"
"68134","Вира","АНАЛГИН сол. 500мг/мл. х 20мл.","36935","96","3.43","3.43"
"68134","Вира","ЛАНСОПРОЛ капс. 15мг. х 28бр.","22292","86","5.62","5.62"
"68134","Вира","АСПИРИН ПРОТЕКТ табл. 100мг. х 40бр.","16886","96","3.2","3.2"
"68134","Вира","СТРЕПСИЛС ПЛЮС табл. x 16бр.","13201","98","5.73","5.73"
"68134","Вира","КИСЛОРОДНА ВОДА 30% 100мл.","25478","92","1.94","1.94"
"68134","Вира","СПАЗМОМЕН табл. х 30бр.","27636","87","10.99","10.99"
"68134","Вира","ДЕКСИНАЛ табл. 25мг. х 10бр.","50012","94","3.22","3.22"
"68134","Вира","ДИКЛОФЛЕКС амп.25мг/мл.3мл. х10бр.","54091","94","4.35","4.35"
"68134","Вира","ЖИВАСЕПТ S ТЕЧНОСТ за ръце дезинф.с помпа 85мл./СИН/","55150","92","1.33","1.33"
"68134","Вира","НУРОФЕН ЕКСПРЕС ФОРТЕ КОМПАКТ 400мг.х 20бр.","55233","94","11.15","11.15"
"68134","Вира","БРОНХИКУМ сир. 130гр.","13638","99","6.85","6.85"
"68134","Вира","АНЕСТЕЗОЛ 100мл.","20072","91","1.53","1.53"
"68134","Вира","АТРОПИН амп. 1мг./мл. 1мл. х 10бр.","24545","87","5.64","5.64"
"68134","Вира","ОКЛИС 400 мг. сашета х 10 бр.","51591","94","6.03","6.03"
"68134","Вира","НУРОФЕН сир. ЯГОДА 100мг./5мл. 100мл.","17095","94","4.76","4.76"
"68134","Вира","БУСКОЛИЗИН табл. 10мг. х 30бр.","54414","87","4.24","4.24"
"68134","Вира","ПАРАЦЕТАМОЛ ЕКОФАРМ табл. 500мг. х 20бр.","38889","96","1.12","1.12"
"68134","Вира","ИМОДИУМ ИНСТАНТ табл. 2мг. х 6бр.","38692","89","4.04","4.04"
"68134","Вира","БРАУНОЛ сол. 7.5гр/100мл. 100мл. х 20бр.","50304","92","68.92","68.92"
"68134","Вира","ЕРИУС табл. 5мг. х 30бр.","33046","100","5.55","5.55"
"68134","Вира","НОЛПАЗА табл. 40мг. х 30бр.","40539","86","3.63","3.63"
"68134","Вира","ПРОБИТОР капс. 20мг. x 30бр.","33483","86","8.64","8.64"
"68134","Вира","КАМФОРОВ СПИРТ 10% 100мл.","24894","92","1.38","1.38"
"68134","Вира","РОТИКОКС табл. 60мг. х 14бр.","44587","94","6.24","6.24"
"68134","Вира","НАЗИК спрей 0.05% деца 10мл.","31525","97","5.01","5.01"
"68134","Вира","ФЛАВАМЕД сир. 15мг./5мл. 100мл.","25725","99","3.96","3.96"
"68134","Вира","ПАНАКТИВ ФОРТЕ сусп.200мг./5мл. 40мл.","52714","94","2.9699999999999997","2.9699999999999997"
"68134","Вира","НУРОФЕН табл. 200мг. х 12бр.","17807","94","3.63","3.63"
"68134","Вира","КСИЛОМЕТАЗОЛИН сол. 0.05% 10мл.","3258","97","2.3","2.3"
"68134","Вира","САЛИЦИЛОВ СПИРТ 1% 100мл.","24635","92","0.92","0.92"
"68134","Вира","ВОЛТАРЕН ЕМУЛГЕЛ гел 1% 100гр.","27655","95","9.92","9.92"
"68134","Вира","ФЕРВЕКС суп. 300мг. х 10бр.","54801","96","3.86","3.86"
"68134","Вира","ОЛИНТ DUO назален спрей х 10мл.","54447","97","6.34","6.34"
"68134","Вира","ДИМЕКС сир. 125мл.","872","100","5.11","5.11"
"68134","Вира","СТРЕПСИЛС ИНТЕНЗИВ МЕД и ЕВКАЛИПТ без захар тбл.х16бр.","54998","98","5.83","5.83"
"68134","Вира","АЦЦ АКУТ 600 саш. 600мг. х 10бр.","18230","99","8.59","8.59"
"68134","Вира","ЛОРАТАДИН УНИФАРМ табл. 10мг. х 30бр.","14505","100","8.08","8.08"
"68134","Вира","БУСКОЛИЗИН амп. 20мг./мл. 1мл. х 10бр.","26114","87","7.66","7.66"
"68134","Вира","МУКОСОЛВАН РЕТАРД капс. 75мг. х 10бр.","36961","99","7.36","7.36"
"68134","Вира","КСИЗАЛ табл. 5мг. х 7бр. БЕСТА МЕД","53360","100","4.29","4.29"
"68134","Вира","ХЮМЕКСГРИП 12табл. + 4капс.","23260","96","5.37","5.37"
