"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"35167","Аптека ИЗТОК Гр.Казанлък Ж.К.""Изток"" бл.1-Партер","АЦЦ 200 ПРАХЧЕТА 200МГ Х 20","95","99","7,30",""
"35167","Аптека ИЗТОК Гр.Казанлък Ж.К.""Изток"" бл.1-Партер","ВОЛТАРЕН РЕТАРД ТАБЛ 100МГ Х 10","238","95","1,47",""
"35167","Аптека ИЗТОК Гр.Казанлък Ж.К.""Изток"" бл.1-Партер","ГЕЛОМИРТОЛ ФОРТЕ КАПС 300МГ Х 20","254","99","8,53",""
"35167","Аптека ИЗТОК Гр.Казанлък Ж.К.""Изток"" бл.1-Партер","ДИКЛОФЕНАК ДУО КАПС. 75МГ Х 30","359","95","5,88",""
"35167","Аптека ИЗТОК Гр.Казанлък Ж.К.""Изток"" бл.1-Партер","ИМОДИУМ КАПС 2МГ X 6","641","89","3,83",""
"35167","Аптека ИЗТОК Гр.Казанлък Ж.К.""Изток"" бл.1-Партер","НАКЛОФЕН ДУО капс. 75мг х 20","1060","95","2,55",""
"35167","Аптека ИЗТОК Гр.Казанлък Ж.К.""Изток"" бл.1-Партер","ПАПАВЕРИН ХИДРОХЛ. 2% 1МЛ","1111","87","5,77",""
"35167","Аптека ИЗТОК Гр.Казанлък Ж.К.""Изток"" бл.1-Партер","ПАПАВЕРИН ХИДРОХЛ.ТАБЛ 50МГ Х 40 Д","1112","87","6,75",""
"35167","Аптека ИЗТОК Гр.Казанлък Ж.К.""Изток"" бл.1-Партер","ФАМОТИДИН ТАБЛ 20МГ Х 30 САН","1532","86","2,25","2,14"
"35167","Аптека ИЗТОК Гр.Казанлък Ж.К.""Изток"" бл.1-Партер","АЛЕРГОЗАН ТАБЛ 25МГ Х 20","1852","100","4,30",""
"35167","Аптека ИЗТОК Гр.Казанлък Ж.К.""Изток"" бл.1-Партер","АЛЕРГОЗАН КРЕМ 18ГР","1853","91","4,55",""
"35167","Аптека ИЗТОК Гр.Казанлък Ж.К.""Изток"" бл.1-Партер","АЛЕРГОЗАН УНГВ 18 ГР","1854","91","4,47",""
"35167","Аптека ИЗТОК Гр.Казанлък Ж.К.""Изток"" бл.1-Партер","РУВЕКСИН ТАБЛ. 325МГ. Х100","1911","96","3,04",""
"35167","Аптека ИЗТОК Гр.Казанлък Ж.К.""Изток"" бл.1-Партер","БИЗАЛАКС ТАБЛ 5МГ Х 30  Д","1977","88","2,45",""
"35167","Аптека ИЗТОК Гр.Казанлък Ж.К.""Изток"" бл.1-Партер","ЕКЗОДЕРИЛ КРЕМ 15ГР","2228","90","6,60",""
"35167","Аптека ИЗТОК Гр.Казанлък Ж.К.""Изток"" бл.1-Партер","ЙОДАСЕПТ УНГВ 90ГР ТФ","2299","92","4,80",""
"35167","Аптека ИЗТОК Гр.Казанлък Ж.К.""Изток"" бл.1-Партер","ОТИПАКС СОЛ 16МЛ","2626","101","4,24",""
"35167","Аптека ИЗТОК Гр.Казанлък Ж.К.""Изток"" бл.1-Партер","РЕПАРИЛ Н ГЕЛ 40МЛ","2755","95","6,11",""
"35167","Аптека ИЗТОК Гр.Казанлък Ж.К.""Изток"" бл.1-Партер","СПАЗМАЛГОН ТАБЛ Х 20 Д","2836","87","3,99","3,79"
"35167","Аптека ИЗТОК Гр.Казанлък Ж.К.""Изток"" бл.1-Партер","СТРЕПСИЛС МЕД И ЛИМОН/ЖЪЛТ Х 24","2850","98","5,42",""
"35167","Аптека ИЗТОК Гр.Казанлък Ж.К.""Изток"" бл.1-Партер","ТЕМПАЛГИН ТАБЛ Х 20 СФ","2889","96","2,66",""
"35167","Аптека ИЗТОК Гр.Казанлък Ж.К.""Изток"" бл.1-Партер","ТРАХИЗАН ТАБЛ Х 20","2923","98","6,60",""
"35167","Аптека ИЗТОК Гр.Казанлък Ж.К.""Изток"" бл.1-Партер","ФАСТУМ ГЕЛ 50ГР","2973","95","4,95",""
"35167","Аптека ИЗТОК Гр.Казанлък Ж.К.""Изток"" бл.1-Партер","ФЕНИСТИЛ ГЕЛ 30ГР","2977","91","6,43","6,11"
"35167","Аптека ИЗТОК Гр.Казанлък Ж.К.""Изток"" бл.1-Партер","ФЕНОЛАКС ТАБЛ 5МГ Х 30","2984","88","1,79",""
"35167","Аптека ИЗТОК Гр.Казанлък Ж.К.""Изток"" бл.1-Партер","АЛМАГЕЛ 170МЛ ТЕВА","3163","86","2,68",""
"35167","Аптека ИЗТОК Гр.Казанлък Ж.К.""Изток"" бл.1-Партер","АЛМАГЕЛ А 170МЛ ТЕВА","3164","86","4,14",""
"35167","Аптека ИЗТОК Гр.Казанлък Ж.К.""Изток"" бл.1-Партер","ЛИДОКАИН УНГВ 5% 40ГР  ТЕВА","3166","91","4,47",""
"35167","Аптека ИЗТОК Гр.Казанлък Ж.К.""Изток"" бл.1-Партер","ТАЛЦИД ТАБЛ 500МГ Х 20","3211","86","4,35",""
"35167","Аптека ИЗТОК Гр.Казанлък Ж.К.""Изток"" бл.1-Партер","ИНДОМЕТАЦИН УНГВ 40ГР СФ","3404","95","2,56",""
"35167","Аптека ИЗТОК Гр.Казанлък Ж.К.""Изток"" бл.1-Партер","ЕСПУМИЗАН 40мг 25 капс.","3478","87","2,35",""
"35167","Аптека ИЗТОК Гр.Казанлък Ж.К.""Изток"" бл.1-Партер","УПСАРИН ЕФФ ТАВЛ 2 Х 10","3625","96","4,59",""
"35167","Аптека ИЗТОК Гр.Казанлък Ж.К.""Изток"" бл.1-Партер","КСИЛОМЕТАЗОЛИН 0.1%","5254","97","2,40",""
"35167","Аптека ИЗТОК Гр.Казанлък Ж.К.""Изток"" бл.1-Партер","КСИЛОМЕТАЗОЛИН 0.05%","5255","97","2,40",""
"35167","Аптека ИЗТОК Гр.Казанлък Ж.К.""Изток"" бл.1-Партер","АЦЕТИЗАЛ ТАБЛ 500МГ 2 Х 10","7538","96","1,48",""
"35167","Аптека ИЗТОК Гр.Казанлък Ж.К.""Изток"" бл.1-Партер","БИЗАКОДИЛ СУП 10МГ Х 6","8051","88","3,29",""
