"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"77195","Аптека Гален 2 - ул. Дунав 34","АЛЕРГОЗАН КРЕМ 18ГР СОФАРМА","1853","91","3.55","3.2"
"77195","Аптека Гален 2 - ул. Дунав 34","ЕФИЗОЛ 250МГ Х 20 ТЕВА","2253","98","2.49","2.24"
"77195","Аптека Гален 2 - ул. Дунав 34","ОТИПАКС СОЛ 15МЛ БИОКОДЕКС","2626","101","3.25","3.25"
"77195","Аптека Гален 2 - ул. Дунав 34","СОЛВОЛАН 30МГ Х 20 КРКА","2823","99","2.49","2.49"
"77195","Аптека Гален 2 - ул. Дунав 34","ФРИЗОЛАК 2 (6-12 МЕСЕЦА) 400ГР","3352","65","9.05","9.05"
"77195","Аптека Гален 2 - ул. Дунав 34","ЕСПУМИЗАН 40МГ Х 25 БЕРЛИН ХИМИ","3478","87","2.05","2.05"
"77195","Аптека Гален 2 - ул. Дунав 34","КСИЛОМЕТАЗОЛИН 0.1% 10МЛ ПОЛФА","5254","97","1.95","1.95"
"77195","Аптека Гален 2 - ул. Дунав 34","ЧАЙ ЛАЙКА ФИЛТЪР Х 20 БП","13818","72","0.79","0.79"
"77195","Аптека Гален 2 - ул. Дунав 34","СПИРТ ЕТИЛОВ 70% 100МЛ ХИМАКС","21632","92","0.55","0.55"
"77195","Аптека Гален 2 - ул. Дунав 34","СПИРТ САЛИЦИЛОВ 1% 100МЛ ХИМАКС","21635","90","0.79","0.79"
"77195","Аптека Гален 2 - ул. Дунав 34","СПИРТ КАМФОРОВ 100МЛ ХИМАКС","21677","95","1.09","1.09"
"77195","Аптека Гален 2 - ул. Дунав 34","РИЦИНОВО МАСЛО 40МЛ ХИМАКС","21974","88","0.85","0.85"
"77195","Аптека Гален 2 - ул. Дунав 34","ФАМОТИДИН 20МГ X 20 АЛКАЛОИД","30951","86","0.79","0.79"
"77195","Аптека Гален 2 - ул. Дунав 34","ГАНЧЕВ МЛЕЧНА КАША БАНАНИ И БИСКВИТИ 4М+ 190ГР","32990","63","0.99","0.99"
"77195","Аптека Гален 2 - ул. Дунав 34","СТОПЕРАН 2МГ Х 8 USP","35304","89","2.79","2.79"
"77195","Аптека Гален 2 - ул. Дунав 34","РОЛЕТРА 10МГ Х 10 ЕКОФАРМ","40109","100","2.79","2.79"
"77195","Аптека Гален 2 - ул. Дунав 34","ПАРАЦЕТАМОЛ 500МГ Х 20 ЕКОФАРМ","57415","96","0.89","0.8"
"77195","Аптека Гален 2 - ул. Дунав 34","ДОЛОРЕН 400МГ Х 12 ЕКОФАРМА","60169","94","2.49","1.74"
"77195","Аптека Гален 2 - ул. Дунав 34","ИНФЛУВАК ТЕТРА ШПРИЦ АМП 0.5МЛ МАЙЛАН","77450","93","10.56","10.56"
"77195","Аптека Гален 2 - ул. Дунав 34","СЕПТОНА МОКРИ КЪРПИ КИДС АНТИБАКТЕРИАЛНИ Х 15","78301","84","0.49","0.44"
"77195","Аптека Гален 2 - ул. Дунав 34","БЕОТЕБАЛ 5МГ ТАБЛ Х 30 ПОЛФАРМА","106946","97","10.65","10.65"
"65677","Аптека Гален 7 - ул. Елин Пелин 40","АЛЕРГОЗАН КРЕМ 18ГР СОФАРМА","1853","91","3.55","3.2"
"65677","Аптека Гален 7 - ул. Елин Пелин 40","ЕФИЗОЛ 250МГ Х 20 ТЕВА","2253","98","2.49","2.24"
"65677","Аптека Гален 7 - ул. Елин Пелин 40","ОТИПАКС СОЛ 15МЛ БИОКОДЕКС","2626","101","3.25","3.25"
"65677","Аптека Гален 7 - ул. Елин Пелин 40","СОЛВОЛАН 30МГ Х 20 КРКА","2823","99","2.49","2.49"
"65677","Аптека Гален 7 - ул. Елин Пелин 40","ЕСПУМИЗАН 40МГ Х 25 БЕРЛИН ХИМИ","3478","87","2.05","2.05"
"65677","Аптека Гален 7 - ул. Елин Пелин 40","КСИЛОМЕТАЗОЛИН 0.1% 10МЛ ПОЛФА","5254","97","1.95","1.95"
"65677","Аптека Гален 7 - ул. Елин Пелин 40","ЧАЙ ЛАЙКА ФИЛТЪР Х 20 БП","13818","72","0.79","0.79"
"65677","Аптека Гален 7 - ул. Елин Пелин 40","ХИП 4070 БИО ПЮРЕ РАЗЛИЧНИ ЗЕЛЕНЧУЦИ 4М+ 190ГР","15746","64","1.89","1.8900000000000001"
"65677","Аптека Гален 7 - ул. Елин Пелин 40","СПИРТ ЕТИЛОВ 70% 100МЛ ХИМАКС","21632","92","0.55","0.55"
"65677","Аптека Гален 7 - ул. Елин Пелин 40","СПИРТ САЛИЦИЛОВ 1% 100МЛ ХИМАКС","21635","90","0.79","0.79"
"65677","Аптека Гален 7 - ул. Елин Пелин 40","СПИРТ КАМФОРОВ 100МЛ ХИМАКС","21677","95","1.09","1.09"
"65677","Аптека Гален 7 - ул. Елин Пелин 40","РИЦИНОВО МАСЛО 40МЛ ХИМАКС","21974","88","0.85","0.85"
"65677","Аптека Гален 7 - ул. Елин Пелин 40","ФАМОТИДИН 20МГ X 20 АЛКАЛОИД","30951","86","0.79","0.79"
"65677","Аптека Гален 7 - ул. Елин Пелин 40","СТОПЕРАН 2МГ Х 8 USP","35304","89","2.79","2.79"
"65677","Аптека Гален 7 - ул. Елин Пелин 40","АСТЕРА ЧЕТКА ЗА ЗЪБИ АКТИВ 3 МЕДИУМ","36974","80","0.79","0.79"
"65677","Аптека Гален 7 - ул. Елин Пелин 40","РОЛЕТРА 10МГ Х 10 ЕКОФАРМ","40109","100","2.79","2.79"
"65677","Аптека Гален 7 - ул. Елин Пелин 40","ПАРАЦЕТАМОЛ 500МГ Х 20 ЕКОФАРМ","57415","96","0.89","0.8"
"65677","Аптека Гален 7 - ул. Елин Пелин 40","ДОЛОРЕН 400МГ Х 12 ЕКОФАРМА","60169","94","2.49","1.74"
"65677","Аптека Гален 7 - ул. Елин Пелин 40","БОЧКО ШАМПОАН И ДУШ ГЕЛ 2В1 ДЕТСКИ С ВИТАМИНИ В3 250МЛ","72722","82","1.89","1.8900000000000001"
"65677","Аптека Гален 7 - ул. Елин Пелин 40","СЕПТОНА МОКРИ КЪРПИ КИДС АНТИБАКТЕРИАЛНИ Х 15","78301","84","0.49","0.44"
"65677","Аптека Гален 7 - ул. Елин Пелин 40","ТЕО RICH MILK САПУН COCONUT (ЗЕЛЕН) 90ГР","92408","83","0.65","0.59"
"65677","Аптека Гален 7 - ул. Елин Пелин 40","БЕОТЕБАЛ 5МГ ТАБЛ Х 30 ПОЛФАРМА","106946","97","10.65","10.65"
"77181","Аптека Гален 9 - бул. България 2","АЛЕРГОЗАН КРЕМ 18ГР СОФАРМА","1853","91","3.55","3.2"
"77181","Аптека Гален 9 - бул. България 2","ЕФИЗОЛ 250МГ Х 20 ТЕВА","2253","98","2.49","2.24"
"77181","Аптека Гален 9 - бул. България 2","ОТИПАКС СОЛ 15МЛ БИОКОДЕКС","2626","101","3.25","3.25"
"77181","Аптека Гален 9 - бул. България 2","СОЛВОЛАН 30МГ Х 20 КРКА","2823","99","2.49","2.49"
"77181","Аптека Гален 9 - бул. България 2","ФРИЗОЛАК 2 (6-12 МЕСЕЦА) 400ГР","3352","65","9.05","9.05"
"77181","Аптека Гален 9 - бул. България 2","ЕСПУМИЗАН 40МГ Х 25 БЕРЛИН ХИМИ","3478","87","2.05","2.05"
"77181","Аптека Гален 9 - бул. България 2","КСИЛОМЕТАЗОЛИН 0.1% 10МЛ ПОЛФА","5254","97","1.95","1.95"
"77181","Аптека Гален 9 - бул. България 2","ЧАЙ ЛАЙКА ФИЛТЪР Х 20 БП","13818","72","0.79","0.79"
"77181","Аптека Гален 9 - бул. България 2","ХИП 4070 БИО ПЮРЕ РАЗЛИЧНИ ЗЕЛЕНЧУЦИ 4М+ 190ГР","15746","64","1.89","1.8900000000000001"
"77181","Аптека Гален 9 - бул. България 2","СПИРТ ЕТИЛОВ 70% 100МЛ ХИМАКС","21632","92","0.55","0.55"
"77181","Аптека Гален 9 - бул. България 2","СПИРТ САЛИЦИЛОВ 1% 100МЛ ХИМАКС","21635","90","0.79","0.79"
"77181","Аптека Гален 9 - бул. България 2","СПИРТ КАМФОРОВ 100МЛ ХИМАКС","21677","95","1.09","1.09"
"77181","Аптека Гален 9 - бул. България 2","РИЦИНОВО МАСЛО 40МЛ ХИМАКС","21974","88","0.85","0.85"
"77181","Аптека Гален 9 - бул. България 2","ФАМОТИДИН 20МГ X 20 АЛКАЛОИД","30951","86","0.79","0.79"
"77181","Аптека Гален 9 - бул. България 2","ГАНЧЕВ МЛЕЧНА КАША БАНАНИ И БИСКВИТИ 4М+ 190ГР","32990","63","0.99","0.99"
"77181","Аптека Гален 9 - бул. България 2","СТОПЕРАН 2МГ Х 8 USP","35304","89","2.79","2.79"
"77181","Аптека Гален 9 - бул. България 2","АСТЕРА ЧЕТКА ЗА ЗЪБИ АКТИВ 3 МЕДИУМ","36974","80","0.79","0.79"
"77181","Аптека Гален 9 - бул. България 2","РОЛЕТРА 10МГ Х 10 ЕКОФАРМ","40109","100","2.79","2.79"
"77181","Аптека Гален 9 - бул. България 2","ПАРАЦЕТАМОЛ 500МГ Х 20 ЕКОФАРМ","57415","96","0.89","0.8"
"77181","Аптека Гален 9 - бул. България 2","ДОЛОРЕН 400МГ Х 12 ЕКОФАРМА","60169","94","2.49","1.74"
"77181","Аптека Гален 9 - бул. България 2","БОЧКО ШАМПОАН И ДУШ ГЕЛ 2В1 ДЕТСКИ С ВИТАМИНИ В3 250МЛ","72722","82","1.89","1.8900000000000001"
"77181","Аптека Гален 9 - бул. България 2","БЕОТЕБАЛ 5МГ ТАБЛ Х 30 ПОЛФАРМА","106946","97","10.65","10.65"
"77195","Аптека Гален 10 - Градска болница 1","АЛЕРГОЗАН КРЕМ 18ГР СОФАРМА","1853","91","3.55","3.2"
"77195","Аптека Гален 10 - Градска болница 1","ЕФИЗОЛ 250МГ Х 20 ТЕВА","2253","98","2.49","2.24"
"77195","Аптека Гален 10 - Градска болница 1","ОТИПАКС СОЛ 15МЛ БИОКОДЕКС","2626","101","3.25","3.25"
