"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"68850","Марви 1 Стара Загора, "Цар Симеон Велики" 28","АЦЦ САШЕ 200МГ Х 20","95","99","7.89",""
"68850","Марви 1 Стара Загора, "Цар Симеон Велики" 28","ВОЛТАРЕН ТАБЛ.25 МГ Х 30","241","95","1.76",""
"68850","Марви 1 Стара Загора, "Цар Симеон Велики" 28","ДИКЛОФЕНАК ДУО КАПС 75 МГ Х 30","359","95","6.17",""
"68850","Марви 1 Стара Загора, "Цар Симеон Велики" 28","НАКЛОФЕН АМП. 75МГ/3МЛ Х 5/КУТИЯ/","1001","95","2.07",""
"68850","Марви 1 Стара Загора, "Цар Симеон Велики" 28","НАКЛОФЕН ДУО КАПС. 75МГ Х 20","1060","95","2.76",""
"68850","Марви 1 Стара Загора, "Цар Симеон Велики" 28","АЛЕРГОЗАН ТАБЛ 25МГ Х 20","1852","91","4.35",""
"68850","Марви 1 Стара Загора, "Цар Симеон Велики" 28","АЛЕРГОЗАН КРЕМ 1% 18ГР","1853","91","4.75",""
"68850","Марви 1 Стара Загора, "Цар Симеон Велики" 28","АЛЕРГОЗАН МАЗ  СФ 1%  18ГР","1854","91","4.80",""
"68850","Марви 1 Стара Загора, "Цар Симеон Велики" 28","АЛКА-ЗЕЛЦЕР ЕФФ Х 10","1856","96","3.09",""
"68850","Марви 1 Стара Загора, "Цар Симеон Велики" 28","БАЙЕР АСПИРИН + ВИТАМИН Ц ЕФФ Х 20","1918","96","5.78",""
"68850","Марви 1 Стара Загора, "Цар Симеон Велики" 28","БЕНАЛГИН ТАБЛ Х 20","1956","87","3.31",""
"68850","Марви 1 Стара Загора, "Цар Симеон Велики" 28","БЕТАДИН СУПП 200МГ Х 14","1965","92","13.12",""
"68850","Марви 1 Стара Загора, "Цар Симеон Велики" 28","ВОЛТАРЕН ЕМУЛГЕЛ 1,16 % 50ГР","2073","95","7.08",""
"68850","Марви 1 Стара Загора, "Цар Симеон Велики" 28","ЙОДАСЕПТ УНГВ. 10% 90ГР АК","2299","92","5.13",""
"68850","Марви 1 Стара Загора, "Цар Симеон Велики" 28","НИЗОРАЛ КРЕМ 15ГР","2562","90","2.20",""
"68850","Марви 1 Стара Загора, "Цар Симеон Велики" 28","ТЕМПАЛГИН ТАБЛ. Х 20 - СОФАРМА","2889","87","2.93",""
"68850","Марви 1 Стара Загора, "Цар Симеон Велики" 28","ФАСТУМ ГЕЛ 2,5% 50ГР","2973","94","5.14",""
"68850","Марви 1 Стара Загора, "Цар Симеон Велики" 28","ТАЛЦИД ТАБЛ 500МГ  X  20","3211","86","4.72",""
"68850","Марви 1 Стара Загора, "Цар Симеон Велики" 28","ФЕЛОРАН ГЕЛ 1% 60g","3340","95","4.94",""
"68850","Марви 1 Стара Загора, "Цар Симеон Велики" 28","АЦЕТИЗАЛ ТАБЛ 500 МГ Х 20","7538","96","1.61",""
"68850","Марви 1 Стара Загора, "Цар Симеон Велики" 28","БИЗАКОДИЛ СУПОЗ 10МГ Х 6","8051","88","3.33",""
"68850","Марви 1 Стара Загора, "Цар Симеон Велики" 28","ПРОАЛГИН ТАБЛ. 500 мг. Х 20 бр. AK","8074","87","1.33",""
