"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"00182","Аптека Марешки Аксаково / 014 / гр. Аксаково, ул. Капитан Петко Войвода 2Б","БРАУНОЛ разтвор за кожа 100мл х 1бр","00011236","92","3.24",""
"00182","Аптека Марешки Аксаково / 014 / гр. Аксаково, ул. Капитан Петко Войвода 2Б","ФЕНОЛАКС табл 5мг х 30бр","00080575","88","1.64",""
"00182","Аптека Марешки Аксаково / 014 / гр. Аксаково, ул. Капитан Петко Войвода 2Б","ЕЛГИДИУМ АНТИ-ПЛАКА АНТИПЛАКОВА ПАСТА ЗА ЗЪБИ 75мл","00504002","81","6.27",""
"00182","Аптека Марешки Аксаково / 014 / гр. Аксаково, ул. Капитан Петко Войвода 2Б","ЕЛГИДИУМ КЛИНИК ЧЕТКА ЗА ЗЪБИ АНТИПЛАКА МЕДИУМ","00504018","80","5.70",""
"00182","Аптека Марешки Аксаково / 014 / гр. Аксаково, ул. Капитан Петко Войвода 2Б","ЕЛГИДИУМ КИДС ГЕЛООБРАЗНА ПАСТА ЗА ЗЪБИ С ФЛУОРИНОЛ ЗА ЗАЩИТА ОТ КАРИЕС ЗА ДЕЦА 3-6г. с вкус на горски плодове 50мл","00504019","81","4.70",""
"00182","Аптека Марешки Аксаково / 014 / гр. Аксаково, ул. Капитан Петко Войвода 2Б","АСТЕРА Четка за Зъби МЕДИУМ","00705014","80","0.81",""
"00182","Аптека Марешки Аксаково / 014 / гр. Аксаково, ул. Капитан Петко Войвода 2Б","НИЗОРАЛ крем 20мг/гр-15гр","0200013","90","2.36",""
"00182","Аптека Марешки Аксаково / 014 / гр. Аксаково, ул. Капитан Петко Войвода 2Б","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","5.94",""
"00182","Аптека Марешки Аксаково / 014 / гр. Аксаково, ул. Капитан Петко Войвода 2Б","ЕЛГИДИУМ УАЙТАНИНГ ИЗБЕЛВАЩА ПАСТА ЗА ЗЪБИ 75мл","10000406","81","6.91",""
"00182","Аптека Марешки Аксаково / 014 / гр. Аксаково, ул. Капитан Петко Войвода 2Б","ГЪМ ОРИГИНАЛ УАЙТ паста за зъби 75мл","1000143","81","4.30","3.87"
"00182","Аптека Марешки Аксаково / 014 / гр. Аксаково, ул. Капитан Петко Войвода 2Б","СПАЗМАЛГОН инж разтвор 500мг/2мг/0.02мг 2мл х 5бр","1010211","87","3.06",""
"00182","Аптека Марешки Аксаково / 014 / гр. Аксаково, ул. Капитан Петко Войвода 2Б","АКНЕ АУТ САПУН 100гр","1011945","83","6.15",""
"00182","Аптека Марешки Аксаково / 014 / гр. Аксаково, ул. Капитан Петко Войвода 2Б","ЕЛГИДИУМ ДЖУНИЪР БЪБЪЛ детска паста за зъби от 7-12г. с вкус на дъвка 50мл","1012684","81","4.87",""
"00182","Аптека Марешки Аксаково / 014 / гр. Аксаково, ул. Капитан Петко Войвода 2Б","ДИКЛАК 5% гел 50мг/гр - 100гр","1015894","95","8.90",""
"00182","Аптека Марешки Аксаково / 014 / гр. Аксаково, ул. Капитан Петко Войвода 2Б","ПАРОДОНТАКС ИЗБЕЛВАЩА паста за зъби 75мл","1016013","81","5.02","3.77"
"00182","Аптека Марешки Аксаково / 014 / гр. Аксаково, ул. Капитан Петко Войвода 2Б","ПАРОДОНТАКС КЛАСИК паста за зъби 75мл","1016746","81","5.02","3.77"
"00182","Аптека Марешки Аксаково / 014 / гр. Аксаково, ул. Капитан Петко Войвода 2Б","ГЪМ КИДС паста за зъби за деца 2-6г 50мл","1016952","81","3.09",""
"00182","Аптека Марешки Аксаково / 014 / гр. Аксаково, ул. Капитан Петко Войвода 2Б","ГЪМ ДЖУНИЪР паста за зъби 7+год 50мл","1016953","81","3.23",""
"00182","Аптека Марешки Аксаково / 014 / гр. Аксаково, ул. Капитан Петко Войвода 2Б","ГЪМ ПАРОЕКС ПАСТА ЗА ЗЪБИ 0.06% 75мл","1018302","81","3.64","3.28"
"00182","Аптека Марешки Аксаково / 014 / гр. Аксаково, ул. Капитан Петко Войвода 2Б","БРУФЕН СР табл 800мг.х 30бр","1020323","94","6.46",""
"00182","Аптека Марешки Аксаково / 014 / гр. Аксаково, ул. Капитан Петко Войвода 2Б","СЕНСОДИН РИПЕЪР ЕНД ПРОТЕКТ УАЙТЪНИНГ паста за зъби 75мл","1020890","81","7.14","5.35"
