"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"56784","Аптека Марешки Пловдив 26 / 435 / гр.Пловдив, бул. България 61","ФЕНОЛАКС табл 5мг х 30бр","00080575","88","1.56",""
"56784","Аптека Марешки Пловдив 26 / 435 / гр.Пловдив, бул. България 61","БИЛКОВ ЧАЙ МАТОЧИНА филтър х 20бр","00091031","72","1.32",""
"56784","Аптека Марешки Пловдив 26 / 435 / гр.Пловдив, бул. България 61","ЕЛГИДИУМ АНТИ-ПЛАКА АНТИПЛАКОВА ПАСТА ЗА ЗЪБИ 75мл","00504002","81","6.27",""
"56784","Аптека Марешки Пловдив 26 / 435 / гр.Пловдив, бул. България 61","ЕЛГИДИУМ КИДС ГЕЛООБРАЗНА ПАСТА ЗА ЗЪБИ С ФЛУОРИНОЛ ЗА ЗАЩИТА ОТ КАРИЕС ЗА ДЕЦА 3-6г. с вкус на горски плодове 50мл","00504019","81","4.54",""
"56784","Аптека Марешки Пловдив 26 / 435 / гр.Пловдив, бул. България 61","ЕЛГИДИУМ КИДС ДЕТСКА ЧЕТКА ЗА ЗЪБИ 2-6 год","005040192","80","5.24",""
"56784","Аптека Марешки Пловдив 26 / 435 / гр.Пловдив, бул. България 61","БИЛКАДЕНТ Паста за Зъби АНТИПАРОДОНТ ЧЕРЕША 75мл","00902212","81","2.61",""
"56784","Аптека Марешки Пловдив 26 / 435 / гр.Пловдив, бул. България 61","БИОПРОГРАМА ЧАЙ КАРКАДЕ","01207009","72","1.50",""
"56784","Аптека Марешки Пловдив 26 / 435 / гр.Пловдив, бул. България 61","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","6.62",""
"56784","Аптека Марешки Пловдив 26 / 435 / гр.Пловдив, бул. България 61","ЛАКАЛУТ АКТИВ паста за зъби 75мл","05602006","81","3.58",""
"56784","Аптека Марешки Пловдив 26 / 435 / гр.Пловдив, бул. България 61","СПАЗМАЛГОН инж разтвор 500мг/2мг/0.02мг 2мл х 5бр","1010211","87","3.25",""
"56784","Аптека Марешки Пловдив 26 / 435 / гр.Пловдив, бул. България 61","АКНЕ АУТ САПУН 100гр","1011945","83","6.15",""
"56784","Аптека Марешки Пловдив 26 / 435 / гр.Пловдив, бул. България 61","ЛАВЕНА БОЧКО ПАСТА ЗА ЗЪБИ КИДС МОМИЧЕ/ЯГОДА 75мл","1012822","81","1.54",""
"56784","Аптека Марешки Пловдив 26 / 435 / гр.Пловдив, бул. България 61","ДИКЛАК 5% гел 50мг/гр - 100гр","1015894","95","9.79",""
"56784","Аптека Марешки Пловдив 26 / 435 / гр.Пловдив, бул. България 61","ЕЛГИДИУМ ДИФЮЖЪН ЧЕТКА ЗА ЗЪБИ МЕДИУМ","1016304","80","5.64",""
"56784","Аптека Марешки Пловдив 26 / 435 / гр.Пловдив, бул. България 61","САПУН НИЯ СЕРЕН 60гр","1017365","83","0.77",""
"56784","Аптека Марешки Пловдив 26 / 435 / гр.Пловдив, бул. България 61","СЕНСОДИН РИПЕЪР ЕНД ПРОТЕКТ паста за зъби 75мл","1019885","81","7.82","5.86"
"56784","Аптека Марешки Пловдив 26 / 435 / гр.Пловдив, бул. България 61","БРУФЕН СР табл 800мг.х 30бр","1020323","94","6.58",""
