"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","ЕЛГИДИУМ КЛИНИК Х ОРТОДОНТ ЧЕТКА ЗА ЗЪБИ М","0000098","80","5.64",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","БРАУНОЛ разтвор за кожа 100мл х 1бр","00011236","92","3.56",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","ФЕНОЛАКС табл 5мг х 30бр","00080575","88","1.61",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","СЕНСОДИН ФЛУОРИД ПАСТА ЗА ЗЪБИ 75мл","00402087","81","5.50","4.13"
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","ЕЛГИДИУМ КИДС ГЕЛООБРАЗНА ПАСТА ЗА ЗЪБИ С ФЛУОРИНОЛ ЗА ЗАЩИТА ОТ КАРИЕС ЗА ДЕЦА 3-6г. с вкус на горски плодове 50мл","00504019","81","4.55",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","НИЗОРАЛ крем 20мг/гр-15гр","0200013","90","2.08",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","6.82",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","ЕЛГИДИУМ УАЙТАНИНГ ИЗБЕЛВАЩА ПАСТА ЗА ЗЪБИ 75мл","10000406","81","6.20",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","СПАЗМАЛГОН инж разтвор 500мг/2мг/0.02мг 2мл х 5бр","1010211","87","3.35",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","ЕЛГИДИУМ ДЖУНИЪР БЪБЪЛ детска паста за зъби от 7-12г. с вкус на дъвка 50мл","1012684","81","4.87",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","ПАРОДОНТАКС ИЗБЕЛВАЩА паста за зъби 75мл","1016013","81","5.22","3.92"
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","ПАРОДОНТАКС КЛАСИК паста за зъби 75мл","1016746","81","5.50","4.13"
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","КЕТОНАЛ инж р-р 100мг/2мл х 50бр","1017915","94","16.74",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","БИЛКОВ ЧАЙ УСПОКОИТЕЛЕН филтър х 20бр","1020946","72","2.27",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","ЛОПЕДИУМ капс 2мг х 10бр/НОВА","1022002","89","3.62",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","ИМОДИУМ капс 2мг х 6бр/НОВА","1022007","89","3.75",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","АЛМИРАЛ ГЕЛ 1,16% 50г","1022666","95","5.35",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","АЦЦ сироп 20мг/мл 100мл","1026426","99","7.08",""
