"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"10135","Аптека Марешки Владиславово / 003 / гр.Варна, бул. Константин Фружин -ДКЦ 3","ЕЛГИДИУМ КЛИНИК Х ОРТОДОНТ ЧЕТКА ЗА ЗЪБИ М","0000098","80","5.80",""
"10135","Аптека Марешки Владиславово / 003 / гр.Варна, бул. Константин Фружин -ДКЦ 3","НЕНЕДЕНТ БЕЗ ФЛУОРИД паста за зъби 50мл","00009","81","2.18",""
"10135","Аптека Марешки Владиславово / 003 / гр.Варна, бул. Константин Фружин -ДКЦ 3","БРАУНОЛ разтвор за кожа 100мл х 1бр","00011236","92","3.56",""
"10135","Аптека Марешки Владиславово / 003 / гр.Варна, бул. Константин Фружин -ДКЦ 3","ФЕНОЛАКС табл 5мг х 30бр","00080575","88","1.56",""
"10135","Аптека Марешки Владиславово / 003 / гр.Варна, бул. Константин Фружин -ДКЦ 3","БИЛКОВ ЧАЙ МАТОЧИНА филтър х 20бр","00091031","72","1.32",""
"10135","Аптека Марешки Владиславово / 003 / гр.Варна, бул. Константин Фружин -ДКЦ 3","ЕЛГИДИУМ АНТИ-ПЛАКА АНТИПЛАКОВА ПАСТА ЗА ЗЪБИ 75мл","00504002","81","6.27",""
"10135","Аптека Марешки Владиславово / 003 / гр.Варна, бул. Константин Фружин -ДКЦ 3","ЕЛГИДИУМ КИДС ГЕЛООБРАЗНА ПАСТА ЗА ЗЪБИ С ФЛУОРИНОЛ ЗА ЗАЩИТА ОТ КАРИЕС ЗА ДЕЦА 3-6г. с вкус на горски плодове 50мл","00504019","81","4.87",""
"10135","Аптека Марешки Владиславово / 003 / гр.Варна, бул. Константин Фружин -ДКЦ 3","НИЗОРАЛ крем 20мг/гр-15гр","0200013","90","2.08",""
"10135","Аптека Марешки Владиславово / 003 / гр.Варна, бул. Константин Фружин -ДКЦ 3","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","6.82",""
"10135","Аптека Марешки Владиславово / 003 / гр.Варна, бул. Константин Фружин -ДКЦ 3","ЛАКАЛУТ АКТИВ паста за зъби 75мл","05602006","81","3.68",""
"10135","Аптека Марешки Владиславово / 003 / гр.Варна, бул. Константин Фружин -ДКЦ 3","СПАЗМАЛГОН инж разтвор 500мг/2мг/0.02мг 2мл х 5бр","1010211","87","3.26",""
