"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","ФЕНОЛАКС табл 5мг х 30бр","00080575","88","1.56",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","СЕНСОДИН ФЛУОРИД ПАСТА ЗА ЗЪБИ 75мл","00402087","81","5.50","4.13"
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","ПАРОДОНТАКС ФЛУОР ПАСТА ЗА ЗЪБИ 75мл","00402088","81","5.50","4.13"
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","ЕЛГИДИУМ АНТИ-ПЛАКА АНТИПЛАКОВА ПАСТА ЗА ЗЪБИ 75мл","00504002","81","6.27",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","ЕЛГИДИУМ КИДС ГЕЛООБРАЗНА ПАСТА ЗА ЗЪБИ С ФЛУОРИНОЛ ЗА ЗАЩИТА ОТ КАРИЕС ЗА ДЕЦА 3-6г. с вкус на горски плодове 50мл","00504019","81","4.70",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","АСТЕРА Четка за Зъби МЕДИУМ","00705014","80","0.81",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","БИЛКАДЕНТ Паста за Зъби АНТИПАРОДОНТ ЧЕРЕША 75мл","00902212","81","2.61",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","НИЗОРАЛ крем 20мг/гр-15гр","0200013","90","2.08",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","6.82",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","ЕЛГИДИУМ УАЙТАНИНГ ИЗБЕЛВАЩА ПАСТА ЗА ЗЪБИ 75мл","10000406","81","6.91",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","СПАЗМАЛГОН инж разтвор 500мг/2мг/0.02мг 2мл х 5бр","1010211","87","3.25",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","АКНЕ АУТ САПУН 100гр","1011945","83","6.15",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","ЛАВЕНА БОЧКО ПАСТА ЗА ЗЪБИ КИДС МОМИЧЕ/ЯГОДА 75мл","1012822","81","1.54",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","ЛАВЕНА БОЧКО ПАСТА ЗА ЗЪБИ КИДС МОМЧЕ/ДЪВКА 75мл","1012823","81","1.54",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","ДИКЛАК 5% гел 50мг/гр - 100гр","1015894","95","9.79",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","ПАРОДОНТАКС КЛАСИК паста за зъби 75мл","1016746","81","5.50","4.12"
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","САПУН НИЯ СЕРЕН 60гр","1017365","83","0.78",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","БРУФЕН СР табл 800мг.х 30бр","1020323","94","6.65",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","ЛОПЕДИУМ капс 2мг х 10бр/НОВА","1022002","89","3.62",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","ИМОДИУМ капс 2мг х 6бр/НОВА","1022007","89","3.64",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","АЛМИРАЛ ГЕЛ 1,16% 50г","1022666","95","5.35",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","ЛАВЕНА БОЧКО САПУН лавандула 75гр","1022761","83","0.98",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","ЛАВЕНА БОЧКО САПУН невен 75гр","1022769","83","0.98",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","БИОПРОГРАМА чай дребноцветна върбовка","1022921","72","1.79",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","ЕЛГИДИУМ ИЗБЕЛВАЩА четка за зъби М ПРОМО","1023462","80","4.86",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","ЕЛГИДИУМ КИДС ГЕЛООБРАЗНА ПАСТА ЗА ЗЪБИ ЗА ЗАЩИТА ОТ КАРИЕС С ФЛУРИНОЛ И ВКУС НА СВЕЖА ЯГОДА 50мл","1023759","81","4.70",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","АЛМИРАЛ гел 1.16% 250гр","1023856","95","14.52",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","АЦЦ сироп 20мг/мл 100мл","1026426","99","7.08",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","ПОМОРИН КЛАСИК паста за зъби 100мл","1027148","81","1.54",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","ЕУБИОТИК капс х 20бр","1028054","89","8.77",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","ПРОБИЕН КИДС ЖЕЛИРАНИ МЕЧЕТА х 60бр","1029958","89","12.04",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","ЕКЗОДЕРИЛ сол.1% 20мл","1030142","90","11.75",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","ЕЛГИДИУМ УАЙТАНИНГ КУУЛ ЛИМОН ИЗБЕЛВАЩА ПАСТА ЗА ЗЪБИ С ВКУС НА СВЕЖ ЛИМОН 75мл","1030440","81","6.91",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","СЕНСОДИН АДВАНС КЛИЙН паста за зъби 75мл","1032148","81","5.50","4.12"
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","ХЕКСАЛГИН ДЕЦА сол 500мг/мл 20мл","1033246","96","5.41",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","ДИКЛАК МАКС 5% гел 50мг/гр 50гр","1034135","95","6.74",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","ДИАЛГИН ДЕЦА капки 500мг/мл 20мл","1034831","96","4.36",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","СЕНСОДИН ЕКСТРА УАЙТЪНИНГ паста за зъби 75мл","1034839","81","5.50","4.13"
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","ЕЛГИДИУМ УСПОКОЯВАЩА ПАСТА ЗА ЗЪБИ РАЗДРАЗНЕНИ ВЕНЦИ 75мл","1035074","81","6.91",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","ЕЛГИДИУМ МУЛТИЕКШЪН МУЛТИФУНКЦИОНАЛНА ПАСТА ЗА ЗЪБИ 75мл","1035076","81","6.53",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","ЕЛГИДИУМ КЛИНИК ПЕРИОБЛОК КЕЪР паста за зъби 75мл","1035077","81","7.36",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","ЕЛГИДИУМ КЛИНИК ПЕРИОБЛОК ПРО ПАСТА ЗА ЗЪБИ 50мл","1037937","81","7.36",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","АЦЦ МЕД И ЛИМОН САШЕТИ 600МГ Х 10БР","1037947","99","8.50",""
