"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"72624","Аптека Марешки Добрич / 260 / гр. Добрич, ул ПЕШЕХОДНА ЗОНА 25 ти септем","ГЪМ СЕНСИВИТАЛ+ ПАСТА ЗА ЗЪБИ ГЕЛ 75мл","00000643","81","4.30","3.87"
"72624","Аптека Марешки Добрич / 260 / гр. Добрич, ул ПЕШЕХОДНА ЗОНА 25 ти септем","ЕЛГИДИУМ КЛИНИК Х ОРТОДОНТ ЧЕТКА ЗА ЗЪБИ М","0000098","80","5.56",""
"72624","Аптека Марешки Добрич / 260 / гр. Добрич, ул ПЕШЕХОДНА ЗОНА 25 ти септем","НЕНЕДЕНТ БЕЗ ФЛУОРИД паста за зъби 50мл","00009","81","1.67",""
"72624","Аптека Марешки Добрич / 260 / гр. Добрич, ул ПЕШЕХОДНА ЗОНА 25 ти септем","ФЕНОЛАКС табл 5мг х 30бр","00080575","88","1.56",""
"72624","Аптека Марешки Добрич / 260 / гр. Добрич, ул ПЕШЕХОДНА ЗОНА 25 ти септем","БИЛКОВ ЧАЙ МАТОЧИНА филтър х 20бр","00091031","72","1.21",""
"72624","Аптека Марешки Добрич / 260 / гр. Добрич, ул ПЕШЕХОДНА ЗОНА 25 ти септем","СЕНСОДИН ФЛУОРИД ПАСТА ЗА ЗЪБИ 75мл","00402087","81","5.50",""
"72624","Аптека Марешки Добрич / 260 / гр. Добрич, ул ПЕШЕХОДНА ЗОНА 25 ти септем","ПАРОДОНТАКС ФЛУОР ПАСТА ЗА ЗЪБИ 75мл","00402088","81","5.22",""
"72624","Аптека Марешки Добрич / 260 / гр. Добрич, ул ПЕШЕХОДНА ЗОНА 25 ти септем","А-ДЕРМА ДЕРМАТОЛОГИЧЕН ПОЧИСТВАЩ САПУН 100гр","00501004","83","7.56","5.29"
"72624","Аптека Марешки Добрич / 260 / гр. Добрич, ул ПЕШЕХОДНА ЗОНА 25 ти септем","ЕЛГИДИУМ АНТИ-ПЛАКА АНТИПЛАКОВА ПАСТА ЗА ЗЪБИ 75мл","00504002","81","5.88",""
"72624","Аптека Марешки Добрич / 260 / гр. Добрич, ул ПЕШЕХОДНА ЗОНА 25 ти септем","ЕЛГИДИУМ КЛИНИК ЧЕТКА ЗА ЗЪБИ АНТИПЛАКА МЕДИУМ","00504018","80","5.64",""
"72624","Аптека Марешки Добрич / 260 / гр. Добрич, ул ПЕШЕХОДНА ЗОНА 25 ти септем","ЕЛГИДИУМ КИДС ДЕТСКА ЧЕТКА ЗА ЗЪБИ 2-6 год","005040192","80","4.51",""
"72624","Аптека Марешки Добрич / 260 / гр. Добрич, ул ПЕШЕХОДНА ЗОНА 25 ти септем","БИЛКАДЕНТ Паста за Зъби АНТИПАРОДОНТ ЧЕРЕША 75мл","00902212","81","2.61",""
"72624","Аптека Марешки Добрич / 260 / гр. Добрич, ул ПЕШЕХОДНА ЗОНА 25 ти септем","БИОПРОГРАМА ЧАЙ КАРКАДЕ","01207009","72","1.50",""
"72624","Аптека Марешки Добрич / 260 / гр. Добрич, ул ПЕШЕХОДНА ЗОНА 25 ти септем","НИЗОРАЛ крем 20мг/гр-15гр","0200013","90","2.08",""
"72624","Аптека Марешки Добрич / 260 / гр. Добрич, ул ПЕШЕХОДНА ЗОНА 25 ти септем","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","6.82",""
