"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"67338","Аптека Марешки 9 / 475 / гр. Сливен, бул.Стефан Караджа, 4-Б, ет.1 обект 12","БРАУНОЛ разтвор за кожа 100мл х 1бр","00011236","92","3.56",""
"67338","Аптека Марешки 9 / 475 / гр. Сливен, бул.Стефан Караджа, 4-Б, ет.1 обект 12","СЕНСОДИН ФЛУОРИД ПАСТА ЗА ЗЪБИ 75мл","00402087","81","5.50","4.13"
"67338","Аптека Марешки 9 / 475 / гр. Сливен, бул.Стефан Караджа, 4-Б, ет.1 обект 12","ЕЛГИДИУМ КИДС ГЕЛООБРАЗНА ПАСТА ЗА ЗЪБИ С ФЛУОРИНОЛ ЗА ЗАЩИТА ОТ КАРИЕС ЗА ДЕЦА 3-6г. с вкус на горски плодове 50мл","00504019","81","4.87",""
"67338","Аптека Марешки 9 / 475 / гр. Сливен, бул.Стефан Караджа, 4-Б, ет.1 обект 12","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","6.82",""
"67338","Аптека Марешки 9 / 475 / гр. Сливен, бул.Стефан Караджа, 4-Б, ет.1 обект 12","СПАЗМАЛГОН инж разтвор 500мг/2мг/0.02мг 2мл х 5бр","1010211","87","3.35",""
"67338","Аптека Марешки 9 / 475 / гр. Сливен, бул.Стефан Караджа, 4-Б, ет.1 обект 12","АКНЕ АУТ САПУН 100гр","1011945","83","6.15",""
"67338","Аптека Марешки 9 / 475 / гр. Сливен, бул.Стефан Караджа, 4-Б, ет.1 обект 12","ЕЛГИДИУМ ДЖУНИЪР БЪБЪЛ детска паста за зъби от 7-12г. с вкус на дъвка 50мл","1012684","81","4.87",""
"67338","Аптека Марешки 9 / 475 / гр. Сливен, бул.Стефан Караджа, 4-Б, ет.1 обект 12","ДИКЛАК 5% гел 50мг/гр - 100гр","1015894","95","10.09",""
"67338","Аптека Марешки 9 / 475 / гр. Сливен, бул.Стефан Караджа, 4-Б, ет.1 обект 12","ПАРОДОНТАКС ИЗБЕЛВАЩА паста за зъби 75мл","1016013","81","5.50","4.13"
"67338","Аптека Марешки 9 / 475 / гр. Сливен, бул.Стефан Караджа, 4-Б, ет.1 обект 12","ПАРОДОНТАКС КЛАСИК паста за зъби 75мл","1016746","81","5.50","4.13"
"67338","Аптека Марешки 9 / 475 / гр. Сливен, бул.Стефан Караджа, 4-Б, ет.1 обект 12","БРУФЕН СР табл 800мг.х 30бр","1020323","94","6.65",""
"67338","Аптека Марешки 9 / 475 / гр. Сливен, бул.Стефан Караджа, 4-Б, ет.1 обект 12","СЕНСОДИН РИПЕЪР ЕНД ПРОТЕКТ УАЙТЪНИНГ паста за зъби 75мл","1020890","81","7.82","5.87"
"67338","Аптека Марешки 9 / 475 / гр. Сливен, бул.Стефан Караджа, 4-Б, ет.1 обект 12","ЛОПЕДИУМ капс 2мг х 10бр/НОВА","1022002","89","3.62",""
"67338","Аптека Марешки 9 / 475 / гр. Сливен, бул.Стефан Караджа, 4-Б, ет.1 обект 12","ИМОДИУМ капс 2мг х 6бр/НОВА","1022007","89","3.75",""
"67338","Аптека Марешки 9 / 475 / гр. Сливен, бул.Стефан Караджа, 4-Б, ет.1 обект 12","АЛМИРАЛ ГЕЛ 1,16% 50г","1022666","95","5.35",""
"67338","Аптека Марешки 9 / 475 / гр. Сливен, бул.Стефан Караджа, 4-Б, ет.1 обект 12","ЛАВЕНА БОЧКО САПУН лавандула 75гр","1022761","83","0.98",""
