"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"14218","Аптека Марешки 5 / 792 / гр. Габрово, ул. Радецка 1","БРАУНОЛ разтвор за кожа 100мл х 1бр","00011236","92","3.56",""
"14218","Аптека Марешки 5 / 792 / гр. Габрово, ул. Радецка 1","ЕЛГИДИУМ АНТИ-КАРИЕС АНТИКАРИЕСНА ПАСТА ЗА ЗЪБИ 75мл","000808263","81","4.58",""
"14218","Аптека Марешки 5 / 792 / гр. Габрово, ул. Радецка 1","БИЛКОВ ЧАЙ МАТОЧИНА филтър х 20бр","00091031","72","1.21",""
"14218","Аптека Марешки 5 / 792 / гр. Габрово, ул. Радецка 1","СЕНСОДИН ФЛУОРИД ПАСТА ЗА ЗЪБИ 75мл","00402087","81","5.17","3.88"
"14218","Аптека Марешки 5 / 792 / гр. Габрово, ул. Радецка 1","НИЗОРАЛ крем 20мг/гр-15гр","0200013","90","2.40",""
"14218","Аптека Марешки 5 / 792 / гр. Габрово, ул. Радецка 1","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","6.82",""
"14218","Аптека Марешки 5 / 792 / гр. Габрово, ул. Радецка 1","СПАЗМАЛГОН инж разтвор 500мг/2мг/0.02мг 2мл х 5бр","1010211","87","3.25",""
"14218","Аптека Марешки 5 / 792 / гр. Габрово, ул. Радецка 1","ДИКЛАК 5% гел 50мг/гр - 100гр","1015894","95","9.79",""
"14218","Аптека Марешки 5 / 792 / гр. Габрово, ул. Радецка 1","ПАРОДОНТАКС КЛАСИК паста за зъби 75мл","1016746","81","5.17","3.88"
"14218","Аптека Марешки 5 / 792 / гр. Габрово, ул. Радецка 1","САПУН НИЯ СЕРЕН 60гр","1017365","83","0.77",""
"14218","Аптека Марешки 5 / 792 / гр. Габрово, ул. Радецка 1","КЕТОНАЛ инж р-р 100мг/2мл х 50бр","1017915","94","17.50",""
"14218","Аптека Марешки 5 / 792 / гр. Габрово, ул. Радецка 1","БРУФЕН СР табл 800мг.х 30бр","1020323","94","6.65",""
"14218","Аптека Марешки 5 / 792 / гр. Габрово, ул. Радецка 1","БИЛКОВ ЧАЙ УСПОКОИТЕЛЕН филтър х 20бр","1020946","72","2.27",""
"14218","Аптека Марешки 5 / 792 / гр. Габрово, ул. Радецка 1","ЛОПЕДИУМ капс 2мг х 10бр/НОВА","1022002","89","3.62",""
"14218","Аптека Марешки 5 / 792 / гр. Габрово, ул. Радецка 1","ИМОДИУМ капс 2мг х 6бр/НОВА","1022007","89","3.64",""
"14218","Аптека Марешки 5 / 792 / гр. Габрово, ул. Радецка 1","ЕЛГИДИУМ детска паста за зъби горски плод 50мл ПРОМО","1022077","81","3.64",""
"14218","Аптека Марешки 5 / 792 / гр. Габрово, ул. Радецка 1","АЛМИРАЛ ГЕЛ 1,16% 50г","1022666","95","5.35",""
"14218","Аптека Марешки 5 / 792 / гр. Габрово, ул. Радецка 1","ЛАВЕНА БОЧКО САПУН лавандула 75гр","1022761","83","0.98",""
"14218","Аптека Марешки 5 / 792 / гр. Габрово, ул. Радецка 1","ЛАВЕНА БОЧКО САПУН невен 75гр","1022769","83","0.99",""
"14218","Аптека Марешки 5 / 792 / гр. Габрово, ул. Радецка 1","АЛМИРАЛ гел 1.16% 250гр","1023856","95","13.57",""
"14218","Аптека Марешки 5 / 792 / гр. Габрово, ул. Радецка 1","ЕЛГИДИУМ детска паста за зъби с вкус на свежа ягода 2-6год 50мл ПРОМО","1023861","81","3.64",""
"14218","Аптека Марешки 5 / 792 / гр. Габрово, ул. Радецка 1","ЕЛГИДИУМ АНТИПЛАКА паста за зъби ПРОМО 75мл","1024352","81","4.20",""
"14218","Аптека Марешки 5 / 792 / гр. Габрово, ул. Радецка 1","ЕЛГИДИУМ ИЗБЕЛВАЩА ПАСТА ЗА ЗЪБИ ПРОМО 75мл","1025662","81","4.47",""
"14218","Аптека Марешки 5 / 792 / гр. Габрово, ул. Радецка 1","АЦЦ сироп 20мг/мл 100мл","1026426","99","7.07",""
"14218","Аптека Марешки 5 / 792 / гр. Габрово, ул. Радецка 1","ПОМОРИН КЛАСИК паста за зъби 100мл","1027148","81","1.02",""
"14218","Аптека Марешки 5 / 792 / гр. Габрово, ул. Радецка 1","ПРОБИЕН КИДС ЖЕЛИРАНИ МЕЧЕТА х 60бр","1029958","89","12.04",""
"14218","Аптека Марешки 5 / 792 / гр. Габрово, ул. Радецка 1","ИБУЛЕК сашети 400мг х 10бр","1030132","94","5.40",""
"14218","Аптека Марешки 5 / 792 / гр. Габрово, ул. Радецка 1","ИБУЛЕК сашети 600мг х 10бр","1030133","94","6.76",""
"14218","Аптека Марешки 5 / 792 / гр. Габрово, ул. Радецка 1","ЕКЗОДЕРИЛ сол.1% 20мл","1030142","90","11.75",""
"14218","Аптека Марешки 5 / 792 / гр. Габрово, ул. Радецка 1","ХЕКСАЛГИН ДЕЦА сол 500мг/мл 20мл","1033246","96","5.41",""
"14218","Аптека Марешки 5 / 792 / гр. Габрово, ул. Радецка 1","ДИКЛАК МАКС 5% гел 50мг/гр 50гр","1034135","95","6.74",""
"14218","Аптека Марешки 5 / 792 / гр. Габрово, ул. Радецка 1","ДИАЛГИН ДЕЦА капки 500мг/мл 20мл","1034831","96","4.36",""
"14218","Аптека Марешки 5 / 792 / гр. Габрово, ул. Радецка 1","ЕЛГИДИУМ УСПОКОЯВАЩА ПАСТА ЗА ЗЪБИ РАЗДРАЗНЕНИ ВЕНЦИ 75мл","1035074","81","6.63",""
"14218","Аптека Марешки 5 / 792 / гр. Габрово, ул. Радецка 1","ЕЛГИДИУМ КЛИНИК ПЕРИОБЛОК КЕЪР паста за зъби 75мл","1035077","81","6.63",""
"14218","Аптека Марешки 5 / 792 / гр. Габрово, ул. Радецка 1","ИНТИМО ХЕЛП мокри кърпи алое х 20бр","1036900","84","1.88",""
"14218","Аптека Марешки 5 / 792 / гр. Габрово, ул. Радецка 1","ИБУЛЕК ЗА ДЕЦА 100мг/5мл перорална сусп х 120мл","1037617","94","3.71",""
"14218","Аптека Марешки 5 / 792 / гр. Габрово, ул. Радецка 1","ЕЛГИДИУМ КЛИНИК ПЕРИОБЛОК ПРО ПАСТА ЗА ЗЪБИ 50мл","1037937","81","6.90",""
"14218","Аптека Марешки 5 / 792 / гр. Габрово, ул. Радецка 1","АЦЦ МЕД И ЛИМОН САШЕТИ 600МГ Х 10БР","1037947","99","8.50",""
"14218","Аптека Марешки 5 / 792 / гр. Габрово, ул. Радецка 1","ПОМОРИН ПАРАДОНТИТ  АКТИВ паста за зъби 100мл","1038104","81","1.40",""
"14218","Аптека Марешки 5 / 792 / гр. Габрово, ул. Радецка 1","ПОМОРИН АКТИВ ШАРКОАЛ паста за зъби 100мл","1038105","81","1.40",""
