"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","ЕЛГИДИУМ КЛИНИК Х ОРТОДОНТ ЧЕТКА ЗА ЗЪБИ М","0000098","80","4.06",""
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","БРАУНОЛ разтвор за кожа 100мл х 1бр","00011236","92","3.56",""
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","ФЕНОЛАКС табл 5мг х 30бр","00080575","88","1.56",""
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","ЕЛГИДИУМ АНТИ-КАРИЕС АНТИКАРИЕСНА ПАСТА ЗА ЗЪБИ 75мл","000808263","81","5.96",""
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","БИЛКОВ ЧАЙ МАТОЧИНА филтър х 20бр","00091031","72","1.21",""
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","ПАРОДОНТАКС ФЛУОР ПАСТА ЗА ЗЪБИ 75мл","00402088","81","5.50","4.12"
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","ЕЛГИДИУМ АНТИ-ПЛАКА АНТИПЛАКОВА ПАСТА ЗА ЗЪБИ 75мл","00504002","81","5.88",""
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","ЕЛГИДИУМ КИДС ГЕЛООБРАЗНА ПАСТА ЗА ЗЪБИ С ФЛУОРИНОЛ ЗА ЗАЩИТА ОТ КАРИЕС ЗА ДЕЦА 3-6г. с вкус на горски плодове 50мл","00504019","81","4.70",""
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","АСТЕРА Четка за Зъби МЕДИУМ","00705014","80","0.81",""
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","БИЛКАДЕНТ Паста за Зъби АНТИПАРОДОНТ ЧЕРЕША 75мл","00902212","81","2.61",""
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","БИОПРОГРАМА ЧАЙ КАРКАДЕ","01207009","72","0.78",""
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","НИЗОРАЛ крем 20мг/гр-15гр","0200013","90","2.08",""
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","6.82",""
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","ЛАКАЛУТ АКТИВ паста за зъби 75мл","05602006","81","3.68",""
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","ЕЛГИДИУМ УАЙТАНИНГ ИЗБЕЛВАЩА ПАСТА ЗА ЗЪБИ 75мл","10000406","81","6.20",""
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","СПАЗМАЛГОН инж разтвор 500мг/2мг/0.02мг 2мл х 5бр","1010211","87","3.25",""
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","АКНЕ АУТ САПУН 100гр","1011945","83","5.79",""
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","ЕЛГИДИУМ ДЖУНИЪР БЪБЪЛ детска паста за зъби от 7-12г. с вкус на дъвка 50мл","1012684","81","4.87",""
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","ЛАВЕНА БОЧКО ПАСТА ЗА ЗЪБИ КИДС МОМИЧЕ/ЯГОДА 75мл","1012822","81","1.54",""
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","ЛАВЕНА БОЧКО ПАСТА ЗА ЗЪБИ КИДС МОМЧЕ/ДЪВКА 75мл","1012823","81","1.54",""
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","ДИКЛАК 5% гел 50мг/гр - 100гр","1015894","95","9.79",""
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","ПАРОДОНТАКС КЛАСИК паста за зъби 75мл","1016746","81","5.50","4.12"
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","САПУН НИЯ СЕРЕН 60гр","1017365","83","0.77",""
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","КЕТОНАЛ инж р-р 100мг/2мл х 50бр","1017915","94","16.74",""
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","ГЪМ ПАРОЕКС ПАСТА ЗА ЗЪБИ 0.06% 75мл","1018302","81","3.64","3.28"
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","СЕНСОДИН РИПЕЪР ЕНД ПРОТЕКТ паста за зъби 75мл","1019885","81","7.82","5.86"
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","ЕЛГИДИУМ УАЙТАНИНГ ИЗБЕЛВАЩА ПАСТА ЗА ЗЪБИ 50мл","1020022","81","4.93",""
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","БРУФЕН СР табл 800мг.х 30бр","1020323","94","6.65",""
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","БИЛКОВ ЧАЙ УСПОКОИТЕЛЕН филтър х 20бр","1020946","72","2.27",""
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","ЛОПЕДИУМ капс 2мг х 10бр/НОВА","1022002","89","3.62",""
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","ИМОДИУМ капс 2мг х 6бр/НОВА","1022007","89","3.64",""
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","АЛМИРАЛ ГЕЛ 1,16% 50г","1022666","95","5.35",""
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","ЛАВЕНА БОЧКО САПУН лавандула 75гр","1022761","83","0.98",""
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","ЛАВЕНА БОЧКО САПУН невен 75гр","1022769","83","0.98",""
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","БИОПРОГРАМА чай дребноцветна върбовка","1022921","72","1.79",""
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","ЕЛГИДИУМ КИДС ГЕЛООБРАЗНА ПАСТА ЗА ЗЪБИ ЗА ЗАЩИТА ОТ КАРИЕС С ФЛУРИНОЛ И ВКУС НА СВЕЖА ЯГОДА 50мл","1023759","81","4.70",""
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","ЕЛГИДИУМ детска паста за зъби с вкус на свежа ягода 2-6год 50мл ПРОМО","1023861","81","4.55",""
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","АЦЦ сироп 20мг/мл 100мл","1026426","99","6.62",""
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","ПОМОРИН КЛАСИК паста за зъби 100мл","1027148","81","1.14",""
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","ПОМОРИН АНТИПАРОДОНТОЗА паста за зъби 100мл","1027149","81","1.14",""
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","ЕТИЛОВ СПИРТ ХИМАКС 70% 0.800кг","1027352","92","4.55",""
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","ЕУБИОТИК капс х 20бр","1028054","89","9.11",""
