"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","БРАУНОЛ разтвор за кожа 100мл х 1бр","00011236","92","3.56",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","ФЕНОЛАКС табл 5мг х 30бр","00080575","88","1.61",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","СЕНСОДИН ФЛУОРИД ПАСТА ЗА ЗЪБИ 75мл","00402087","81","5.50","4.13"
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","НИЗОРАЛ крем 20мг/гр-15гр","0200013","90","2.40",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","6.82",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","СПАЗМАЛГОН инж разтвор 500мг/2мг/0.02мг 2мл х 5бр","1010211","87","3.35",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","АКНЕ АУТ САПУН 100гр","1011945","83","6.15",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","ЕЛГИДИУМ ДЖУНИЪР БЪБЪЛ детска паста за зъби от 7-12г. с вкус на дъвка 50мл","1012684","81","4.70",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","ДИКЛАК 5% гел 50мг/гр - 100гр","1015894","95","10.09",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","ПАРОДОНТАКС ИЗБЕЛВАЩА паста за зъби 75мл","1016013","81","5.50","4.13"
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","ПАРОДОНТАКС КЛАСИК паста за зъби 75мл","1016746","81","5.50","4.13"
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","БРУФЕН СР табл 800мг.х 30бр","1020323","94","6.72",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","ЛОПЕДИУМ капс 2мг х 10бр/НОВА","1022002","89","3.62",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","ИМОДИУМ капс 2мг х 6бр/НОВА","1022007","89","3.75",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","АЛМИРАЛ ГЕЛ 1,16% 50г","1022666","95","5.35",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","АЛМИРАЛ гел 1.16% 250гр","1023856","95","13.97",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","САПУН НИЯ БЕБЕ с мед кутия 60гр","1024493","83","1.07",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","АЦЦ сироп 20мг/мл 100мл","1026426","99","7.08",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","ПОМОРИН КЛАСИК паста за зъби 100мл","1027148","81","1.07",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","ЕУБИОТИК капс х 20бр","1028054","89","8.77",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","ЕКЗОДЕРИЛ сол.1% 20мл","1030142","90","12.10",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","ЕЛГИДИУМ УАЙТАНИНГ КУУЛ ЛИМОН ИЗБЕЛВАЩА ПАСТА ЗА ЗЪБИ С ВКУС НА СВЕЖ ЛИМОН 75мл","1030440","81","6.20",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","ЕЛГИДИУМ АНТИ-ПЛАКА АНТИПЛАКОВА ПАСТА ЗА ЗЪБИ 50мл","1032999","81","6.06",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","ХЕКСАЛГИН ДЕЦА сол 500мг/мл 20мл","1033246","96","5.62",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","АКВАФРЕШ АКТИВ УАЙТАНИНГ паста за зъби 125мл","1033566","81","2.70","2.03"
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","ПАРОДОНТАКС КЪМПЛИЙТ ПРОТЕКТ паста за зъби 75мл","1033567","81","6.60","4.95"
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","ДИКЛАК МАКС 5% гел 50мг/гр 50гр","1034135","95","7.29",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","ДИАЛГИН ДЕЦА капки 500мг/мл 20мл","1034831","96","4.52",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","СЕНСОДИН ЕКСТРА УАЙТЪНИНГ паста за зъби 75мл","1034839","81","5.50","4.13"
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","ЕЛГИДИУМ КЛИНИК ПЕРИОБЛОК КЕЪР паста за зъби 75мл","1035077","81","6.48",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","ПАРОДОНТАКС КЪМПЛИЙТ ПРОТЕКТ УАЙТ паста за зъби 75мл","1035234","81","6.60","4.95"
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","СЕНСОДИН СЕНСИТИВ ЕНД ГЪМ паста за зъби 75мл","1036466","81","7.82","5.86"
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","АКВАФРЕШ СПЛАШ ЯГОДА паста за зъби 3-8г 50мл","1036678","81","3.56","2.67"
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","АКВАФРЕШ АДВАНС паста за зъби за деца от 9 до 12год. 75мл","1036715","81","3.38","2.54"
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","ЕЛГИДИУМ КЛИНИК ПЕРИОБЛОК ПРО ПАСТА ЗА ЗЪБИ 50мл","1037937","81","7.19",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","АЦЦ МЕД И ЛИМОН САШЕТИ 600МГ Х 10БР","1037947","99","8.76",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","ДЕНТАЛ ДРИЙМ БЛЕК ЕНД УАЙТ паста за зъби 100мл","1038102","81","1.34",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","ДЕНТАЛ ДРИЙМ КЪМПЛИЙТ паста за зъби 100мл","1038103","81","1.41",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","ПСИЛО - БАЛСАМ гел 1% 50гр","1038455","91","8.46",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","НИЗОРАЛ шампоан 2% 100мл","1039141","90","14.28",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","ЛАКАЛУТ ДЕТСКА паста за зъби 2-6г 55мл","1039375","81","3.59",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","ЛАКАЛУТ ДЕТСКА паста за зъби 6+ 55мл","1039376","81","3.58",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","КЪРПИ МОКРИ ЗА БЕБЕ ВМ с капак х 72бр","1039443","84","1.12",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","КЕТОФЛЕКС инж разтвор 50мг/мл 2мл х 10бр","1040004","94","9.97",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","Аквафреш паста за зъби Фреш и Минт 125мл","1040559","81","2.70","2.03"
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","Аквафреш паста за зъби Милд и Минт 125мл","1040560","81","2.69","2.02"
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","ЛАКАЛУТ ПЪРФЕКТ УАЙТ паста за зъби 75мл","1040625","81","3.58",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","ПАРОДОНТАКС АКТИВ ГЪМ РИПЕЪР паста за зъби 75мл","1040963","81","6.60","4.95"
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","ФЕЛОРАН ФОРТЕ СОФАРМА гел 5% 120гр","1041093","95","8.31",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","ЕЛГИДИУМ КЛИНИК СЕНСИЛИЙВ паста за зъби 50мл","1041158","81","6.29",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","ПАРАБОЛ МАКС меки капс 400мг х 10бр","1041397","94","5.18",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","СЕНСОДИН ПРОНАМЕЛ ДЖУНИЪР паста за зъби 50мл","1041676","81","4.31",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","СЕНСОДИН АНТИ КАРИЕС  паста за зъби 75мл","1041677","81","5.22",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","ДИКЛАК 12 часа гел 23,2мг/г 100гр","1041922","95","11.51",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","ДИКЛАК 12 часа гел 23,2мг/г 50гр","1041923","95","8.42",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","БУСКОЛИЗИН обвити табл 10мг х 30бр","1042116","87","3.75",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","ОРОФАР ИНТЕНС спрей 15мл","1042241","98","8.01",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","ОЛИНТ ДУО спрей за нос 1мг/мл + 50мг/мл 10мл","1042282","97","6.65",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","ДУЛКОЛАКС супозитории 10мг х 6бр","1042352","88","5.86",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","СЕНСОДИН КЛИНИКАЛ РИПЕЪР паста за зъби 75мл","1042365","81","7.82","5.86"
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","СЕНСОДИН ПРОНАМЕЛ паста за зъби за деца 2-6 години 50мл","1042527","81","4.52","3.39"
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","ВОЛТАРЕН лечебен пластир 140мг х 5бр","1042949","95","16.66",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","ЕНТЕРОЛ ФОРТЕ прах за перорална сусп 500мг х 10бр","1043937","89","9.54",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","ПАРАБОЛ МАКС меки капс 400мг х 20бр","1043939","94","8.70",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","НУРОФЕН ЕКСПРЕС ФОРТЕ компакт меки капс х 10бр","1044060","94","5.46",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","НУРОФЕН ЕКСПРЕС ФОРТЕ компакт меки капс х 20бр","1044061","94","9.93",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","КРИСПА САПУН ГЛИЦЕРИН 100гр","1044065","83","1.53",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","ЕФИЗОЛ ИНТЕНЗ табл за смучене 8.75мг х 24бр","1044197","98","6.65",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","СЕНСОДИН КАВИТИ + СЕНСИТИВИТИ паста за зъби 75мл","1044201","81","5.50","4.12"
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","АКВАФРЕШ ЛОНГ ЛАСТИНГ УАЙТ РЕНЮ паста за зъби 75мл","1044202","81","3.56","2.67"
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","АКВАФРЕШ ДИЙП КЛИЙН УАЙТ РЕНЮ паста за зъби 75мл","1044203","81","3.56","2.67"
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","ОВВО ДЕЦА перорална сусп 100мг/5мл 100мл","1044778","94","4.12",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","ЕФИЗОЛ ИНТЕНЗ спрей за уста 8.75мг/доза 15мл","1044808","98","7.49",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","БИОПРОГРАМА ЧАЙ МЕНТА","14207003","72","0.95",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","БИОПРОГРАМА ЧАЙ ЖЪЛТ КАНТАРИОН","142070052","72","0.84",""
