"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"40909","Аптека Марешки Автогара / 639 / гр. Кърджали, бул.България 87","БРАУНОЛ разтвор за кожа 100мл х 1бр","00011236","92","3.56",""
"40909","Аптека Марешки Автогара / 639 / гр. Кърджали, бул.България 87","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","6.82",""
"40909","Аптека Марешки Автогара / 639 / гр. Кърджали, бул.България 87","СПАЗМАЛГОН инж разтвор 500мг/2мг/0.02мг 2мл х 5бр","1010211","87","3.35",""
"40909","Аптека Марешки Автогара / 639 / гр. Кърджали, бул.България 87","АКНЕ АУТ САПУН 100гр","1011945","83","6.15",""
"40909","Аптека Марешки Автогара / 639 / гр. Кърджали, бул.България 87","ЕЛГИДИУМ ДЖУНИЪР БЪБЪЛ детска паста за зъби от 7-12г. с вкус на дъвка 50мл","1012684","81","4.87",""
"40909","Аптека Марешки Автогара / 639 / гр. Кърджали, бул.България 87","ДИКЛАК 5% гел 50мг/гр - 100гр","1015894","95","10.09",""
"40909","Аптека Марешки Автогара / 639 / гр. Кърджали, бул.България 87","ПАРОДОНТАКС ИЗБЕЛВАЩА паста за зъби 75мл","1016013","81","5.50","4.12"
"40909","Аптека Марешки Автогара / 639 / гр. Кърджали, бул.България 87","ПАРОДОНТАКС КЛАСИК паста за зъби 75мл","1016746","81","5.50","4.13"
"40909","Аптека Марешки Автогара / 639 / гр. Кърджали, бул.България 87","САПУН НИЯ СЕРЕН 60гр","1017365","83","0.77",""
"40909","Аптека Марешки Автогара / 639 / гр. Кърджали, бул.България 87","СЕНСОДИН РИПЕЪР ЕНД ПРОТЕКТ паста за зъби 75мл","1019885","81","7.82","5.87"
"40909","Аптека Марешки Автогара / 639 / гр. Кърджали, бул.България 87","БРУФЕН СР табл 800мг.х 30бр","1020323","94","6.65",""
"40909","Аптека Марешки Автогара / 639 / гр. Кърджали, бул.България 87","БИЛКОВ ЧАЙ УСПОКОИТЕЛЕН филтър х 20бр","1020946","72","2.51",""
"40909","Аптека Марешки Автогара / 639 / гр. Кърджали, бул.България 87","ЛОПЕДИУМ капс 2мг х 10бр/НОВА","1022002","89","3.62",""
"40909","Аптека Марешки Автогара / 639 / гр. Кърджали, бул.България 87","ИМОДИУМ капс 2мг х 6бр/НОВА","1022007","89","3.75",""
"40909","Аптека Марешки Автогара / 639 / гр. Кърджали, бул.България 87","ЕЛГИДИУМ детска паста за зъби горски плод 50мл ПРОМО","1022077","81","3.29",""
"40909","Аптека Марешки Автогара / 639 / гр. Кърджали, бул.България 87","АЛМИРАЛ ГЕЛ 1,16% 50г","1022666","95","5.35",""
"40909","Аптека Марешки Автогара / 639 / гр. Кърджали, бул.България 87","ЛАВЕНА БОЧКО САПУН лавандула 75гр","1022761","83","0.98",""
"40909","Аптека Марешки Автогара / 639 / гр. Кърджали, бул.България 87","БИОПРОГРАМА чай дребноцветна върбовка","1022921","72","1.80",""
"40909","Аптека Марешки Автогара / 639 / гр. Кърджали, бул.България 87","СЕНСОДИН КОМПЛИЙТ ПРОТЕКШЪН паста за зъби 75мл","1023168","81","7.82","5.87"
"40909","Аптека Марешки Автогара / 639 / гр. Кърджали, бул.България 87","ЕЛГИДИУМ КИДС ГЕЛООБРАЗНА ПАСТА ЗА ЗЪБИ ЗА ЗАЩИТА ОТ КАРИЕС С ФЛУРИНОЛ И ВКУС НА СВЕЖА ЯГОДА 50мл","1023759","81","5.16",""
"40909","Аптека Марешки Автогара / 639 / гр. Кърджали, бул.България 87","ЕЛГИДИУМ детска паста за зъби с вкус на свежа ягода 2-6год 50мл ПРОМО","1023861","81","3.29",""
"40909","Аптека Марешки Автогара / 639 / гр. Кърджали, бул.България 87","АЦЦ сироп 20мг/мл 100мл","1026426","99","7.07",""
"40909","Аптека Марешки Автогара / 639 / гр. Кърджали, бул.България 87","ПРОБИЕН КИДС ЖЕЛИРАНИ МЕЧЕТА х 60бр","1029958","89","12.04",""
"40909","Аптека Марешки Автогара / 639 / гр. Кърджали, бул.България 87","ИБУЛЕК сашети 400мг х 10бр","1030132","94","5.56",""
"40909","Аптека Марешки Автогара / 639 / гр. Кърджали, бул.България 87","ИБУЛЕК сашети 600мг х 10бр","1030133","94","5.76",""
"40909","Аптека Марешки Автогара / 639 / гр. Кърджали, бул.България 87","ЕКЗОДЕРИЛ сол.1% 20мл","1030142","90","12.10",""
"40909","Аптека Марешки Автогара / 639 / гр. Кърджали, бул.България 87","ЕЛГИДИУМ УАЙТАНИНГ КУУЛ ЛИМОН ИЗБЕЛВАЩА ПАСТА ЗА ЗЪБИ С ВКУС НА СВЕЖ ЛИМОН 75мл","1030440","81","6.20",""
"40909","Аптека Марешки Автогара / 639 / гр. Кърджали, бул.България 87","СЕНСОДИН РАПИД РЕЛИФ паста за зъби 75мл","1032779","81","7.82","5.87"
"40909","Аптека Марешки Автогара / 639 / гр. Кърджали, бул.България 87","ЕЛГИДИУМ АНТИ-ПЛАКА АНТИПЛАКОВА ПАСТА ЗА ЗЪБИ 50мл","1032999","81","4.51",""
"40909","Аптека Марешки Автогара / 639 / гр. Кърджали, бул.България 87","ХЕКСАЛГИН ДЕЦА сол 500мг/мл 20мл","1033246","96","5.57",""
"40909","Аптека Марешки Автогара / 639 / гр. Кърджали, бул.България 87","ЕЛГИДИУМ АНТИПЛАКА паста за зъби ПРОМО 50мл","1033468","81","3.57",""
"40909","Аптека Марешки Автогара / 639 / гр. Кърджали, бул.България 87","ПАРОДОНТАКС КЪМПЛИЙТ ПРОТЕКТ паста за зъби 75мл","1033567","81","6.61","4.95"
"40909","Аптека Марешки Автогара / 639 / гр. Кърджали, бул.България 87","ДИКЛАК МАКС 5% гел 50мг/гр 50гр","1034135","95","6.95",""
"40909","Аптека Марешки Автогара / 639 / гр. Кърджали, бул.България 87","ДИАЛГИН ДЕЦА капки 500мг/мл 20мл","1034831","96","4.49",""
"40909","Аптека Марешки Автогара / 639 / гр. Кърджали, бул.България 87","ЕЛГИДИУМ МУЛТИЕКШЪН МУЛТИФУНКЦИОНАЛНА ПАСТА ЗА ЗЪБИ 75мл","1035076","81","6.35",""
