"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","БРАУНОЛ разтвор за кожа 100мл х 1бр","00011236","92","3.28",""
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","ФЕНОЛАКС табл 5мг х 30бр","00080575","88","1.56",""
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","СЕНСОДИН ФЛУОРИД ПАСТА ЗА ЗЪБИ 75мл","00402087","81","5.22","3.92"
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","ПАРОДОНТАКС ФЛУОР ПАСТА ЗА ЗЪБИ 75мл","00402088","81","5.50","4.12"
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","НИЗОРАЛ крем 20мг/гр-15гр","0200013","90","2.40",""
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","6.82",""
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","СПАЗМАЛГОН инж разтвор 500мг/2мг/0.02мг 2мл х 5бр","1010211","87","3.25",""
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","АКНЕ АУТ САПУН 100гр","1011945","83","5.79",""
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","ДИКЛАК 5% гел 50мг/гр - 100гр","1015894","95","9.79",""
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","ПАРОДОНТАКС КЛАСИК паста за зъби 75мл","1016746","81","5.50","4.12"
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","СЕНСОДИН РИПЕЪР ЕНД ПРОТЕКТ паста за зъби 75мл","1019885","81","7.41","5.56"
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","БРУФЕН СР табл 800мг.х 30бр","1020323","94","6.65",""
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","ЛОПЕДИУМ капс 2мг х 10бр/НОВА","1022002","89","3.62",""
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","ИМОДИУМ капс 2мг х 6бр/НОВА","1022007","89","3.64",""
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","ПАРОДОНТАКС екстра фреш паста за зъби 75мл","1022560","81","5.50","4.12"
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","АЛМИРАЛ ГЕЛ 1,16% 50г","1022666","95","5.35",""
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","ЛАВЕНА БОЧКО САПУН лавандула 75гр","1022761","83","0.99",""
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","СЕНСОДИН КОМПЛИЙТ ПРОТЕКШЪН паста за зъби 75мл","1023168","81","7.35","5.51"
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","АЛМИРАЛ гел 1.16% 250гр","1023856","95","14.52",""
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","АЦЦ сироп 20мг/мл 100мл","1026426","99","7.07",""
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","ЕУБИОТИК капс х 20бр","1028054","89","8.77",""
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","ПРОБИЕН КИДС ЖЕЛИРАНИ МЕЧЕТА х 60бр","1029958","89","12.64",""
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","ЕКЗОДЕРИЛ сол.1% 20мл","1030142","90","11.75",""
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","ПАРОДОНТАКС УЛТРА КЛИЙН паста за зъби 75мл","1031439","81","5.50","4.12"
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","СЕНСОДИН АДВАНС КЛИЙН паста за зъби 75мл","1032148","81","5.17","3.88"
