"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","БИЛКОВ ЧАЙ МАТОЧИНА филтър х 20бр","00091031","72","1.32",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ЕЛГИДИУМ КИДС ГЕЛООБРАЗНА ПАСТА ЗА ЗЪБИ С ФЛУОРИНОЛ ЗА ЗАЩИТА ОТ КАРИЕС ЗА ДЕЦА 3-6г. с вкус на горски плодове 50мл","00504019","81","4.70",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","НИЗОРАЛ крем 20мг/гр-15гр","0200013","90","2.08",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","6.82",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","СПАЗМАЛГОН инж разтвор 500мг/2мг/0.02мг 2мл х 5бр","1010211","87","3.35",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","АКНЕ АУТ САПУН 100гр","1011945","83","6.15",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ДИКЛАК 5% гел 50мг/гр - 100гр","1015894","95","10.09",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ГЪМ КИДС паста за зъби за деца 2-6г 50мл","1016952","81","2.57",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ГЪМ ДЖУНИЪР паста за зъби 7+год 50мл","1016953","81","2.47",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","КЕТОНАЛ инж р-р 100мг/2мл х 50бр","1017915","94","16.87",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ГЪМ ПАРОЕКС ПАСТА ЗА ЗЪБИ 0.06% 75мл","1018302","81","3.64","3.28"
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","БРУФЕН СР табл 800мг.х 30бр","1020323","94","6.66",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ЛОПЕДИУМ капс 2мг х 10бр/НОВА","1022002","89","3.62",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ИМОДИУМ капс 2мг х 6бр/НОВА","1022007","89","3.75",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","АЛМИРАЛ ГЕЛ 1,16% 50г","1022666","95","5.35",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ЕЛГИДИУМ КИДС ГЕЛООБРАЗНА ПАСТА ЗА ЗЪБИ ЗА ЗАЩИТА ОТ КАРИЕС С ФЛУРИНОЛ И ВКУС НА СВЕЖА ЯГОДА 50мл","1023759","81","4.70",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","АЦЦ сироп 20мг/мл 100мл","1026426","99","7.08",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ЕУБИОТИК капс х 20бр","1028054","89","8.77",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ПРОБИЕН КИДС ЖЕЛИРАНИ МЕЧЕТА х 60бр","1029958","89","12.04",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ИБУЛЕК сашети 400мг х 10бр","1030132","94","5.56",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ЕКЗОДЕРИЛ сол.1% 20мл","1030142","90","12.10",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ХЕКСАЛГИН ДЕЦА сол 500мг/мл 20мл","1033246","96","5.57",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ДЕНТАИД ВИТИС ХЕЛТИ ГЪМС паста за зъби 100мл","1033885","81","5.55","4.72"
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ДИКЛАК МАКС 5% гел 50мг/гр 50гр","1034135","95","7.29",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ДИАЛГИН ДЕЦА капки 500мг/мл 20мл","1034831","96","4.49",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ЕЛГИДИУМ КЛИНИК ПЕРИОБЛОК КЕЪР паста за зъби 75мл","1035077","81","7.36",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ЕЛГИДИУМ ДЖУНИЪР ГЕЛООБРАЗНА паста за зъби 7-12г С МЕК МЕНТОВ АРОМАТ 50мл","1035975","81","4.75",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ЕЛГИДИУМ КЛИНИК ПЕРИОБЛОК ПРО ПАСТА ЗА ЗЪБИ 50мл","1037937","81","7.36",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","АЦЦ МЕД И ЛИМОН САШЕТИ 600МГ Х 10БР","1037947","99","8.76",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ПСИЛО - БАЛСАМ гел 1% 50гр","1038455","91","8.46",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","НИЗОРАЛ шампоан 2% 100мл","1039141","90","13.87",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","КЕТОФЛЕКС инж разтвор 50мг/мл 2мл х 10бр","1040004","94","9.89",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ДИКЛОФЛЕКС 5% гел флакон 50гр","1040104","95","6.88",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ФЕЛОРАН ФОРТЕ СОФАРМА гел 5% 120гр","1041093","95","8.31",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ПАРАБОЛ МАКС меки капс 400мг х 10бр","1041397","94","5.18",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ДИКЛАК 12 часа гел 23,2мг/г 100гр","1041922","95","11.51",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ДИКЛАК 12 часа гел 23,2мг/г 50гр","1041923","95","8.42",""
