"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"00702","Аптека Марешки Асеновград 2 / 310 / гр.Асеновград, пл.България 2, бл.23/137 А","ГЪМ СЕНСИВИТАЛ+ ПАСТА ЗА ЗЪБИ ГЕЛ 75мл","00000643","81","4.30","3.87"
"00702","Аптека Марешки Асеновград 2 / 310 / гр.Асеновград, пл.България 2, бл.23/137 А","ЕЛГИДИУМ КЛИНИК Х ОРТОДОНТ ЧЕТКА ЗА ЗЪБИ М","0000098","80","6.44",""
"00702","Аптека Марешки Асеновград 2 / 310 / гр.Асеновград, пл.България 2, бл.23/137 А","ФЕНОЛАКС табл 5мг х 30бр","00080575","88","1.56",""
"00702","Аптека Марешки Асеновград 2 / 310 / гр.Асеновград, пл.България 2, бл.23/137 А","БИЛКОВ ЧАЙ МАТОЧИНА филтър х 20бр","00091031","72","1.32",""
"00702","Аптека Марешки Асеновград 2 / 310 / гр.Асеновград, пл.България 2, бл.23/137 А","ПАРОДОНТАКС ФЛУОР ПАСТА ЗА ЗЪБИ 75мл","00402088","81","5.50","4.12"
"00702","Аптека Марешки Асеновград 2 / 310 / гр.Асеновград, пл.България 2, бл.23/137 А","ЕЛГИДИУМ АНТИ-ПЛАКА АНТИПЛАКОВА ПАСТА ЗА ЗЪБИ 75мл","00504002","81","6.27",""
"00702","Аптека Марешки Асеновград 2 / 310 / гр.Асеновград, пл.България 2, бл.23/137 А","ЕЛГИДИУМ КИДС ГЕЛООБРАЗНА ПАСТА ЗА ЗЪБИ С ФЛУОРИНОЛ ЗА ЗАЩИТА ОТ КАРИЕС ЗА ДЕЦА 3-6г. с вкус на горски плодове 50мл","00504019","81","3.78",""
"00702","Аптека Марешки Асеновград 2 / 310 / гр.Асеновград, пл.България 2, бл.23/137 А","БИЛКАДЕНТ Паста за Зъби АНТИПАРОДОНТ ЧЕРЕША 75мл","00902212","81","2.61",""
"00702","Аптека Марешки Асеновград 2 / 310 / гр.Асеновград, пл.България 2, бл.23/137 А","НИЗОРАЛ крем 20мг/гр-15гр","0200013","90","2.08",""
"00702","Аптека Марешки Асеновград 2 / 310 / гр.Асеновград, пл.България 2, бл.23/137 А","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","6.82",""
