"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","ФЕНОЛАКС табл 5мг х 30бр","00080575","88","1.56",""
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","ЕЛГИДИУМ АНТИ-КАРИЕС АНТИКАРИЕСНА ПАСТА ЗА ЗЪБИ 75мл","000808263","81","5.96",""
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","БИЛКОВ ЧАЙ МАТОЧИНА филтър х 20бр","00091031","72","1.21",""
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","АКВАФРЕШ КИДС ЛИТЪЛ ТИИЙД ПАСТА ЗА ЗЪБИ 3-5г 50мл","00402037","81","3.23","2.42"
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","ПАРОДОНТАКС ФЛУОР ПАСТА ЗА ЗЪБИ 75мл","00402088","81","5.50","4.12"
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","БИОПРОГРАМА ЧАЙ КАРКАДЕ","01207009","72","1.50",""
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","6.82",""
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","ЕЛГИДИУМ УАЙТАНИНГ ИЗБЕЛВАЩА ПАСТА ЗА ЗЪБИ 75мл","10000406","81","7.05",""
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","СПАЗМАЛГОН инж разтвор 500мг/2мг/0.02мг 2мл х 5бр","1010211","87","3.25",""
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","АКНЕ АУТ САПУН 100гр","1011945","83","5.79",""
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","ДИКЛАК 5% гел 50мг/гр - 100гр","1015894","95","9.79",""
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","ПАРОДОНТАКС КЛАСИК паста за зъби 75мл","1016746","81","5.50","4.13"
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","СЕНСОДИН РИПЕЪР ЕНД ПРОТЕКТ паста за зъби 75мл","1019885","81","7.82","5.86"
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","ЕЛГИДИУМ УАЙТАНИНГ ИЗБЕЛВАЩА ПАСТА ЗА ЗЪБИ 50мл","1020022","81","4.93",""
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","БРУФЕН СР табл 800мг.х 30бр","1020323","94","6.77",""
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","СЕНСОДИН РИПЕЪР ЕНД ПРОТЕКТ УАЙТЪНИНГ паста за зъби 75мл","1020890","81","7.82","5.86"
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","ЛОПЕДИУМ капс 2мг х 10бр/НОВА","1022002","89","3.62",""
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","ИМОДИУМ капс 2мг х 6бр/НОВА","1022007","89","3.64",""
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","АЛМИРАЛ ГЕЛ 1,16% 50г","1022666","95","5.35",""
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","ЛАВЕНА БОЧКО САПУН невен 75гр","1022769","83","0.98",""
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","БИОПРОГРАМА чай дребноцветна върбовка","1022921","72","1.79",""
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","АЦЦ сироп 20мг/мл 100мл","1026426","99","7.07",""
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","ПОМОРИН КЛАСИК паста за зъби 100мл","1027148","81","1.14",""
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","ЕУБИОТИК капс х 20бр","1028054","89","8.77",""
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","ПРОБИЕН КИДС ЖЕЛИРАНИ МЕЧЕТА х 60бр","1029958","89","12.04",""
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","ИБУЛЕК сашети 400мг х 10бр","1030132","94","5.40",""
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","ИБУЛЕК сашети 600мг х 10бр","1030133","94","6.76",""
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","ЕКЗОДЕРИЛ сол.1% 20мл","1030142","90","11.75",""
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","ЕЛГИДИУМ УАЙТАНИНГ КУУЛ ЛИМОН ИЗБЕЛВАЩА ПАСТА ЗА ЗЪБИ С ВКУС НА СВЕЖ ЛИМОН 75мл","1030440","81","5.99",""
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","СЕНСОДИН АДВАНС КЛИЙН паста за зъби 75мл","1032148","81","5.50","4.12"
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","СЕНСОДИН РАПИД РЕЛИФ паста за зъби 75мл","1032779","81","7.82","5.87"
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","ЕЛГИДИУМ АНТИ-ПЛАКА АНТИПЛАКОВА ПАСТА ЗА ЗЪБИ 50мл","1032999","81","4.87",""
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","ХЕКСАЛГИН ДЕЦА сол 500мг/мл 20мл","1033246","96","5.51",""
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","АКВАФРЕШ АКТИВ УАЙТАНИНГ паста за зъби 125мл","1033566","81","2.70","2.03"
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","ДИКЛАК МАКС 5% гел 50мг/гр 50гр","1034135","95","6.74",""
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","ДИАЛГИН ДЕЦА капки 500мг/мл 20мл","1034831","96","4.44",""
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","ЕЛГИДИУМ МУЛТИЕКШЪН МУЛТИФУНКЦИОНАЛНА ПАСТА ЗА ЗЪБИ 75мл","1035076","81","6.53",""
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","ЕЛГИДИУМ КЛИНИК ПЕРИОБЛОК КЕЪР паста за зъби 75мл","1035077","81","7.36",""
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","ЕЛГИДИУМ ПАСТА ЗА ЗЪБИ РАЗКРИВАЩА ПЛАКАТА 50мл ОС","1036216","81","6.48",""
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","ЕЛГИДИУМ ДЖУНИЪР  сладка мента паста за зъби 7-12г.- 50мл /ПРОМО","1036522","81","3.29",""
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","АКВАФРЕШ БИГ ТИЙТ паста за зъби за деца от 6 до 8год. 50мл","1036712","81","3.38","2.54"
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","АКВАФРЕШ АДВАНС паста за зъби за деца от 9 до 12год. 75мл","1036715","81","3.38","2.54"
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","ИБУЛЕК ЗА ДЕЦА 100мг/5мл перорална сусп х 120мл","1037617","94","3.71",""
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","ЕЛГИДИУМ КЛИНИК ПЕРИОБЛОК ПРО ПАСТА ЗА ЗЪБИ 50мл","1037937","81","7.36",""
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","АЦЦ МЕД И ЛИМОН САШЕТИ 600МГ Х 10БР","1037947","99","8.50",""
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","ПОМОРИН ПАРАДОНТИТ  АКТИВ паста за зъби 100мл","1038104","81","1.69",""
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","ПСИЛО - БАЛСАМ гел 1% 50гр","1038455","91","8.21",""
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","НИЗОРАЛ шампоан 2% 100мл","1039141","90","13.46",""
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","КЪРПИ МОКРИ ЗА БЕБЕ ВМ с капак х 72бр","1039443","84","1.12",""
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","КЕТОФЛЕКС инж разтвор 50мг/мл 2мл х 10бр","1040004","94","9.86",""
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","ДИКЛОФЛЕКС 5% гел флакон 50гр","1040104","95","6.68",""
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","ВОЛТАРЕН ЕМУЛГЕЛ гел 1.16% 100 г","1041032","95","8.12",""
