"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"73198","Аптека Марешки Троян 2 / 280 / гр.Троян ж.к Лъгът бл.19 вх.б","НЕНЕДЕНТ БЕЗ ФЛУОРИД паста за зъби 50мл","00009","81","2.18",""
"73198","Аптека Марешки Троян 2 / 280 / гр.Троян ж.к Лъгът бл.19 вх.б","БРАУНОЛ разтвор за кожа 100мл х 1бр","00011236","92","3.56",""
"73198","Аптека Марешки Троян 2 / 280 / гр.Троян ж.к Лъгът бл.19 вх.б","ФЕНОЛАКС табл 5мг х 30бр","00080575","88","1.56",""
"73198","Аптека Марешки Троян 2 / 280 / гр.Троян ж.к Лъгът бл.19 вх.б","СЕНСОДИН ФЛУОРИД ПАСТА ЗА ЗЪБИ 75мл","00402087","81","5.50","4.13"
"73198","Аптека Марешки Троян 2 / 280 / гр.Троян ж.к Лъгът бл.19 вх.б","ПАРОДОНТАКС ФЛУОР ПАСТА ЗА ЗЪБИ 75мл","00402088","81","5.50","4.13"
"73198","Аптека Марешки Троян 2 / 280 / гр.Троян ж.к Лъгът бл.19 вх.б","НИЗОРАЛ крем 20мг/гр-15гр","0200013","90","2.08",""
"73198","Аптека Марешки Троян 2 / 280 / гр.Троян ж.к Лъгът бл.19 вх.б","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","6.82",""
"73198","Аптека Марешки Троян 2 / 280 / гр.Троян ж.к Лъгът бл.19 вх.б","СПАЗМАЛГОН инж разтвор 500мг/2мг/0.02мг 2мл х 5бр","1010211","87","3.25",""
"73198","Аптека Марешки Троян 2 / 280 / гр.Троян ж.к Лъгът бл.19 вх.б","АКНЕ АУТ САПУН 100гр","1011945","83","4.69",""
"73198","Аптека Марешки Троян 2 / 280 / гр.Троян ж.к Лъгът бл.19 вх.б","ЛАВЕНА БОЧКО ПАСТА ЗА ЗЪБИ КИДС МОМИЧЕ/ЯГОДА 75мл","1012822","81","1.54",""
"73198","Аптека Марешки Троян 2 / 280 / гр.Троян ж.к Лъгът бл.19 вх.б","ЛАВЕНА БОЧКО ПАСТА ЗА ЗЪБИ КИДС МОМЧЕ/ДЪВКА 75мл","1012823","81","1.54",""
"73198","Аптека Марешки Троян 2 / 280 / гр.Троян ж.к Лъгът бл.19 вх.б","ДИКЛАК 5% гел 50мг/гр - 100гр","1015894","95","9.79",""
"73198","Аптека Марешки Троян 2 / 280 / гр.Троян ж.к Лъгът бл.19 вх.б","ПАРОДОНТАКС КЛАСИК паста за зъби 75мл","1016746","81","5.50","4.13"
"73198","Аптека Марешки Троян 2 / 280 / гр.Троян ж.к Лъгът бл.19 вх.б","АРОМА Мокри Кърпи КЛИЙН ЕНД ФРЕШ ЧЕРЕША х 15бр","1020755","84","0.50",""
"73198","Аптека Марешки Троян 2 / 280 / гр.Троян ж.к Лъгът бл.19 вх.б","ЛОПЕДИУМ капс 2мг х 10бр/НОВА","1022002","89","3.62",""
"73198","Аптека Марешки Троян 2 / 280 / гр.Троян ж.к Лъгът бл.19 вх.б","ИМОДИУМ капс 2мг х 6бр/НОВА","1022007","89","3.64",""
"73198","Аптека Марешки Троян 2 / 280 / гр.Троян ж.к Лъгът бл.19 вх.б","АЛМИРАЛ ГЕЛ 1,16% 50г","1022666","95","5.35",""
"73198","Аптека Марешки Троян 2 / 280 / гр.Троян ж.к Лъгът бл.19 вх.б","ЛАВЕНА БОЧКО САПУН лавандула 75гр","1022761","83","0.98",""
"73198","Аптека Марешки Троян 2 / 280 / гр.Троян ж.к Лъгът бл.19 вх.б","ЛАВЕНА БОЧКО САПУН невен 75гр","1022769","83","0.98",""
"73198","Аптека Марешки Троян 2 / 280 / гр.Троян ж.к Лъгът бл.19 вх.б","БИОПРОГРАМА чай дребноцветна върбовка","1022921","72","1.79",""
"73198","Аптека Марешки Троян 2 / 280 / гр.Троян ж.к Лъгът бл.19 вх.б","ЕЛГИДИУМ ИЗБЕЛВАЩА ПАСТА ЗА ЗЪБИ ПРОМО 75мл","1025662","81","4.65",""
"73198","Аптека Марешки Троян 2 / 280 / гр.Троян ж.к Лъгът бл.19 вх.б","АЦЦ сироп 20мг/мл 100мл","1026426","99","7.08",""
"73198","Аптека Марешки Троян 2 / 280 / гр.Троян ж.к Лъгът бл.19 вх.б","ПРОБИЕН КИДС ЖЕЛИРАНИ МЕЧЕТА х 60бр","1029958","89","12.04",""
"73198","Аптека Марешки Троян 2 / 280 / гр.Троян ж.к Лъгът бл.19 вх.б","ИБУЛЕК сашети 400мг х 10бр","1030132","94","4.93",""
