"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"10447","Аптека Марешки Велико Търново / 794 / гр.В.Търново, ул.Никола Габровски №1","ЕЛГИДИУМ КЛИНИК Х ОРТОДОНТ ЧЕТКА ЗА ЗЪБИ М","0000098","80","4.09",""
"10447","Аптека Марешки Велико Търново / 794 / гр.В.Търново, ул.Никола Габровски №1","БРАУНОЛ разтвор за кожа 100мл х 1бр","00011236","92","3.56",""
"10447","Аптека Марешки Велико Търново / 794 / гр.В.Търново, ул.Никола Габровски №1","ФЕНОЛАКС табл 5мг х 30бр","00080575","88","1.56",""
"10447","Аптека Марешки Велико Търново / 794 / гр.В.Търново, ул.Никола Габровски №1","СЕНСОДИН ФЛУОРИД ПАСТА ЗА ЗЪБИ 75мл","00402087","81","5.50","4.12"
"10447","Аптека Марешки Велико Търново / 794 / гр.В.Търново, ул.Никола Габровски №1","НИЗОРАЛ крем 20мг/гр-15гр","0200013","90","2.08",""
"10447","Аптека Марешки Велико Търново / 794 / гр.В.Търново, ул.Никола Габровски №1","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","6.82",""
"10447","Аптека Марешки Велико Търново / 794 / гр.В.Търново, ул.Никола Габровски №1","СПАЗМАЛГОН инж разтвор 500мг/2мг/0.02мг 2мл х 5бр","1010211","87","3.25",""
"10447","Аптека Марешки Велико Търново / 794 / гр.В.Търново, ул.Никола Габровски №1","ЕЛГИДИУМ ДИФЮЖЪН ЧЕТКА ЗА ЗЪБИ МЕДИУМ","1016304","80","4.62",""
"10447","Аптека Марешки Велико Търново / 794 / гр.В.Търново, ул.Никола Габровски №1","БРУФЕН СР табл 800мг.х 30бр","1020323","94","6.65",""
"10447","Аптека Марешки Велико Търново / 794 / гр.В.Търново, ул.Никола Габровски №1","ЛОПЕДИУМ капс 2мг х 10бр/НОВА","1022002","89","3.62",""
"10447","Аптека Марешки Велико Търново / 794 / гр.В.Търново, ул.Никола Габровски №1","ИМОДИУМ капс 2мг х 6бр/НОВА","1022007","89","3.64",""
"10447","Аптека Марешки Велико Търново / 794 / гр.В.Търново, ул.Никола Габровски №1","ЕЛГИДИУМ АНТИПЛАКА ПРОМО паста за зъби 100мл","1022270","81","5.26",""
"10447","Аптека Марешки Велико Търново / 794 / гр.В.Търново, ул.Никола Габровски №1","АЛМИРАЛ ГЕЛ 1,16% 50г","1022666","95","5.35",""
"10447","Аптека Марешки Велико Търново / 794 / гр.В.Търново, ул.Никола Габровски №1","ЕЛГИДИУМ КИДС ГЕЛООБРАЗНА ПАСТА ЗА ЗЪБИ ЗА ЗАЩИТА ОТ КАРИЕС С ФЛУРИНОЛ И ВКУС НА СВЕЖА ЯГОДА 50мл","1023759","81","4.70",""
"10447","Аптека Марешки Велико Търново / 794 / гр.В.Търново, ул.Никола Габровски №1","АЦЦ сироп 20мг/мл 100мл","1026426","99","7.07",""
"10447","Аптека Марешки Велико Търново / 794 / гр.В.Търново, ул.Никола Габровски №1","ПОМОРИН КЛАСИК паста за зъби 100мл","1027148","81","1.13",""
"10447","Аптека Марешки Велико Търново / 794 / гр.В.Търново, ул.Никола Габровски №1","ПОМОРИН АНТИПАРОДОНТОЗА паста за зъби 100мл","1027149","81","1.14",""
