"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ЕЛГИДИУМ КЛИНИК Х ОРТОДОНТ ЧЕТКА ЗА ЗЪБИ М","0000098","80","6.44",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ЕЛГИДИУМ КЛИНИК ЧЕТКА ЗА ЗЪБИ АНТИПЛАКА МЕДИУМ","00504018","80","5.70",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","НИЗОРАЛ крем 20мг/гр-15гр","0200013","90","2.02",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","6.62",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ЕЛГИДИУМ ДЖУНИЪР БЪБЪЛ детска паста за зъби от 7-12г. с вкус на дъвка 50мл","1012684","81","4.87",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ДИКЛАК 5% гел 50мг/гр - 100гр","1015894","95","9.79",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","РУВЕКСИН филм табл 325мг х 100бр/АСПЕРАН/","1021697","96","2.98",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ЛОПЕДИУМ капс 2мг х 10бр/НОВА","1022002","89","3.52",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ИМОДИУМ капс 2мг х 6бр/НОВА","1022007","89","3.64",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ЕЛГИДИУМ детска паста за зъби горски плод 50мл ПРОМО","1022077","81","3.78",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","АЛМИРАЛ ГЕЛ 1,16% 50г","1022666","95","5.20",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ЕЛГИДИУМ ИЗБЕЛВАЩА четка за зъби М ПРОМО","1023462","80","4.86",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ЕЛГИДИУМ КИДС ГЕЛООБРАЗНА ПАСТА ЗА ЗЪБИ ЗА ЗАЩИТА ОТ КАРИЕС С ФЛУРИНОЛ И ВКУС НА СВЕЖА ЯГОДА 50мл","1023759","81","5.17",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","АЛМИРАЛ гел 1.16% 250гр","1023856","95","14.52",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ЕЛГИДИУМ детска паста за зъби с вкус на свежа ягода 2-6год 50мл ПРОМО","1023861","81","3.78",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ЕЛГИДИУМ ИЗБЕЛВАЩА ПАСТА ЗА ЗЪБИ ПРОМО 75мл","1025662","81","4.65",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","АЦЦ сироп 20мг/мл 100мл","1026426","99","6.88",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ПОМОРИН КЛАСИК паста за зъби 100мл","1027148","81","1.14",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ПОМОРИН АНТИПАРОДОНТОЗА паста за зъби 100мл","1027149","81","1.13",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ПРОБИЕН КИДС ЖЕЛИРАНИ МЕЧЕТА х 60бр","1029958","89","12.04",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ЕКЗОДЕРИЛ сол.1% 20мл","1030142","90","11.75",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ЕЛГИДИУМ УАЙТАНИНГ КУУЛ ЛИМОН ИЗБЕЛВАЩА ПАСТА ЗА ЗЪБИ С ВКУС НА СВЕЖ ЛИМОН 75мл","1030440","81","6.91",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ЕЛГИДИУМ АНТИ-ПЛАКА АНТИПЛАКОВА ПАСТА ЗА ЗЪБИ 50мл","1032999","81","4.79",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ХЕКСАЛГИН ДЕЦА сол 500мг/мл 20мл","1033246","96","5.41",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ДИКЛАК МАКС 5% гел 50мг/гр 50гр","1034135","95","7.08",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ЕЛГИДИУМ УСПОКОЯВАЩА ПАСТА ЗА ЗЪБИ РАЗДРАЗНЕНИ ВЕНЦИ 75мл","1035074","81","6.91",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ЕЛГИДИУМ МУЛТИЕКШЪН МУЛТИФУНКЦИОНАЛНА ПАСТА ЗА ЗЪБИ 75мл","1035076","81","6.91",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ЕЛГИДИУМ ПАСТА ЗА ЗЪБИ РАЗКРИВАЩА ПЛАКАТА 50мл ОС","1036216","81","6.76",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ЕЛГИДИУМ КЛИНИК ПЕРИОБЛОК ПРО ПАСТА ЗА ЗЪБИ 50мл","1037937","81","7.36",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","АЦЦ МЕД И ЛИМОН САШЕТИ 600МГ Х 10БР","1037947","99","8.50",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ПОМОРИН ПАРАДОНТИТ  АКТИВ паста за зъби 100мл","1038104","81","1.69",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ПОМОРИН АКТИВ ШАРКОАЛ паста за зъби 100мл","1038105","81","1.69",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ПСИЛО - БАЛСАМ гел 1% 50гр","1038455","91","8.21",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ЕЛГИДИУМ МУЛТИ ЕКШЪН паста за зъби ПРОМО 75 мл","1039140","81","5.52",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","КЪРПИ МОКРИ ЗА БЕБЕ ВМ с капак х 72бр","1039443","84","1.12",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ДИКЛОФЛЕКС 5% гел флакон 50гр","1040104","95","6.68",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ФЕЛОРАН ФОРТЕ СОФАРМА гел 5% 120гр","1041093","95","8.06",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ЕЛГИДИУМ КЛИНИК СЕНСИЛИЙВ паста за зъби 50мл","1041158","81","6.48",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ПАРАБОЛ МАКС меки капс 400мг х 10бр","1041397","94","4.79",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ДИКЛАК 12 часа гел 23,2мг/г 100гр","1041922","95","11.17",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ДИКЛАК 12 часа гел 23,2мг/г 50гр","1041923","95","8.17",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","БУСКОЛИЗИН обвити табл 10мг х 30бр","1042116","87","3.64",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ЕЛГИДИУМ АНТИ-КАРИЕС ПАСТА ЗА ЗЪБИ ЗА ЗАЩИТА ОТ КАРИЕС 75мл","1042229","81","6.35",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ОРОФАР ИНТЕНС спрей 15мл","1042241","98","7.77",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ОЛИНТ ДУО спрей за нос 1мг/мл + 50мг/мл 10мл","1042282","97","6.46",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ДУЛКОЛАКС супозитории 10мг х 6бр","1042352","88","5.69",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ВОЛТАРЕН лечебен пластир 140мг х 5бр","1042949","95","16.66",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ЕНТЕРОЛ ФОРТЕ прах за перорална сусп 500мг х 10бр","1043937","89","9.26",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ПАРАБОЛ МАКС меки капс 400мг х 20бр","1043939","94","8.45",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","НУРОФЕН ЕКСПРЕС ФОРТЕ компакт меки капс х 10бр","1044060","94","5.30",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","НУРОФЕН ЕКСПРЕС ФОРТЕ компакт меки капс х 20бр","1044061","94","9.64",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ПОМОРИН ПАСТА ЗА ЗЪБИ ХЕРБАЛ ЛАЙКА И СМРАДЛИКА 100мл","1044134","81","1.69",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ОВВО ДЕЦА перорална сусп 100мг/5мл 100мл","1044778","94","4.00",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ИЗВОРНА ВОДА БАЛДАРАН 1.5л","119","73","0.61",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","БИОПРОГРАМА ЧАЙ ЛАЙКА","142070055","72","0.95",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ЕЛГИДИУМ ИЗБЕЛВАЩА ЧЕТКА ЗА ЗЪБИ МЕДИУМ","50000791","80","6.07",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","САНИЕ БИЛКОВ ЧАЙ ЗА ОТСЛАБВАНЕ КИТАЙ х 30бр класик","7000011","72","3.88",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","САНИЕ БИЛКОВ ЧАЙ ЗА ОТСЛАБВАНЕ КИТАЙ/с бамбукови връхчета/х 30бр","9000120","72","4.26",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","АЛЕРГОЗАН табл 25мг х 20бр","9020001","100","3.62",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ФУРОТАЛГИН разтвор 5мл","9021024","101","5.65",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","БЕНАЛГИН табл 500мг х 20бр","9030014","96","2.76",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","БИЗАЛАКС филм табл 5мг х 30бр","9030016","88","2.15",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","АЦЕТИЗАЛ табл 500мг х 20бр","9030167","96","1.34",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","АЛМАГЕЛ А АКТАВИС сусп 170мл","9040002","86","3.77",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ЕТИЛОВ СПИРТ ХИМАКС 95% 100мл","HIMAX20","92","0.85",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ФЛЕКСИСТАД филм табл 600мг х 20бр","MF157","94","6.07",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","АЦЦ сашети 200мг х 20бр","RF083","99","6.82",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ПСИЛО-БАЛСАМ гел 1% 20г","STA0036","91","5.98",""
"12259","Аптека  / 783 / гр.Враца, бул. Александър Стамболийски 1","БРАУНОЛ разтвор за кожа 100мл х 1бр","00011236","92","3.46",""
"12259","Аптека  / 783 / гр.Враца, бул. Александър Стамболийски 1","ФЕНОЛАКС табл 5мг х 30бр","00080575","88","1.56",""
"12259","Аптека  / 783 / гр.Враца, бул. Александър Стамболийски 1","БИЛКОВ ЧАЙ МАТОЧИНА филтър х 20бр","00091031","72","1.32",""
