"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"80501","Аптека Марешки Червен бряг / 200 / гр. Ч.Бряг ул Княз Борис I №26 А","ФЕНОЛАКС табл 5мг х 30бр","00080575","88","1.56",""
"80501","Аптека Марешки Червен бряг / 200 / гр. Ч.Бряг ул Княз Борис I №26 А","СЕНСОДИН ФЛУОРИД ПАСТА ЗА ЗЪБИ 75мл","00402087","81","5.50","4.13"
"80501","Аптека Марешки Червен бряг / 200 / гр. Ч.Бряг ул Княз Борис I №26 А","ЕЛГИДИУМ КИДС ГЕЛООБРАЗНА ПАСТА ЗА ЗЪБИ С ФЛУОРИНОЛ ЗА ЗАЩИТА ОТ КАРИЕС ЗА ДЕЦА 3-6г. с вкус на горски плодове 50мл","00504019","81","4.87",""
"80501","Аптека Марешки Червен бряг / 200 / гр. Ч.Бряг ул Княз Борис I №26 А","ЕЛГИДИУМ КИДС ДЕТСКА ЧЕТКА ЗА ЗЪБИ 2-6 год","005040192","80","5.24",""
"80501","Аптека Марешки Червен бряг / 200 / гр. Ч.Бряг ул Княз Борис I №26 А","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","6.82",""
"80501","Аптека Марешки Червен бряг / 200 / гр. Ч.Бряг ул Княз Борис I №26 А","СПАЗМАЛГОН инж разтвор 500мг/2мг/0.02мг 2мл х 5бр","1010211","87","3.25",""
"80501","Аптека Марешки Червен бряг / 200 / гр. Ч.Бряг ул Княз Борис I №26 А","ЕЛГИДИУМ ДЖУНИЪР БЪБЪЛ детска паста за зъби от 7-12г. с вкус на дъвка 50мл","1012684","81","4.87",""
"80501","Аптека Марешки Червен бряг / 200 / гр. Ч.Бряг ул Княз Борис I №26 А","ДИКЛАК 5% гел 50мг/гр - 100гр","1015894","95","9.79",""
"80501","Аптека Марешки Червен бряг / 200 / гр. Ч.Бряг ул Княз Борис I №26 А","ПАРОДОНТАКС ИЗБЕЛВАЩА паста за зъби 75мл","1016013","81","5.50","4.13"
"80501","Аптека Марешки Червен бряг / 200 / гр. Ч.Бряг ул Княз Борис I №26 А","ПАРОДОНТАКС КЛАСИК паста за зъби 75мл","1016746","81","5.50","4.13"
"80501","Аптека Марешки Червен бряг / 200 / гр. Ч.Бряг ул Княз Борис I №26 А","БРУФЕН СР табл 800мг.х 30бр","1020323","94","6.65",""
"80501","Аптека Марешки Червен бряг / 200 / гр. Ч.Бряг ул Княз Борис I №26 А","ЛОПЕДИУМ капс 2мг х 10бр/НОВА","1022002","89","3.62",""
"80501","Аптека Марешки Червен бряг / 200 / гр. Ч.Бряг ул Княз Борис I №26 А","ИМОДИУМ капс 2мг х 6бр/НОВА","1022007","89","3.64",""
"80501","Аптека Марешки Червен бряг / 200 / гр. Ч.Бряг ул Княз Борис I №26 А","ГЪМ ОРТО паста за зъби 75мл","1022071","81","4.11","3.70"
"80501","Аптека Марешки Червен бряг / 200 / гр. Ч.Бряг ул Княз Борис I №26 А","АЛМИРАЛ ГЕЛ 1,16% 50г","1022666","95","5.35",""
"80501","Аптека Марешки Червен бряг / 200 / гр. Ч.Бряг ул Княз Борис I №26 А","ЕЛГИДИУМ КИДС ГЕЛООБРАЗНА ПАСТА ЗА ЗЪБИ ЗА ЗАЩИТА ОТ КАРИЕС С ФЛУРИНОЛ И ВКУС НА СВЕЖА ЯГОДА 50мл","1023759","81","4.87",""
"80501","Аптека Марешки Червен бряг / 200 / гр. Ч.Бряг ул Княз Борис I №26 А","ЕЛГИДИУМ ИЗБЕЛВАЩА ПАСТА ЗА ЗЪБИ ПРОМО 75мл","1025662","81","4.65",""
"80501","Аптека Марешки Червен бряг / 200 / гр. Ч.Бряг ул Княз Борис I №26 А","АЦЦ сироп 20мг/мл 100мл","1026426","99","7.07",""
"80501","Аптека Марешки Червен бряг / 200 / гр. Ч.Бряг ул Княз Борис I №26 А","ЕУБИОТИК капс х 20бр","1028054","89","8.77",""
"80501","Аптека Марешки Червен бряг / 200 / гр. Ч.Бряг ул Княз Борис I №26 А","ЕКЗОДЕРИЛ сол.1% 20мл","1030142","90","11.75",""
"80501","Аптека Марешки Червен бряг / 200 / гр. Ч.Бряг ул Княз Борис I №26 А","ЕЛГИДИУМ УАЙТАНИНГ КУУЛ ЛИМОН ИЗБЕЛВАЩА ПАСТА ЗА ЗЪБИ С ВКУС НА СВЕЖ ЛИМОН 75мл","1030440","81","6.91",""
