"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"68850","Аптека Марешки 3 / 150 / гр. Стара Загора, ул.Цар Иван Шишман 85Б","БРАУНОЛ разтвор за кожа 100мл х 1бр","00011236","92","3.56",""
"68850","Аптека Марешки 3 / 150 / гр. Стара Загора, ул.Цар Иван Шишман 85Б","ФЕНОЛАКС табл 5мг х 30бр","00080575","88","1.61",""
"68850","Аптека Марешки 3 / 150 / гр. Стара Загора, ул.Цар Иван Шишман 85Б","БИЛКОВ ЧАЙ МАТОЧИНА филтър х 20бр","00091031","72","1.21",""
"68850","Аптека Марешки 3 / 150 / гр. Стара Загора, ул.Цар Иван Шишман 85Б","ПАРОДОНТАКС ФЛУОР ПАСТА ЗА ЗЪБИ 75мл","00402088","81","5.50","4.13"
"68850","Аптека Марешки 3 / 150 / гр. Стара Загора, ул.Цар Иван Шишман 85Б","ЕЛГИДИУМ АНТИ-ПЛАКА АНТИПЛАКОВА ПАСТА ЗА ЗЪБИ 75мл","00504002","81","6.27",""
"68850","Аптека Марешки 3 / 150 / гр. Стара Загора, ул.Цар Иван Шишман 85Б","ЕЛГИДИУМ КИДС ГЕЛООБРАЗНА ПАСТА ЗА ЗЪБИ С ФЛУОРИНОЛ ЗА ЗАЩИТА ОТ КАРИЕС ЗА ДЕЦА 3-6г. с вкус на горски плодове 50мл","00504019","81","4.70",""
"68850","Аптека Марешки 3 / 150 / гр. Стара Загора, ул.Цар Иван Шишман 85Б","ЕЛГИДИУМ КИДС ДЕТСКА ЧЕТКА ЗА ЗЪБИ 2-6 год","005040192","80","4.93",""
"68850","Аптека Марешки 3 / 150 / гр. Стара Загора, ул.Цар Иван Шишман 85Б","БИЛКАДЕНТ Паста за Зъби АНТИПАРОДОНТ ЧЕРЕША 75мл","00902212","81","2.61",""
"68850","Аптека Марешки 3 / 150 / гр. Стара Загора, ул.Цар Иван Шишман 85Б","НИЗОРАЛ крем 20мг/гр-15гр","0200013","90","2.08",""
"68850","Аптека Марешки 3 / 150 / гр. Стара Загора, ул.Цар Иван Шишман 85Б","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","6.82",""
