"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"53535","Аптека Марешки Омуртаг / 191 / гр. Омуртаг, ул.Цар Освободител 4 аптека 2","ЕЛГИДИУМ КЛИНИК Х ОРТОДОНТ ЧЕТКА ЗА ЗЪБИ М","0000098","80","5.80",""
"53535","Аптека Марешки Омуртаг / 191 / гр. Омуртаг, ул.Цар Освободител 4 аптека 2","БРАУНОЛ разтвор за кожа 100мл х 1бр","00011236","92","3.56",""
"53535","Аптека Марешки Омуртаг / 191 / гр. Омуртаг, ул.Цар Освободител 4 аптека 2","БИЛКОВ ЧАЙ МАТОЧИНА филтър х 20бр","00091031","72","1.32",""
"53535","Аптека Марешки Омуртаг / 191 / гр. Омуртаг, ул.Цар Освободител 4 аптека 2","НИЗОРАЛ крем 20мг/гр-15гр","0200013","90","2.40",""
"53535","Аптека Марешки Омуртаг / 191 / гр. Омуртаг, ул.Цар Освободител 4 аптека 2","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","6.82",""
"53535","Аптека Марешки Омуртаг / 191 / гр. Омуртаг, ул.Цар Освободител 4 аптека 2","СПАЗМАЛГОН инж разтвор 500мг/2мг/0.02мг 2мл х 5бр","1010211","87","3.35",""
"53535","Аптека Марешки Омуртаг / 191 / гр. Омуртаг, ул.Цар Освободител 4 аптека 2","ПАРОДОНТАКС ИЗБЕЛВАЩА паста за зъби 75мл","1016013","81","5.50","4.13"
"53535","Аптека Марешки Омуртаг / 191 / гр. Омуртаг, ул.Цар Освободител 4 аптека 2","САПУН НИЯ СЕРЕН 60гр","1017365","83","0.77",""
"53535","Аптека Марешки Омуртаг / 191 / гр. Омуртаг, ул.Цар Освободител 4 аптека 2","БИЛКОВ ЧАЙ УСПОКОИТЕЛЕН филтър х 20бр","1020946","72","2.51",""
"53535","Аптека Марешки Омуртаг / 191 / гр. Омуртаг, ул.Цар Освободител 4 аптека 2","ЛОПЕДИУМ капс 2мг х 10бр/НОВА","1022002","89","3.62",""
"53535","Аптека Марешки Омуртаг / 191 / гр. Омуртаг, ул.Цар Освободител 4 аптека 2","ИМОДИУМ капс 2мг х 6бр/НОВА","1022007","89","3.75",""
"53535","Аптека Марешки Омуртаг / 191 / гр. Омуртаг, ул.Цар Освободител 4 аптека 2","ПАРОДОНТАКС екстра фреш паста за зъби 75мл","1022560","81","5.50","4.12"
"53535","Аптека Марешки Омуртаг / 191 / гр. Омуртаг, ул.Цар Освободител 4 аптека 2","АЛМИРАЛ ГЕЛ 1,16% 50г","1022666","95","5.35",""
"53535","Аптека Марешки Омуртаг / 191 / гр. Омуртаг, ул.Цар Освободител 4 аптека 2","БИОПРОГРАМА чай дребноцветна върбовка","1022921","72","1.79",""
"53535","Аптека Марешки Омуртаг / 191 / гр. Омуртаг, ул.Цар Освободител 4 аптека 2","АЦЦ сироп 20мг/мл 100мл","1026426","99","7.08",""
"53535","Аптека Марешки Омуртаг / 191 / гр. Омуртаг, ул.Цар Освободител 4 аптека 2","ЕУБИОТИК капс х 20бр","1028054","89","8.77",""
"53535","Аптека Марешки Омуртаг / 191 / гр. Омуртаг, ул.Цар Освободител 4 аптека 2","ПРОБИЕН КИДС ЖЕЛИРАНИ МЕЧЕТА х 60бр","1029958","89","12.04",""
"53535","Аптека Марешки Омуртаг / 191 / гр. Омуртаг, ул.Цар Освободител 4 аптека 2","ИБУЛЕК сашети 400мг х 10бр","1030132","94","5.07",""
