"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"72165","Марешки 5 / 318 / гр. Твърдица, ул.Княз Борис I 52","БРАУНОЛ разтвор за кожа 100мл х 1бр","00011236","92","3.56",""
"72165","Марешки 5 / 318 / гр. Твърдица, ул.Княз Борис I 52","ФЕНОЛАКС табл 5мг х 30бр","00080575","88","1.61",""
"72165","Марешки 5 / 318 / гр. Твърдица, ул.Княз Борис I 52","СЕНСОДИН ФЛУОРИД ПАСТА ЗА ЗЪБИ 75мл","00402087","81","5.17","3.88"
"72165","Марешки 5 / 318 / гр. Твърдица, ул.Княз Борис I 52","ЕЛГИДИУМ АНТИ-ПЛАКА АНТИПЛАКОВА ПАСТА ЗА ЗЪБИ 75мл","00504002","81","6.26",""
"72165","Марешки 5 / 318 / гр. Твърдица, ул.Княз Борис I 52","ЕЛГИДИУМ КИДС ГЕЛООБРАЗНА ПАСТА ЗА ЗЪБИ С ФЛУОРИНОЛ ЗА ЗАЩИТА ОТ КАРИЕС ЗА ДЕЦА 3-6г. с вкус на горски плодове 50мл","00504019","81","4.70",""
"72165","Марешки 5 / 318 / гр. Твърдица, ул.Княз Борис I 52","НИЗОРАЛ крем 20мг/гр-15гр","0200013","90","2.08",""
"72165","Марешки 5 / 318 / гр. Твърдица, ул.Княз Борис I 52","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","6.82",""
"72165","Марешки 5 / 318 / гр. Твърдица, ул.Княз Борис I 52","СПАЗМАЛГОН инж разтвор 500мг/2мг/0.02мг 2мл х 5бр","1010211","87","3.35",""
"72165","Марешки 5 / 318 / гр. Твърдица, ул.Княз Борис I 52","АКНЕ АУТ САПУН 100гр","1011945","83","6.15",""
"72165","Марешки 5 / 318 / гр. Твърдица, ул.Княз Борис I 52","ДИКЛАК 5% гел 50мг/гр - 100гр","1015894","95","10.09",""
"72165","Марешки 5 / 318 / гр. Твърдица, ул.Княз Борис I 52","ПАРОДОНТАКС ИЗБЕЛВАЩА паста за зъби 75мл","1016013","81","5.17","3.88"
"72165","Марешки 5 / 318 / гр. Твърдица, ул.Княз Борис I 52","САПУН НИЯ СЕРЕН 60гр","1017365","83","0.78",""
"72165","Марешки 5 / 318 / гр. Твърдица, ул.Княз Борис I 52","КЕТОНАЛ инж р-р 100мг/2мл х 50бр","1017915","94","18.30",""
"72165","Марешки 5 / 318 / гр. Твърдица, ул.Княз Борис I 52","БРАУНОВИДОН унгвент 100г","1021902","92","5.27",""
"72165","Марешки 5 / 318 / гр. Твърдица, ул.Княз Борис I 52","ЛОПЕДИУМ капс 2мг х 10бр/НОВА","1022002","89","3.62",""
"72165","Марешки 5 / 318 / гр. Твърдица, ул.Княз Борис I 52","АЛМИРАЛ ГЕЛ 1,16% 50г","1022666","95","5.35",""
"72165","Марешки 5 / 318 / гр. Твърдица, ул.Княз Борис I 52","ЛАВЕНА БОЧКО САПУН лавандула 75гр","1022761","83","0.98",""
"72165","Марешки 5 / 318 / гр. Твърдица, ул.Княз Борис I 52","ЛАВЕНА БОЧКО САПУН невен 75гр","1022769","83","0.99",""
"72165","Марешки 5 / 318 / гр. Твърдица, ул.Княз Борис I 52","АЦЦ сироп 20мг/мл 100мл","1026426","99","7.08",""
"72165","Марешки 5 / 318 / гр. Твърдица, ул.Княз Борис I 52","ЕКЗОДЕРИЛ сол.1% 20мл","1030142","90","12.10",""
"72165","Марешки 5 / 318 / гр. Твърдица, ул.Княз Борис I 52","ДИКЛАК МАКС 5% гел 50мг/гр 50гр","1034135","95","7.29",""
"72165","Марешки 5 / 318 / гр. Твърдица, ул.Княз Борис I 52","ЕЛГИДИУМ МУЛТИЕКШЪН МУЛТИФУНКЦИОНАЛНА ПАСТА ЗА ЗЪБИ 75мл","1035076","81","6.53",""
"72165","Марешки 5 / 318 / гр. Твърдица, ул.Княз Борис I 52","ЕЛГИДИУМ КЛИНИК ПЕРИОБЛОК КЕЪР паста за зъби 75мл","1035077","81","6.91",""
"72165","Марешки 5 / 318 / гр. Твърдица, ул.Княз Борис I 52","ЕЛГИДИУМ ДЖУНИЪР ГЕЛООБРАЗНА паста за зъби 7-12г С МЕК МЕНТОВ АРОМАТ 50мл","1035975","81","5.07",""
"72165","Марешки 5 / 318 / гр. Твърдица, ул.Княз Борис I 52","ЕЛГИДИУМ КЛИНИК ПЕРИОБЛОК ПРО ПАСТА ЗА ЗЪБИ 50мл","1037937","81","7.19",""
"72165","Марешки 5 / 318 / гр. Твърдица, ул.Княз Борис I 52","АЦЦ МЕД И ЛИМОН САШЕТИ 600МГ Х 10БР","1037947","99","8.76",""
"72165","Марешки 5 / 318 / гр. Твърдица, ул.Княз Борис I 52","ПСИЛО - БАЛСАМ гел 1% 50гр","1038455","91","8.46",""
"72165","Марешки 5 / 318 / гр. Твърдица, ул.Княз Борис I 52","НИЗОРАЛ шампоан 2% 100мл","1039141","90","14.28",""
"72165","Марешки 5 / 318 / гр. Твърдица, ул.Княз Борис I 52","КЪРПИ МОКРИ ЗА БЕБЕ ВМ с капак х 72бр","1039443","84","1.12",""
"72165","Марешки 5 / 318 / гр. Твърдица, ул.Княз Борис I 52","КЕТОФЛЕКС инж разтвор 50мг/мл 2мл х 10бр","1040004","94","9.89",""
"72165","Марешки 5 / 318 / гр. Твърдица, ул.Княз Борис I 52","ЕЛГИДИУМ КЛИНИК СЕНСИЛИЙВ паста за зъби 50мл","1041158","81","6.48",""
"72165","Марешки 5 / 318 / гр. Твърдица, ул.Княз Борис I 52","ПАРАБОЛ МАКС меки капс 400мг х 10бр","1041397","94","5.18",""
"72165","Марешки 5 / 318 / гр. Твърдица, ул.Княз Борис I 52","ДИКЛАК 12 часа гел 23,2мг/г 100гр","1041922","95","11.51",""
"72165","Марешки 5 / 318 / гр. Твърдица, ул.Княз Борис I 52","ДИКЛАК 12 часа гел 23,2мг/г 50гр","1041923","95","8.42",""
"72165","Марешки 5 / 318 / гр. Твърдица, ул.Княз Борис I 52","БУСКОЛИЗИН обвити табл 10мг х 30бр","1042116","87","3.75",""
"72165","Марешки 5 / 318 / гр. Твърдица, ул.Княз Борис I 52","ЕЛГИДИУМ АНТИ-КАРИЕС ПАСТА ЗА ЗЪБИ ЗА ЗАЩИТА ОТ КАРИЕС 75мл","1042229","81","6.35",""
"72165","Марешки 5 / 318 / гр. Твърдица, ул.Княз Борис I 52","ОРОФАР ИНТЕНС спрей 15мл","1042241","98","8.17",""
"72165","Марешки 5 / 318 / гр. Твърдица, ул.Княз Борис I 52","ДУЛКОЛАКС супозитории 10мг х 6бр","1042352","88","5.86",""
"72165","Марешки 5 / 318 / гр. Твърдица, ул.Княз Борис I 52","СЕНСОДИН КЛИНИКАЛ РИПЕЪР паста за зъби 75мл","1042365","81","7.35","5.51"
