"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"68134","Аптека Марешки Овча Купел / 178 / гр. София, ж.к. Овча Купел 1 ул. Монтевидео 47","БРАУНОЛ разтвор за кожа 100мл х 1бр","00011236","92","3.56",""
"68134","Аптека Марешки Овча Купел / 178 / гр. София, ж.к. Овча Купел 1 ул. Монтевидео 47","ФЕНОЛАКС табл 5мг х 30бр","00080575","88","1.56",""
"68134","Аптека Марешки Овча Купел / 178 / гр. София, ж.к. Овча Купел 1 ул. Монтевидео 47","БИЛКОВ ЧАЙ МАТОЧИНА филтър х 20бр","00091031","72","1.32",""
"68134","Аптека Марешки Овча Купел / 178 / гр. София, ж.к. Овча Купел 1 ул. Монтевидео 47","СЕНСОДИН ФЛУОРИД ПАСТА ЗА ЗЪБИ 75мл","00402087","81","5.50","4.13"
"68134","Аптека Марешки Овча Купел / 178 / гр. София, ж.к. Овча Купел 1 ул. Монтевидео 47","ПАРОДОНТАКС ФЛУОР ПАСТА ЗА ЗЪБИ 75мл","00402088","81","5.50","4.13"
"68134","Аптека Марешки Овча Купел / 178 / гр. София, ж.к. Овча Купел 1 ул. Монтевидео 47","ЕЛГИДИУМ АНТИ-ПЛАКА АНТИПЛАКОВА ПАСТА ЗА ЗЪБИ 75мл","00504002","81","6.27",""
"68134","Аптека Марешки Овча Купел / 178 / гр. София, ж.к. Овча Купел 1 ул. Монтевидео 47","ЕЛГИДИУМ КИДС ГЕЛООБРАЗНА ПАСТА ЗА ЗЪБИ С ФЛУОРИНОЛ ЗА ЗАЩИТА ОТ КАРИЕС ЗА ДЕЦА 3-6г. с вкус на горски плодове 50мл","00504019","81","4.87",""
"68134","Аптека Марешки Овча Купел / 178 / гр. София, ж.к. Овча Купел 1 ул. Монтевидео 47","ЕЛГИДИУМ КИДС ДЕТСКА ЧЕТКА ЗА ЗЪБИ 2-6 год","005040192","80","6.17",""
"68134","Аптека Марешки Овча Купел / 178 / гр. София, ж.к. Овча Купел 1 ул. Монтевидео 47","БИЛКАДЕНТ Паста за Зъби АНТИПАРОДОНТ ЧЕРЕША 75мл","00902212","81","2.61",""
"68134","Аптека Марешки Овча Купел / 178 / гр. София, ж.к. Овча Купел 1 ул. Монтевидео 47","БИОПРОГРАМА ЧАЙ КАРКАДЕ","01207009","72","1.50",""
"68134","Аптека Марешки Овча Купел / 178 / гр. София, ж.к. Овча Купел 1 ул. Монтевидео 47","НИЗОРАЛ крем 20мг/гр-15гр","0200013","90","2.08",""
"68134","Аптека Марешки Овча Купел / 178 / гр. София, ж.к. Овча Купел 1 ул. Монтевидео 47","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","6.82",""
"68134","Аптека Марешки Овча Купел / 178 / гр. София, ж.к. Овча Купел 1 ул. Монтевидео 47","СПАЗМАЛГОН инж разтвор 500мг/2мг/0.02мг 2мл х 5бр","1010211","87","3.25",""
"68134","Аптека Марешки Овча Купел / 178 / гр. София, ж.к. Овча Купел 1 ул. Монтевидео 47","ОРАЛ Б Експерт четка за зъби МЕДИУМ 40","1011321","80","1.06",""
"68134","Аптека Марешки Овча Купел / 178 / гр. София, ж.к. Овча Купел 1 ул. Монтевидео 47","ЛАВЕНА БОЧКО ПАСТА ЗА ЗЪБИ КИДС МОМИЧЕ/ЯГОДА 75мл","1012822","81","1.54",""
"68134","Аптека Марешки Овча Купел / 178 / гр. София, ж.к. Овча Купел 1 ул. Монтевидео 47","ЛАВЕНА БОЧКО ПАСТА ЗА ЗЪБИ КИДС МОМЧЕ/ДЪВКА 75мл","1012823","81","1.54",""
"68134","Аптека Марешки Овча Купел / 178 / гр. София, ж.к. Овча Купел 1 ул. Монтевидео 47","ДИКЛАК 5% гел 50мг/гр - 100гр","1015894","95","9.79",""
"68134","Аптека Марешки Овча Купел / 178 / гр. София, ж.к. Овча Купел 1 ул. Монтевидео 47","ПАРОДОНТАКС ИЗБЕЛВАЩА паста за зъби 75мл","1016013","81","5.50","4.13"
"68134","Аптека Марешки Овча Купел / 178 / гр. София, ж.к. Овча Купел 1 ул. Монтевидео 47","ПАРОДОНТАКС КЛАСИК паста за зъби 75мл","1016746","81","5.50","4.13"
"68134","Аптека Марешки Овча Купел / 178 / гр. София, ж.к. Овча Купел 1 ул. Монтевидео 47","САПУН НИЯ СЕРЕН 60гр","1017365","83","0.77",""
