"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","НЕНЕДЕНТ БЕЗ ФЛУОРИД паста за зъби 50мл","00009","81","2.18",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","БРАУНОЛ разтвор за кожа 100мл х 1бр","00011236","92","3.46",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","ФЕНОЛАКС табл 5мг х 30бр","00080575","88","1.56",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","СЕНСОДИН ФЛУОРИД ПАСТА ЗА ЗЪБИ 75мл","00402087","81","5.50","4.12"
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","ЕЛГИДИУМ КЛИНИК ЧЕТКА ЗА ЗЪБИ АНТИПЛАКА МЕДИУМ","00504018","80","5.64",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","БИОПРОГРАМА ЧАЙ КАРКАДЕ","01207009","72","1.50",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","6.62",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","ЕЛГИДИУМ УАЙТАНИНГ ИЗБЕЛВАЩА ПАСТА ЗА ЗЪБИ 75мл","10000406","81","6.20",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","СПАЗМАЛГОН инж разтвор 500мг/2мг/0.02мг 2мл х 5бр","1010211","87","3.25",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","АКНЕ АУТ САПУН 100гр","1011945","83","5.79",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","ПАРОДОНТАКС КЛАСИК паста за зъби 75мл","1016746","81","5.50","4.12"
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","ГЪМ ПАРОЕКС ПАСТА ЗА ЗЪБИ 0.06% 75мл","1018302","81","3.64","3.28"
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","БРУФЕН СР табл 800мг.х 30бр","1020323","94","6.46",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","ЛОПЕДИУМ капс 2мг х 10бр/НОВА","1022002","89","3.52",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","ИМОДИУМ капс 2мг х 6бр/НОВА","1022007","89","3.64",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","ЕЛГИДИУМ АНТИКАРИЕС паста за зъби ПРОМО 75мл","1022170","81","4.77",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","ЕЛГИДИУМ АНТИПЛАКА ПРОМО паста за зъби 100мл","1022270","81","5.26",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","АЛМИРАЛ ГЕЛ 1,16% 50г","1022666","95","5.20",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","ЛАВЕНА БОЧКО САПУН лавандула 75гр","1022761","83","0.98",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","БИОПРОГРАМА чай дребноцветна върбовка","1022921","72","1.80",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","ЕЛГИДИУМ ЛИМОН ИЗБЕЛВАЩА ПАСТА ЗА ЗЪБИ 75мл ПРОМО","1023454","81","4.65",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","ЕЛГИДИУМ КИДС ГЕЛООБРАЗНА ПАСТА ЗА ЗЪБИ ЗА ЗАЩИТА ОТ КАРИЕС С ФЛУРИНОЛ И ВКУС НА СВЕЖА ЯГОДА 50мл","1023759","81","4.70",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","КУРАПРОКС Паста за зъби гел хлорхексидин 0.05 75мл","1025550","81","6.38",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","АЦЦ сироп 20мг/мл 100мл","1026426","99","6.88",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","ПОМОРИН АНТИПАРОДОНТОЗА паста за зъби 100мл","1027149","81","1.14",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","ПРОБИЕН КИДС ЖЕЛИРАНИ МЕЧЕТА х 60бр","1029958","89","12.64",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","ИБУЛЕК сашети 600мг х 10бр","1030133","94","6.76",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","ЕКЗОДЕРИЛ сол.1% 20мл","1030142","90","11.75",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","ЕЛГИДИУМ АНТИ-ПЛАКА АНТИПЛАКОВА ПАСТА ЗА ЗЪБИ 50мл","1032999","81","4.87",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","ХЕКСАЛГИН ДЕЦА сол 500мг/мл 20мл","1033246","96","5.41",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","ДЕНТАИД ВИТИС ХЕЛТИ ГЪМС паста за зъби 100мл","1033885","81","5.70","4.85"
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","ДИКЛАК МАКС 5% гел 50мг/гр 50гр","1034135","95","7.08",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","ДИАЛГИН ДЕЦА капки 500мг/мл 20мл","1034831","96","4.36",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","ЕЛГИДИУМ КЛИНИК ПЕРИОБЛОК КЕЪР паста за зъби 75мл","1035077","81","6.48",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","ЕЛГИДИУМ ДЖУНИЪР ГЕЛООБРАЗНА паста за зъби 7-12г С МЕК МЕНТОВ АРОМАТ 50мл","1035975","81","5.08",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","ИНТИМО ХЕЛП мокри кърпи алое х 20бр","1036900","84","1.88",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","ЕЛГИДИУМ КЛИНИК ПЕРИОБЛОК ПРО ПАСТА ЗА ЗЪБИ 50мл","1037937","81","7.19",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","АЦЦ МЕД И ЛИМОН САШЕТИ 600МГ Х 10БР","1037947","99","8.50",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","ПСИЛО - БАЛСАМ гел 1% 50гр","1038455","91","8.21",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","НИЗОРАЛ шампоан 2% 100мл","1039141","90","13.86",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","КЪРПИ МОКРИ ЗА БЕБЕ ВМ с капак х 72бр","1039443","84","1.12",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","КЕТОФЛЕКС инж разтвор 50мг/мл 2мл х 10бр","1040004","94","9.60",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","ЛАКАЛУТ МУЛТИ ЕФЕКТ ПЛЮС паста за зъби 75мл","1040858","81","3.58",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","ВОЛТАРЕН ЕМУЛГЕЛ гел 1.16% 100 г","1041032","95","8.12",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","ПАРАБОЛ МАКС меки капс 400мг х 10бр","1041397","94","5.03",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","ДИКЛАК 12 часа гел 23,2мг/г 100гр","1041922","95","11.17",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","ДИКЛАК 12 часа гел 23,2мг/г 50гр","1041923","95","8.17",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","БУСКОЛИЗИН обвити табл 10мг х 30бр","1042116","87","3.64",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","ОРОФАР ИНТЕНС спрей 15мл","1042241","98","7.78",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","ОЛИНТ ДУО спрей за нос 1мг/мл + 50мг/мл 10мл","1042282","97","6.46",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","ДУЛКОЛАКС супозитории 10мг х 6бр","1042352","88","5.81",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","СЕНСОДИН КЛИНИКАЛ РИПЕЪР паста за зъби 75мл","1042365","81","7.82","5.87"
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","КЕТАЛГО филм табл 25мг х 10бр","1042726","94","4.72",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","КИККА БОО мокри кърпи Алое вера и Лайка х 80бр","1042946","84","1.41",""
